site_code,Specie,year,season,variable,mean,sd,se,cv,median,sum,min,max,n,sp_elev,sp_code,elev_code,elev,elev_cat
PIHAL_NACIMIENTO_L,P. halepensis,2000,autumn,evi,0.1173,0.008501470461043782,0.0038019731719200747,7.247630401571851,0.11370000000000001,0.5865,0.1086,0.1303,5,halepensis_low,halepensis,low,974,NA
PIHAL_NACIMIENTO_L,P. halepensis,2000,autumn,ndvi,0.27758,0.040799166658156145,0.018245942014596013,14.698165090480636,0.2612,1.3879000000000001,0.2472,0.3457,5,halepensis_low,halepensis,low,974,NA
PIHAL_NACIMIENTO_L,P. halepensis,2000,spring,evi,0.15268333333333334,0.01850593598461495,0.007555016729152739,12.120468934361936,0.15200000000000002,0.9161,0.1337,0.1787,6,halepensis_low,halepensis,low,974,NA
PIHAL_NACIMIENTO_L,P. halepensis,2000,spring,ndvi,0.32648333333333335,0.044971831924735584,0.01835967350230148,13.774617976844835,0.31310000000000004,1.9589,0.2838,0.4083,6,halepensis_low,halepensis,low,974,NA
PIHAL_NACIMIENTO_L,P. halepensis,2000,summer,evi,0.11725000000000001,0.015604967157927634,0.006370701164968684,13.30914043320054,0.1177,0.7035,0.0952,0.139,6,halepensis_low,halepensis,low,974,NA
PIHAL_NACIMIENTO_L,P. halepensis,2000,summer,ndvi,0.22271666666666667,0.03081099911828026,0.012578537717521508,13.834168578139755,0.217,1.3363,0.189,0.2665,6,halepensis_low,halepensis,low,974,NA
PIHAL_NACIMIENTO_L,P. halepensis,2000,winter,evi,0.1547666666666667,0.01656180344447226,0.009561961676931732,10.701143728928878,0.1521,0.46430000000000005,0.13970000000000002,0.17250000000000001,3,halepensis_low,halepensis,low,974,NA
PIHAL_NACIMIENTO_L,P. halepensis,2000,winter,ndvi,0.4002333333333334,0.057317216727030044,0.03309211050655092,14.32095029408596,0.38370000000000004,1.2007,0.35300000000000004,0.464,3,halepensis_low,halepensis,low,974,NA
PIHAL_NACIMIENTO_L,P. halepensis,2001,autumn,evi,0.14830000000000002,0.015551848764696757,0.006954998202731616,10.4867489984469,0.1437,0.7415,0.1302,0.169,5,halepensis_low,halepensis,low,974,NA
PIHAL_NACIMIENTO_L,P. halepensis,2001,autumn,ndvi,0.35702,0.061767523829274563,0.027623276416819206,17.300858167406467,0.38580000000000003,1.7851000000000001,0.2899,0.41100000000000003,5,halepensis_low,halepensis,low,974,NA
PIHAL_NACIMIENTO_L,P. halepensis,2001,spring,evi,0.15118333333333334,0.015346584853532288,0.0062652170309131705,10.15097664217768,0.14475,0.9071,0.1424,0.1822,6,halepensis_low,halepensis,low,974,NA
PIHAL_NACIMIENTO_L,P. halepensis,2001,spring,ndvi,0.3192166666666667,0.0524557496054214,0.021414970101413747,16.432647503395206,0.30045,1.9153,0.2889,0.42510000000000003,6,halepensis_low,halepensis,low,974,NA
PIHAL_NACIMIENTO_L,P. halepensis,2001,summer,evi,0.11570000000000001,0.015531516345804745,0.006340714996486333,13.42395535506028,0.1109,0.6942,0.096,0.1404,6,halepensis_low,halepensis,low,974,NA
PIHAL_NACIMIENTO_L,P. halepensis,2001,summer,ndvi,0.2228,0.03435008005813086,0.014023361461028757,15.417450654457298,0.21675,1.3368,0.1791,0.2727,6,halepensis_low,halepensis,low,974,NA
PIHAL_NACIMIENTO_L,P. halepensis,2001,winter,evi,0.16126666666666667,0.015292569001533616,0.006243165151676764,9.482783589210593,0.16445,0.9676,0.1432,0.18100000000000002,6,halepensis_low,halepensis,low,974,NA
PIHAL_NACIMIENTO_L,P. halepensis,2001,winter,ndvi,0.42115,0.06282654693678462,0.025648830382689974,14.917855143484415,0.41000000000000003,2.5269000000000004,0.342,0.49510000000000004,6,halepensis_low,halepensis,low,974,NA
PIHAL_NACIMIENTO_L,P. halepensis,2002,autumn,evi,0.11822,0.01615694896940632,0.00722560724091754,13.6668490690292,0.12440000000000001,0.5911000000000001,0.09960000000000001,0.1351,5,halepensis_low,halepensis,low,974,NA
PIHAL_NACIMIENTO_L,P. halepensis,2002,autumn,ndvi,0.27424,0.043134649645035945,0.019290401758387508,15.728795815721977,0.2612,1.3712,0.22690000000000002,0.3231,5,halepensis_low,halepensis,low,974,NA
PIHAL_NACIMIENTO_L,P. halepensis,2002,spring,evi,0.18030000000000002,0.03182407893403987,0.012992125820408816,17.65062614200769,0.18155,1.0818,0.1311,0.22390000000000002,6,halepensis_low,halepensis,low,974,NA
PIHAL_NACIMIENTO_L,P. halepensis,2002,spring,ndvi,0.3669,0.0774087850311578,0.031602004155854846,21.098060787996133,0.39640000000000003,2.2014,0.24250000000000002,0.4344,6,halepensis_low,halepensis,low,974,NA
PIHAL_NACIMIENTO_L,P. halepensis,2002,summer,evi,0.14213333333333333,0.01416356828862934,0.0057822525407011105,9.964987069861168,0.14650000000000002,0.8528,0.11370000000000001,0.15180000000000002,6,halepensis_low,halepensis,low,974,NA
PIHAL_NACIMIENTO_L,P. halepensis,2002,summer,ndvi,0.2718333333333333,0.02515652334220026,0.010270107648467523,9.254392400564168,0.27449999999999997,1.631,0.22940000000000002,0.3073,6,halepensis_low,halepensis,low,974,NA
PIHAL_NACIMIENTO_L,P. halepensis,2002,winter,evi,0.16213333333333335,0.014117176299340698,0.0057633130903828045,8.70713998725783,0.16260000000000002,0.9728000000000001,0.14700000000000002,0.18530000000000002,6,halepensis_low,halepensis,low,974,NA
PIHAL_NACIMIENTO_L,P. halepensis,2002,winter,ndvi,0.43323333333333336,0.06426948472383037,0.026237907267497113,14.834842976955537,0.41415,2.5994,0.3663,0.5325,6,halepensis_low,halepensis,low,974,NA
PIHAL_NACIMIENTO_L,P. halepensis,2003,autumn,evi,0.16904,0.028042967032751723,0.012541196115203684,16.58954509746316,0.1602,0.8452000000000001,0.1419,0.2051,5,halepensis_low,halepensis,low,974,NA
PIHAL_NACIMIENTO_L,P. halepensis,2003,autumn,ndvi,0.42486,0.09553354384717445,0.04272389963474777,22.485888021271585,0.40280000000000005,2.1243000000000003,0.319,0.5468000000000001,5,halepensis_low,halepensis,low,974,NA
PIHAL_NACIMIENTO_L,P. halepensis,2003,spring,evi,0.17053333333333334,0.025513813252171204,0.010415970643413148,14.961188380866616,0.1686,1.0232,0.13970000000000002,0.20900000000000002,6,halepensis_low,halepensis,low,974,NA
