modelo,name_modelo,max_likeli,n_params,aic_cor,aic,R2,slope,RMSE,w,deltaAIC
mtrat3,Temp (Log-normal),100.38440603071558,3,-194.6724265192625,-194.76881206143116,0.39567678810688456,0.99907441580037,0.10508835541720736,0.19296426360983374,0
mtrat1,Temp (Gaussian),100.35433497405144,3,-194.61228440593425,-194.70866994810288,0.3624837761106066,0.998348760078526,0.10793581582364102,0.18724800206352557,0.060142113328254254
mprecrat3,Prec (Log-normal),100.27795687951892,3,-194.4595282168692,-194.55591375903785,0.27750877373344995,1.0017080965777168,0.11490429077591308,0.17347887914118676,0.2128983023933131
mprecrat1,Prec (Gaussian),100.2722939954841,3,-194.44820244879955,-194.5445879909682,0.269710533784275,1.0024236333600811,0.11552273863229798,0.17249926470546967,0.22422407046295234
mtrat6,Temp (Logistic_Mod),100.44358125088505,4,-192.72587217918945,-192.8871625017701,0.4600061980882621,0.9863713132439488,0.09933775599959994,0.07291014839110012,1.9465543400730496
mprecrat5,Prec (Gompertz),100.28148193706627,4,-192.4016735515519,-192.56296387413255,0.2810365618264421,1.0093475510461274,0.11462341952969776,0.06199963669448315,2.2707529677105924
mcombrat1,Temp (Log-normal) | Prec (Log-normal),100.42867125510186,5,-190.61442753044665,-190.85734251020372,0.44487908021010847,1.003179341471555,0.1007195449053359,0.025368430688187126,4.057998988815854
mcombrat2,Temp (Log-normal) | Prec (Gaussian),100.41841731458283,5,-190.59391964940858,-190.83683462916565,0.4332163067984387,0.9946454046771426,0.10177207542563362,0.025109633422297134,4.078506869853925
mcombrat4,Temp (Gaussian) | Prec (Log-normal),100.40087521100442,5,-190.55883544225176,-190.80175042200884,0.4145148029020189,0.9764748920409175,0.10343747663301901,0.024672998575751292,4.113591077010739
mcombrat5,Temp (Gaussian) | Prec (Gaussian),100.39262632118914,5,-190.5423376626212,-190.78525264237828,0.40491084586529436,0.9900757790517983,0.10428238982179272,0.024470310852743166,4.130088856641294
mcombrat7,Temp (Logistic_Mod) | Prec (Log-normal),100.4844472618624,6,-188.62743110909065,-188.9688945237248,0.5057748414318304,1.0027979362875308,0.09503473815191296,0.009393399896875257,6.04499541017185
mcombrat8,Temp (Logistic_Mod) | Prec (Gaussian),100.46257160088388,6,-188.5836797871336,-188.92514320176775,0.48121496921345097,1.0295370300662057,0.09736742302135465,0.00919014434556667,6.088746732128897
mcombrat3,Temp (Log-normal) | Prec (Gompertz),100.42258751382325,6,-188.50371161301234,-188.8451750276465,0.43813721744859724,1.0217943967246887,0.10132931121740275,0.008829934140594544,6.168714906250159
mcombrat6,Temp (Gaussian) | Prec (Gompertz),100.40062365029863,6,-188.4597838859631,-188.80124730059725,0.4140238213042984,0.9989772306986389,0.10348083832271504,0.008638108994354982,6.212642633299396
mcombrat9,Temp (Logistic_Mod) | Prec (Gompertz),100.47378439701566,7,-186.49042593688847,-186.94756879403133,0.4931295425579244,1.0224605747734496,0.09624284387240933,0.0032268444780308822,8.18200058237403
