tmed,modelo,pred,name_modelo
0,mtrat1,0.30085404838094126,Gaussian
0,mtrat2,NA,Gaussian Extended
0,mtrat3,0,Log-normal
0,mtrat4,0.9587790969437587,Logistic
0,mtrat5,9.971202457899638,Asymptotic
0,mtrat6,0.6609844242830635,Logistic_Mod
0.5,mtrat1,0.3552240326620022,Gaussian
0.5,mtrat2,NA,Gaussian Extended
0.5,mtrat3,6.29278791063105e-7,Log-normal
0.5,mtrat4,0.9547080465145307,Logistic
0.5,mtrat5,8.312695607309298,Asymptotic
0.5,mtrat6,0.6609843985164829,Logistic_Mod
1,mtrat1,0.4121632344337109,Gaussian
1,mtrat2,NA,Gaussian Extended
1,mtrat3,9.096112636965821e-4,Log-normal
1,mtrat4,0.9495213859612083,Logistic
1,mtrat5,6.930529782291452,Asymptotic
1,mtrat6,0.6609843376064951,Logistic_Mod
1.5,mtrat1,0.46995533858176625,Gaussian
1.5,mtrat2,NA,Gaussian Extended
1.5,mtrat3,0.01953940439058696,Log-normal
1.5,mtrat4,0.9429312794173544,Logistic
1.5,mtrat5,5.778660938839121,Asymptotic
1.5,mtrat6,0.6609841936205398,Logistic_Mod
2,mtrat1,0.5265799927810846,Gaussian
2,mtrat2,NA,Gaussian Extended
2,mtrat3,0.10112007275867366,Log-normal
2,mtrat4,0.9345867384778902,Logistic
2,mtrat5,4.818716908607381,Asymptotic
2,mtrat6,0.6609838532503649,Logistic_Mod
2.5,mtrat1,0.5798191431175258,Gaussian
2.5,mtrat2,NA,Gaussian Extended
2.5,mtrat3,0.2669620510479547,Log-normal
2.5,mtrat4,0.9240666149946077,Logistic
2.5,mtrat5,4.018719108149735,Asymptotic
2.5,mtrat6,0.660983048646222,Logistic_Mod
3,mtrat1,0.6273951745745765,Gaussian
3,mtrat2,NA,Gaussian Extended
3,mtrat3,0.4844248279623267,Log-normal
3,mtrat4,0.9108762817688543,Logistic
3,mtrat5,3.352017237434868,Asymptotic
