modelo,name_modelo,max_likeli,n_params,aic_cor,aic,R2,slope,RMSE,exec_time_s,deltaAIC
mtabi4,Logistic,-2108.397599133285,6,4229.018602521889,4228.79519826657,0.42785027790184627,1.0002875026860432,82.33893483642417,18.351216077804565,0
mtabi5,Asymptotic,-2115.234704319875,5,4240.628559833384,4240.46940863975,0.4078612678979312,1.0470423571269898,83.76491142062152,15.063987016677856,11.609957311495236
mtabi3,Log-normal,-2119.3819655397233,4,4246.869751185267,4246.763931079447,0.4120420119564041,1.0347163505725736,83.46868017690801,12.297752857208252,17.8511486633779
mtabi1,Gaussian,-2130.568300107448,4,4269.2424203207165,4269.136600214896,0.374129049626969,1.0494410784070767,86.1177741038937,12.28403615951538,40.22381779882744
mtabi2,Gaussian Extended,-2132.328195178525,5,4274.815541550684,4274.65639035705,0.3409494513423349,0.993503541454557,88.37099844258613,14.733613014221191,45.79693902879535
