tmed,modelo,pred,name_modelo
9.5,mtrat1,0.49638532547473085,Gaussian
9.5,mtrat2,0.35490968611540985,Gaussian Extended
9.5,mtrat3,0.35242229177176043,Log-normal
9.5,mtrat4,0.34657953220844423,Logistic
9.5,mtrat5,0.34293394677332284,Asymptotic
9.5,mtrat6,0.7063866305254847,Logistic_Mod
10,mtrat1,0.4211659440895859,Gaussian
10,mtrat2,0.2971767674963482,Gaussian Extended
10,mtrat3,0.29317061569824326,Log-normal
10,mtrat4,0.29255089015151475,Logistic
10,mtrat5,0.2885905522924343,Asymptotic
10,mtrat6,0.5347028318468041,Logistic_Mod
10.5,mtrat1,0.35121576374170904,Gaussian
10.5,mtrat2,0.24657557682202272,Gaussian Extended
10.5,mtrat3,0.2426905296456256,Log-normal
10.5,mtrat4,0.24380222171425572,Logistic
10.5,mtrat5,0.24314836367781906,Asymptotic
10.5,mtrat6,0.3846095122991242,Logistic_Mod
11,mtrat1,0.2878599168152154,Gaussian
11,mtrat2,0.20281888792518118,Gaussian Extended
11,mtrat3,0.20013922302863987,Log-normal
11,mtrat4,0.2008702437522151,Logistic
11,mtrat5,0.20514940307162277,Asymptotic
11,mtrat6,0.2889347211109973,Logistic_Mod
11.5,mtrat1,0.2318861618838693,Gaussian
11.5,mtrat2,0.16544402398096963,Gaussian Extended
11.5,mtrat3,0.16456727781085775,Log-normal
11.5,mtrat4,0.16386012502663955,Logistic
11.5,mtrat5,0.17337450289247824,Asymptotic
11.5,mtrat6,0.23962510632304473,Logistic_Mod
12,mtrat1,0.18359248935041653,Gaussian
12,mtrat2,0.13388141315884144,Gaussian Extended
12,mtrat3,0.13502138638129563,Log-normal
12,mtrat4,0.13253811531305978,Logistic
12,mtrat5,0.1468041897763358,Asymptotic
12,mtrat6,0.21697582615217792,Logistic_Mod
12.5,mtrat1,0.1428635475470811,Gaussian
12.5,mtrat2,0.10750845228546843,Gaussian Extended
12.5,mtrat3,0.11060378851199335,Log-normal
12.5,mtrat4,0.10644115746473296,Logistic
12.5,mtrat5,0.12458597555348744,Asymptotic
12.5,mtrat6,0.20712463705914108,Logistic_Mod
13,mtrat1,0.10926331969459285,Gaussian
13,mtrat2,0.08569031471728358,Gaussian Extended
13,mtrat3,0.0905027196572185,Log-normal
13,mtrat4,0.08497934363134983,Logistic
13,mtrat5,0.10600700581780652,Asymptotic
13,mtrat6,0.20294190002205736,Logistic_Mod
13.5,mtrat1,0.08213226390375987,Gaussian
13.5,mtrat2,0.06780949381858813,Gaussian Extended
13.5,mtrat3,0.07400428259718234,Log-normal
13.5,mtrat4,0.06751791366943156,Logistic
13.5,mtrat5,0.09047118853846893,Asymptotic
13.5,mtrat6,0.20118414068222565,Logistic_Mod
14,mtrat1,0.06067917088612321,Gaussian
14,mtrat2,0.05328592414128562,Gaussian Extended
14,mtrat3,0.06049301736171638,Log-normal
14,mtrat4,0.05343490534571898,Logistic
14,mtrat5,0.07748006890316289,Asymptotic
14,mtrat6,0.20044865725943065,Logistic_Mod
14.5,mtrat1,0.04406075386608032,Gaussian
14.5,mtrat2,0.04158947213486426,Gaussian Extended
14.5,mtrat3,0.04944607324466864,Log-normal
14.5,mtrat4,0.04215655680619136,Logistic
14.5,mtrat5,0.0666168367767593,Asymptotic
14.5,mtrat6,0.2001414747492526,Logistic_Mod
15,mtrat1,0.03144493132022061,Gaussian
15,mtrat2,0.03224645846760549,Gaussian Extended
15,mtrat3,0.040424174903239865,Log-normal
15,mtrat4,0.03317526470082036,Logistic
15,mtrat5,0.057532953666991744,Asymptotic
15,mtrat6,0.20001327416460524,Logistic_Mod
15.5,mtrat1,0.022056460421939324,Gaussian
15.5,mtrat2,0.024841691156640814,Gaussian Extended
15.5,mtrat3,0.03306138138118086,Log-normal
15.5,mtrat4,0.02605535299058451,Logistic
15.5,mtrat5,0.049936970133568064,Asymptotic
15.5,mtrat6,0.19995978747232163,Logistic_Mod
