prec,modelo,pred,name_modelo
13,mprecrat3,7.526334704910284e-6,Log-normal
13,mprecrat4,0.09668071716775006,Asymptotic
13,mprecrat5,0.018567726881717782,Gompertz
14,mprecrat1,0.04840675308432919,Gaussian
14,mprecrat3,1.07943531264082e-5,Log-normal
14,mprecrat4,0.09691307203544858,Asymptotic
14,mprecrat5,0.018876678645179997,Gompertz
15,mprecrat1,0.04861493501033682,Gaussian
15,mprecrat3,1.5016734166294932e-5,Log-normal
15,mprecrat4,0.09714559208037425,Asymptotic
15,mprecrat5,0.01918929993268888,Gompertz
16,mprecrat1,0.04882379089766192,Gaussian
16,mprecrat3,2.03507877918469e-5,Log-normal
16,mprecrat4,0.09737827553546959,Asymptotic
16,mprecrat5,0.019505610134598964,Gompertz
17,mprecrat1,0.04903332174380239,Gaussian
17,mprecrat3,2.695989679789388e-5,Log-normal
17,mprecrat4,0.0976111206284622,Asymptotic
17,mprecrat5,0.01982562841617902,Gompertz
18,mprecrat1,0.049243528541339045,Gaussian
18,mprecrat3,3.5012155490536235e-5,Log-normal
18,mprecrat4,0.09784412558191581,Asymptotic
18,mprecrat5,0.020149373713993134,Gompertz
19,mprecrat1,0.049454412277896355,Gaussian
19,mprecrat3,4.467910797488935e-5,Log-normal
19,mprecrat4,0.09807728861328176,Asymptotic
19,mprecrat5,0.020476864732327633,Gompertz
20,mprecrat1,0.04966597393610338,Gaussian
20,mprecrat3,5.613459139509303e-5,Log-normal
20,mprecrat4,0.09831060793495063,Asymptotic
20,mprecrat5,0.02080811993966501,Gompertz
21,mprecrat1,0.04987821449355436,Gaussian
21,mprecrat3,6.955368509716104e-5,Log-normal
21,mprecrat4,0.09854408175430446,Asymptotic
21,mprecrat5,0.021143157565205566,Gompertz
22,mprecrat1,0.050091134922769516,Gaussian
22,mprecrat3,8.511176368642747e-5,Log-normal
22,mprecrat4,0.09877770827376911,Asymptotic
22,mprecrat5,0.021481995595437776,Gompertz
23,mprecrat1,0.050304736191155726,Gaussian
23,mprecrat3,1.0298364996177968e-4,Log-normal
23,mprecrat4,0.09901148569086704,Asymptotic
23,mprecrat5,0.021824651770758027,Gompertz
24,mprecrat1,0.05051901926096698,Gaussian
24,mprecrat3,1.2334286245251208e-4,Log-normal
24,mprecrat4,0.09924541219827039,Asymptotic
24,mprecrat5,0.022171143582140795,Gompertz
25,mprecrat1,0.05073398508926506,Gaussian
25,mprecrat3,1.4636095155541452e-4,Log-normal
25,mprecrat4,0.09947948598385443,Asymptotic
25,mprecrat5,0.02252148826785976,Gompertz
26,mprecrat1,0.05094963462787991,Gaussian
26,mprecrat3,1.722069179178525e-4,Log-normal
26,mprecrat4,0.09971370523075132,Asymptotic
26,mprecrat5,0.022875702810260932,Gompertz
27,mprecrat1,0.05116596882337017,Gaussian
27,mprecrat3,2.0104670662519615e-4,Log-normal
27,mprecrat4,0.09994806811740405,Asymptotic
27,mprecrat5,0.02323380393258828,Gompertz
28,mprecrat1,0.05138298861698353,Gaussian
28,mprecrat3,2.3304277084575266e-4,Log-normal
28,mprecrat4,0.10018257281762104,Asymptotic
28,mprecrat5,0.02359580809586277,Gompertz
29,mprecrat1,0.05160069494461706,Gaussian
29,mprecrat3,2.683536988031844e-4,Log-normal
29,mprecrat4,0.10041721750063054,Asymptotic
29,mprecrat5,0.023961731495815417,Gompertz
30,mprecrat1,0.0518190887367775,Gaussian
30,mprecrat3,3.071338982414589e-4,Log-normal
30,mprecrat4,0.10065200033113594,Asymptotic
30,mprecrat5,0.024331590059875077,Gompertz
31,mprecrat1,0.05203817091854152,Gaussian
31,mprecrat3,3.495333328889448e-4,Log-normal
31,mprecrat4,0.10088691946937091,Asymptotic
31,mprecrat5,0.024705399444211698,Gompertz
32,mprecrat1,0.05225794240951603,Gaussian
32,mprecrat3,3.956973057937524e-4,Log-normal
32,mprecrat4,0.10112197307115497,Asymptotic
32,mprecrat5,0.02508317503083549,Gompertz
33,mprecrat1,0.052478404123798124,Gaussian
33,mprecrat3,4.457662847756622e-4,Log-normal
33,mprecrat4,0.10135715928794958,Asymptotic
33,mprecrat5,0.02546493192475289,Gompertz
34,mprecrat1,0.0526995569699354,Gaussian
34,mprecrat3,4.998757656098999e-4,Log-normal
34,mprecrat4,0.10159247626691421,Asymptotic
34,mprecrat5,0.025850684951179603,Gompertz
35,mprecrat1,0.05292140185088592,Gaussian
35,mprecrat3,5.581561689170267e-4,Log-normal
35,mprecrat4,0.1018279221509629,Asymptotic
35,mprecrat5,0.026240448652811672,Gompertz
36,mprecrat1,0.05314393966397826,Gaussian
36,mprecrat3,6.20732767076361e-4,Log-normal
36,mprecrat4,0.10206349507882098,Asymptotic
36,mprecrat5,0.026634237287154673,Gompertz
37,mprecrat1,0.053367171300871624,Gaussian
37,mprecrat3,6.877256378046733e-4,Log-normal
37,mprecrat4,0.10229919318508238,Asymptotic
37,mprecrat5,0.027032064823912055,Gompertz
38,mprecrat1,0.053591097647515594,Gaussian
38,mprecrat3,7.592496413456718e-4,Log-normal
38,mprecrat4,0.10253501460026669,Asymptotic
38,mprecrat5,0.027433944942432707,Gompertz
39,mprecrat1,0.05381571958411021,Gaussian
39,mprecrat3,8.354144184984877e-4,Log-normal
39,mprecrat4,0.10277095745087701,Asymptotic
39,mprecrat5,0.027839891029218432,Gompertz
40,mprecrat1,0.05404103798506576,Gaussian
40,mprecrat3,9.163244069748927e-4,Log-normal
40,mprecrat4,0.10300701985945783,Asymptotic
40,mprecrat5,0.028249916175491805,Gompertz
41,mprecrat1,0.05426705371896269,Gaussian
41,mprecrat3,0.0010020788738159226,Log-normal
41,mprecrat4,0.10324319994465313,Asymptotic
41,mprecrat5,0.028664033174824792,Gompertz
42,mprecrat1,0.05449376764851132,Gaussian
42,mprecrat3,0.001092771961819739,Log-normal
42,mprecrat4,0.10347949582126494,Asymptotic
42,mprecrat5,0.029082254520828472,Gompertz
43,mprecrat1,0.05472118063051174,Gaussian
43,mprecrat3,0.0011884927481349468,Log-normal
43,mprecrat4,0.10371590560031214,Asymptotic
43,mprecrat5,0.029504592404904488,Gompertz
44,mprecrat1,0.054949293515813444,Gaussian
44,mprecrat3,0.0012893253133583733,Log-normal
44,mprecrat4,0.10395242738908918,Asymptotic
44,mprecrat5,0.029931058714058243,Gompertz
45,mprecrat1,0.05517810714927504,Gaussian
45,mprecrat3,0.0013953488196445899,Log-normal
45,mprecrat4,0.10418905929122557,Asymptotic
45,mprecrat5,0.030361665028774534,Gompertz
46,mprecrat1,0.055407622369723984,Gaussian
46,mprecrat3,0.0015066375964875997,Log-normal
46,mprecrat4,0.10442579940674529,Asymptotic
46,mprecrat5,0.030796422620955742,Gompertz
47,mprecrat1,0.05563784000991615,Gaussian
47,mprecrat3,0.001623261232974032,Log-normal
47,mprecrat4,0.10466264583212653,Asymptotic
47,mprecrat5,0.031235342451922863,Gompertz
48,mprecrat1,0.05586876089649555,Gaussian
48,mprecrat3,0.0017452846754332607,Log-normal
48,mprecrat4,0.10489959666036164,Asymptotic
48,mprecrat5,0.031678435170479816,Gompertz
49,mprecrat1,0.056100385849953784,Gaussian
49,mprecrat3,0.0018727683295240837,Log-normal
49,mprecrat4,0.10513664998101746,Asymptotic
49,mprecrat5,0.0321257111110411,Gompertz
50,mprecrat1,0.05633271568458964,Gaussian
50,mprecrat3,0.0020057681659008484,Log-normal
50,mprecrat4,0.10537380388029564,Asymptotic
50,mprecrat5,0.03257718029182315,Gompertz
51,mprecrat1,0.05656575120846871,Gaussian
51,mprecrat3,0.0021443358286953834,Log-normal
51,mprecrat4,0.10561105644109357,Asymptotic
51,mprecrat5,0.03303285241309961,Gompertz
52,mprecrat1,0.05679949322338274,Gaussian
52,mprecrat3,0.0022885187461354635,Log-normal
52,mprecrat4,0.10584840574306502,Asymptotic
52,mprecrat5,0.03349273685552056,Gompertz
53,mprecrat1,0.0570339425248092,Gaussian
53,mprecrat3,0.002438360242696704,Log-normal
53,mprecrat4,0.10608584986268152,Asymptotic
53,mprecrat5,0.03395684267849606,Gompertz
54,mprecrat1,0.05726909990187078,Gaussian
54,mprecrat3,0.0025938996522536033,Log-normal
54,mprecrat4,0.1063233868732937,Asymptotic
54,mprecrat5,0.03442517861864401,Gompertz
55,mprecrat1,0.057504966137294694,Gaussian
55,mprecrat3,0.002755172431757246,Log-normal
55,mprecrat4,0.10656101484519274,Asymptotic
55,mprecrat5,0.03489775308830257,Gompertz
56,mprecrat1,0.05774154200737218,Gaussian
56,mprecrat3,0.002922210275023165,Log-normal
56,mprecrat4,0.10679873184567239,Asymptotic
56,mprecrat5,0.035374574174107,Gompertz
57,mprecrat1,0.057978828281917805,Gaussian
57,mprecrat3,0.0030950412262630675,Log-normal
57,mprecrat4,0.10703653593909082,Asymptotic
57,mprecrat5,0.03585564963563141,Gompertz
58,mprecrat1,0.05821682572422893,Gaussian
58,mprecrat3,0.003273689793039248,Log-normal
58,mprecrat4,0.1072744251869329,Asymptotic
58,mprecrat5,0.03634098690409511,Gompertz
59,mprecrat1,0.058455535091045036,Gaussian
59,mprecrat3,0.0034581770583613975,Log-normal
59,mprecrat4,0.10751239764787263,Asymptotic
59,mprecrat5,0.0368305930811336,Gompertz
60,mprecrat1,0.05869495713250697,Gaussian
60,mprecrat3,0.0036485207916818773,Log-normal
60,mprecrat4,0.1077504513778358,Asymptotic
60,mprecrat5,0.03732447493763465,Gompertz
61,mprecrat1,0.058935092592116295,Gaussian
61,mprecrat3,0.0038447355585783773,Log-normal
