year,sp_code,elev_code,npp,npp_qc
2014,nigra,medium,728.2,11
2014,nigra,low,671.7,7
2014,nigra,high,741.3000000000001,11
2014,pinaster,low2,636,7
2014,pinaster,low,675.7,7
2014,pinaster,medium,745.7,9
2014,pinaster,high,731,9
2014,halepensis,medium,633.5,5
2014,halepensis,low,285.6,11
2014,halepensis,high,532.3000000000001,5
2014,sylvestris,low,994.7,9
2014,sylvestris,medium,928.6,22
2014,sylvestris,high,751.4000000000001,20
2015,nigra,medium,682.7,3
2015,nigra,low,675.4000000000001,5
2015,nigra,high,682.1,7
2015,pinaster,low2,596.8000000000001,5
2015,pinaster,low,627.9000000000001,9
2015,pinaster,medium,683.4000000000001,5
2015,pinaster,high,653.1,7
2015,halepensis,medium,592.7,8
2015,halepensis,low,214.4,25
2015,halepensis,high,456.1,11
2015,sylvestris,low,897.9000000000001,11
2015,sylvestris,medium,845.6,15
2015,sylvestris,high,706,19
2016,nigra,medium,689.8000000000001,9
2016,nigra,low,654.8000000000001,11
2016,nigra,high,665.9000000000001,11
2016,pinaster,low2,502.40000000000003,18
2016,pinaster,low,614.2,5
2016,pinaster,medium,758.3000000000001,11
2016,pinaster,high,754.8000000000001,9
2016,halepensis,medium,607.9,14
2016,halepensis,low,166.8,29
2016,halepensis,high,426.70000000000005,9
2016,sylvestris,low,920.4000000000001,17
2016,sylvestris,medium,855.4000000000001,13
2016,sylvestris,high,664,22
2017,nigra,medium,630.8000000000001,0
2017,nigra,low,623.3000000000001,7
2017,nigra,high,660.1,14
2017,pinaster,low2,499.90000000000003,3
2017,pinaster,low,575.7,7
2017,pinaster,medium,687.7,3
2017,pinaster,high,694.7,11
2017,halepensis,medium,655.5,3
2017,halepensis,low,270.2,14
2017,halepensis,high,457.8,5
2017,sylvestris,low,909.3000000000001,13
2017,sylvestris,medium,839.2,11
2017,sylvestris,high,718.2,18
2018,nigra,medium,741.3000000000001,14
2018,nigra,low,733.3000000000001,14
2018,nigra,high,743.7,22
2018,pinaster,low2,650.9000000000001,9
2018,pinaster,low,697.2,9
2018,pinaster,medium,771.1,16
2018,pinaster,high,781.4000000000001,31
2018,halepensis,medium,703.6,7
2018,halepensis,low,298.7,0
2018,halepensis,high,613.6,7
2018,sylvestris,low,965.5,7
2018,sylvestris,medium,869.4000000000001,6
2018,sylvestris,high,779,31
2019,nigra,medium,748.8000000000001,3
2019,nigra,low,739.2,5
2019,nigra,high,774.3000000000001,5
