prec,modelo,pred,name_modelo
0,mprecrat1,0.12323091168689077,Gaussian
0,mprecrat3,0,Log-normal
0,mprecrat4,0.2624191700638068,Asymptotic
0,mprecrat5,0.008029913763903567,Gompertz
1,mprecrat1,0.12376874424287666,Gaussian
1,mprecrat3,1.9580555948829603e-12,Log-normal
1,mprecrat4,0.26306361872008693,Asymptotic
1,mprecrat5,0.008171936125684426,Gompertz
2,mprecrat1,0.12430836052859731,Gaussian
2,mprecrat3,3.3454891760398305e-10,Log-normal
2,mprecrat4,0.26370859305501854,Asymptotic
2,mprecrat5,0.008315793057581894,Gompertz
3,mprecrat1,0.12484976341710974,Gaussian
3,mprecrat3,5.26115712276305e-9,Log-normal
3,mprecrat4,0.26435408832093277,Asymptotic
3,mprecrat5,0.00846149641762323,Gompertz
4,mprecrat1,0.12539295576963722,Gaussian
4,mprecrat3,3.319946260790278e-8,Log-normal
4,mprecrat4,0.26500009975378375,Asymptotic
4,mprecrat5,0.008609057969752318,Gompertz
5,mprecrat1,0.12593794043546544,Gaussian
5,mprecrat3,1.299291961932366e-7,Log-normal
5,mprecrat4,0.265646622573278,Asymptotic
5,mprecrat5,0.008758489381602343,Gompertz
6,mprecrat1,0.12648472025183866,Gaussian
6,mprecrat3,3.799470541786161e-7,Log-normal
6,mprecrat4,0.26629365198300564,Asymptotic
6,mprecrat5,0.00890980222228602,Gompertz
7,mprecrat1,0.12703329804385607,Gaussian
7,mprecrat3,9.141080688179001e-7,Log-normal
7,mprecrat4,0.26694118317057225,Asymptotic
7,mprecrat5,0.009063007960204041,Gompertz
8,mprecrat1,0.12758367662436754,Gaussian
8,mprecrat3,1.9135477019041934e-6,Log-normal
8,mprecrat4,0.26758921130773167,Asymptotic
8,mprecrat5,0.00921811796087229,Gompertz
9,mprecrat1,0.12813585879386938,Gaussian
9,mprecrat3,3.6105466487663016e-6,Log-normal
9,mprecrat4,0.2682377315505202,Asymptotic
9,mprecrat5,0.009375143484768455,Gompertz
10,mprecrat1,0.12868984734039995,Gaussian
10,mprecrat3,6.2871209014223245e-6,Log-normal
10,mprecrat4,0.2688867390393917,Asymptotic
10,mprecrat5,0.009534095685198649,Gompertz
11,mprecrat1,0.12924564503943525,Gaussian
11,mprecrat3,1.0272037725678663e-5,Log-normal
11,mprecrat4,0.26953622889935336,Asymptotic
11,mprecrat5,0.009694985606184548,Gompertz
12,mprecrat1,0.12980325465378362,Gaussian
12,mprecrat3,1.5936821396089974e-5,Log-normal
12,mprecrat4,0.27018619624010304,Asymptotic
12,mprecrat5,0.009857824180371729,Gompertz
