year,IBT_ag_m2,sp_code,elev_code
1965,0.0431696427563674,sylvestris,medium
1966,0.181052432264513,sylvestris,medium
1967,0.79662806871758,sylvestris,medium
1968,2.36308992322082,sylvestris,medium
1969,5.24160504258936,sylvestris,medium
1970,10.8728168553305,sylvestris,medium
1971,20.9115825957526,sylvestris,medium
1972,33.3283848223679,sylvestris,medium
1973,55.7676881861665,sylvestris,medium
1974,76.7723098071339,sylvestris,medium
1975,86.4527050239121,sylvestris,medium
1976,126.618286172324,sylvestris,medium
1977,198.606904167084,sylvestris,medium
1978,248.338557438598,sylvestris,medium
1979,275.954626596727,sylvestris,medium
1980,263.094554610276,sylvestris,medium
1981,249.37419582181,sylvestris,medium
1982,224.276959865382,sylvestris,medium
1983,265.363145494944,sylvestris,medium
1984,265.037476366142,sylvestris,medium
1985,320.709518749659,sylvestris,medium
1986,271.882663762929,sylvestris,medium
1987,222.67839485216,sylvestris,medium
1988,233.521052697942,sylvestris,medium
1989,227.658729406074,sylvestris,medium
1990,261.536550415023,sylvestris,medium
1991,283.8185025775,sylvestris,medium
1992,219.765022863504,sylvestris,medium
1993,200.242776050475,sylvestris,medium
1994,163.348324272285,sylvestris,medium
1995,82.8144168575475,sylvestris,medium
1996,181.207149386267,sylvestris,medium
1997,193.794033069476,sylvestris,medium
1998,252.076152853135,sylvestris,medium
1999,128.538959604531,sylvestris,medium
2000,368.453098282795,sylvestris,medium
2001,390.526527438453,sylvestris,medium
2002,257.880639812585,sylvestris,medium
2003,323.370710684019,sylvestris,medium
2004,331.629999567439,sylvestris,medium
2005,126.536179404636,sylvestris,medium
2006,138.827531232051,sylvestris,medium
2007,118.655976618434,sylvestris,medium
2008,224.816201883332,sylvestris,medium
2009,201.388708231178,sylvestris,medium
2010,200.356707880688,sylvestris,medium
2011,260.468465976592,sylvestris,medium
2012,97.6633055590754,sylvestris,medium
2013,275.581194643744,sylvestris,medium
2014,174.424978020961,sylvestris,medium
2015,123.979650196846,sylvestris,medium
2016,105.120372375173,sylvestris,medium
2017,131.44910777667,sylvestris,medium
2018,195.134375967529,sylvestris,medium
1969,9.5152168602182e-4,sylvestris,high
1970,0.332553154329414,sylvestris,high
1971,0.282458539115426,sylvestris,high
1972,0.527845338677269,sylvestris,high
1973,0.916820815167226,sylvestris,high
1974,1.5746694142082,sylvestris,high
1975,7.73056173381899,sylvestris,high
1976,8.55679138050503,sylvestris,high
1977,14.2683864826909,sylvestris,high
1978,23.7916840768649,sylvestris,high
1979,40.3285127755835,sylvestris,high
1980,36.7926990462844,sylvestris,high
1981,72.9274710033041,sylvestris,high
1982,112.424084414045,sylvestris,high
1983,140.612861772493,sylvestris,high
1984,151.141329693075,sylvestris,high
1985,196.430284391881,sylvestris,high
1986,223.482720723488,sylvestris,high
1987,296.591638751001,sylvestris,high
1988,297.414482293007,sylvestris,high
1989,326.226295040593,sylvestris,high
1990,333.792446846112,sylvestris,high
1991,333.508271113434,sylvestris,high
1992,383.835469766615,sylvestris,high
1993,403.753869361593,sylvestris,high
1994,358.235185669275,sylvestris,high
1995,69.8971150247371,sylvestris,high
1996,337.920293907913,sylvestris,high
1997,413.3528048124,sylvestris,high
1998,386.425207412223,sylvestris,high
1999,245.612034291457,sylvestris,high
2000,419.261965399627,sylvestris,high
2001,391.84305961625,sylvestris,high
2002,314.456843706444,sylvestris,high
2003,374.390770216833,sylvestris,high
2004,407.595009846786,sylvestris,high
2005,285.625006729538,sylvestris,high
2006,326.752496335296,sylvestris,high
2007,267.63619227392,sylvestris,high
2008,368.382135583602,sylvestris,high
2009,259.737372711552,sylvestris,high
2010,354.334607828625,sylvestris,high
2011,391.606309790548,sylvestris,high
2012,208.260035871728,sylvestris,high
2013,326.427725218079,sylvestris,high
2014,286.613733522699,sylvestris,high
2015,238.36680727488,sylvestris,high
2016,266.932272768818,sylvestris,high
2017,268.702534071255,sylvestris,high
2018,324.499581434592,sylvestris,high
1980,0.00152216401534616,halepensis,low
1981,0.0428228384596961,halepensis,low
1982,0.118427131414164,halepensis,low
1983,0.809431636033544,halepensis,low
1984,1.50106986863992,halepensis,low
1985,3.00901717923575,halepensis,low
1986,3.4277076883291002,halepensis,low
1987,6.16046278546815,halepensis,low
1988,10.2364480327778,halepensis,low
1989,31.8917857257199,halepensis,low
1990,76.4024497219929,halepensis,low
1991,43.4318837541511,halepensis,low
1992,71.0771022440993,halepensis,low
1993,43.2711663982575,halepensis,low
1994,39.607889334075,halepensis,low
1995,16.7498323569302,halepensis,low
1996,97.6534282657389,halepensis,low
1997,136.973649959072,halepensis,low
1998,50.1172701973166,halepensis,low
1999,32.3503093324664,halepensis,low
2000,28.1140196822451,halepensis,low
2001,37.813925632046,halepensis,low
2002,56.9996742209315,halepensis,low
2003,40.764130326489,halepensis,low
2004,123.84486641924,halepensis,low
2005,37.8546080366371,halepensis,low
2006,24.0820410765901,halepensis,low
2007,32.7455167613971,halepensis,low
2008,28.7274310206517,halepensis,low
2009,41.9024671437451,halepensis,low
2010,147.598989651263,halepensis,low
2011,98.3237288494051,halepensis,low
2012,4.99129056487366,halepensis,low
2013,37.8688440273333,halepensis,low
2014,8.60741532669482,halepensis,low
2015,21.8238196211987,halepensis,low
2016,19.7566427403227,halepensis,low
2017,37.218696520132,halepensis,low
2018,23.9806469687468,halepensis,low
2019,14.1442150479459,halepensis,low
2020,24.2588149619468,halepensis,low
2021,16.8121807659879,halepensis,low
2022,40.706174897313,halepensis,low
1959,0.533359802832069,halepensis,high
1960,2.79106675117953,halepensis,high
1961,7.805505466631,halepensis,high
1962,29.8255233488277,halepensis,high
1963,64.6729967697091,halepensis,high
1964,58.8307015714785,halepensis,high
1965,53.6509468609008,halepensis,high
1966,60.3724429703098,halepensis,high
1967,98.8953807708631,halepensis,high
1968,80.006280822895,halepensis,high
1969,103.791126313267,halepensis,high
1970,112.809703916336,halepensis,high
1971,115.218288895593,halepensis,high
1972,122.379115068017,halepensis,high
1973,109.586651054678,halepensis,high
1974,88.6826229226374,halepensis,high
1975,98.6388178301218,halepensis,high
1976,96.1075822762155,halepensis,high
1977,69.9450600995241,halepensis,high
1978,79.0893172495387,halepensis,high
1979,74.6640110862919,halepensis,high
1980,77.7656494558001,halepensis,high
1981,18.3112764371114,halepensis,high
1982,22.2039439395105,halepensis,high
1983,32.9740826762541,halepensis,high
1984,40.5682104213572,halepensis,high
1985,31.631788062465102,halepensis,high
1986,19.0317144089562,halepensis,high
1987,24.4131879303879,halepensis,high
1988,35.8594494258278,halepensis,high
1989,63.1163113379029,halepensis,high
1990,112.782959120249,halepensis,high
1991,44.246576199268,halepensis,high
1992,65.9825283134915,halepensis,high
1993,59.3490899848944,halepensis,high
1994,28.899730491255202,halepensis,high
1995,17.1485776276653,halepensis,high
1996,54.0825682625236,halepensis,high
1997,108.506862653498,halepensis,high
1998,90.2844014152939,halepensis,high
1999,21.6028335537844,halepensis,high
2000,43.2310471289393,halepensis,high
2001,49.0317604737226,halepensis,high
2002,84.1466913740038,halepensis,high
2003,83.5908687732384,halepensis,high
2004,106.218680991638,halepensis,high
2005,19.6627455298506,halepensis,high
2006,36.9978676005737,halepensis,high
2007,34.6126403805404,halepensis,high
2008,15.8987586386623,halepensis,high
2009,43.1625250517003,halepensis,high
2010,78.4813008964852,halepensis,high
