sp_code,elev_code,sp_elev,mean_tau,mean_pvalue_mk,mean_senslope,mean_pvalue_sen,ypos,p_value_string,taulabel,Specie
halepensis,low,halepensis_low,-0.07507507503032684,0.5216102600097656,-0.008458378278965166,0.5216102816326905,15,,"tau == ""−0.075""",P. halepensis
halepensis,medium,halepensis_medium,-0.28409090638160706,0.020962046459317207,-0.04940090727292437,0.02096203964877538,16,*,"tau == ""−0.284*""",P. halepensis
halepensis,high,halepensis_high,-0.13813814520835876,0.2339763045310974,-0.021008323940125563,0.2339763643043408,17,,"tau == ""−0.138""",P. halepensis
nigra,low,nigra_low,-0.17777779698371887,0.13055440783500671,-0.028124052537693654,0.1305544066089274,15,,"tau == ""−0.178""",P. nigra
nigra,medium,nigra_medium,-0.2661290466785431,0.03364044427871704,-0.02420023622735059,0.03364043981005892,16,*,"tau == ""−0.266*""",P. nigra
nigra,high,nigra_high,-0.3680672347545624,0.0019620840903371572,-0.09367463859515301,0.0019620845866808625,17,**,"tau == ""−0.368**""",P. nigra
pinaster,low-Dec,pinaster_low-Dec,0.09841270744800568,0.40604448318481445,0.014429522997496027,0.4060445067036337,14,,"tau == ""0.098""",P. pinaster
pinaster,low,pinaster_low,0.01269841380417347,0.9240398406982422,0.0016194492636737294,0.9240398006814219,15,,"tau == ""0.013""",P. pinaster
pinaster,medium,pinaster_medium,-0.060483869165182114,0.6381570100784302,-0.0269728302476226,0.6381570271128183,16,,"tau == ""−0.06""",P. pinaster
pinaster,high,pinaster_high,-0.4117647111415863,5.299369804561138e-4,-0.1997172647446873,5.299369569881145e-4,17,***,"tau == ""−0.412***""",P. pinaster
sylvestris,low,sylvestris_low,-0.0833333358168602,0.5052450895309448,-0.019077233965584348,0.50524509057667,15,,"tau == ""−0.083""",P. sylvestris
sylvestris,medium,sylvestris_medium,-0.28409090638160706,0.020962046459317207,-0.07844822820769332,0.02096203964877538,16,*,"tau == ""−0.284*""",P. sylvestris
sylvestris,high,sylvestris_high,-0.41287878155708313,7.729966891929507e-4,-0.11651722941592133,7.729958128889904e-4,17,***,"tau == ""−0.413***""",P. sylvestris
