date,elev_code,sp_code,sp_elev,npp,npp_qc
2000-02-18,medium,nigra,nigra_medium,696.4,22
2000-02-18,low,nigra,nigra_low,659.5000000000001,20
2000-02-18,high,nigra,nigra_high,687.6999999999999,22
2000-02-18,low2,pinaster,pinaster_low2,517.2,18
2000-02-18,low,pinaster,pinaster_low,579.9000000000001,16
2000-02-18,medium,pinaster,pinaster_medium,719.1,20
2000-02-18,high,pinaster,pinaster_high,716.2,28
2000-02-18,medium,halepensis,halepensis_medium,616,16
2000-02-18,low,halepensis,halepensis_low,240.6,22
2000-02-18,high,halepensis,halepensis_high,448.8,20
2000-02-18,low,sylvestris,sylvestris_low,829.8000000000001,22
2000-02-18,medium,sylvestris,sylvestris_medium,775.1,20
2000-02-18,high,sylvestris,sylvestris_high,616.6,26
2001-01-01,medium,nigra,nigra_medium,742,5
2001-01-01,low,nigra,nigra_low,712.3000000000001,7
2001-01-01,high,nigra,nigra_high,719.2,11
2001-01-01,low2,pinaster,pinaster_low2,587.0000000000001,7
2001-01-01,low,pinaster,pinaster_low,659.9000000000001,11
2001-01-01,medium,pinaster,pinaster_medium,771.8000000000001,5
2001-01-01,high,pinaster,pinaster_high,734.8,18
2001-01-01,medium,halepensis,halepensis_medium,589.7,7
2001-01-01,low,halepensis,halepensis_low,244.2,16
2001-01-01,high,halepensis,halepensis_high,498.1,11
2001-01-01,low,sylvestris,sylvestris_low,875.6,5
2001-01-01,medium,sylvestris,sylvestris_medium,820.6,14
2001-01-01,high,sylvestris,sylvestris_high,665,20
2002-01-01,medium,nigra,nigra_medium,785.4,5
2002-01-01,low,nigra,nigra_low,745.1,5
2002-01-01,high,nigra,nigra_high,772,5
2002-01-01,low2,pinaster,pinaster_low2,566.0000000000001,3
2002-01-01,low,pinaster,pinaster_low,695.6,3
2002-01-01,medium,pinaster,pinaster_medium,826.1,5
2002-01-01,high,pinaster,pinaster_high,821.9000000000001,5
2002-01-01,medium,halepensis,halepensis_medium,688,3
2002-01-01,low,halepensis,halepensis_low,300.6,13
2002-01-01,high,halepensis,halepensis_high,512.7,14
2002-01-01,low,sylvestris,sylvestris_low,971.4000000000001,16
2002-01-01,medium,sylvestris,sylvestris_medium,854.3000000000001,16
2002-01-01,high,sylvestris,sylvestris_high,718.8,24
2003-01-01,medium,nigra,nigra_medium,668.1,11
2003-01-01,low,nigra,nigra_low,665.4,7
2003-01-01,high,nigra,nigra_high,646.7,19
2003-01-01,low2,pinaster,pinaster_low2,546.6,7
2003-01-01,low,pinaster,pinaster_low,604.3000000000001,0
2003-01-01,medium,pinaster,pinaster_medium,704.3000000000001,14
2003-01-01,high,pinaster,pinaster_high,704.5,19
2003-01-01,medium,halepensis,halepensis_medium,554.8000000000001,5
2003-01-01,low,halepensis,halepensis_low,266.5,11
2003-01-01,high,halepensis,halepensis_high,511.29999999999995,7
2003-01-01,low,sylvestris,sylvestris_low,886.3000000000001,14
2003-01-01,medium,sylvestris,sylvestris_medium,823.9000000000001,11
2003-01-01,high,sylvestris,sylvestris_high,659.2,28
2004-01-01,medium,nigra,nigra_medium,826.5,3
2004-01-01,low,nigra,nigra_low,779.6,5
2004-01-01,high,nigra,nigra_high,774.8000000000001,7
2004-01-01,low2,pinaster,pinaster_low2,651.6,7
2004-01-01,low,pinaster,pinaster_low,752.1,3
2004-01-01,medium,pinaster,pinaster_medium,872.9,5
2004-01-01,high,pinaster,pinaster_high,813.4,9
2004-01-01,medium,halepensis,halepensis_medium,704.7,3
2004-01-01,low,halepensis,halepensis_low,390.1,9
2004-01-01,high,halepensis,halepensis_high,566.0000000000001,0
2004-01-01,low,sylvestris,sylvestris_low,997,18
2004-01-01,medium,sylvestris,sylvestris_medium,882.1,17
2004-01-01,high,sylvestris,sylvestris_high,750.6,28
2005-01-01,medium,nigra,nigra_medium,631.1999999999999,3
2005-01-01,low,nigra,nigra_low,593.3000000000001,3
2005-01-01,high,nigra,nigra_high,601.5,9
2005-01-01,low2,pinaster,pinaster_low2,529.2,8
2005-01-01,low,pinaster,pinaster_low,558.4,8
2005-01-01,medium,pinaster,pinaster_medium,649.9,9
2005-01-01,high,pinaster,pinaster_high,648.5000000000001,7
2005-01-01,medium,halepensis,halepensis_medium,639.6,7
2005-01-01,low,halepensis,halepensis_low,297.70000000000005,13
2005-01-01,high,halepensis,halepensis_high,484.50000000000006,11
2005-01-01,low,sylvestris,sylvestris_low,842.8,16
2005-01-01,medium,sylvestris,sylvestris_medium,789.4,18
2005-01-01,high,sylvestris,sylvestris_high,644.8000000000001,18
2006-01-01,medium,nigra,nigra_medium,697.6999999999999,11
2006-01-01,low,nigra,nigra_low,663.5,8
2006-01-01,high,nigra,nigra_high,665.2,11
2006-01-01,low2,pinaster,pinaster_low2,553.4,7
2006-01-01,low,pinaster,pinaster_low,589.0000000000001,5
2006-01-01,medium,pinaster,pinaster_medium,719.9,18
2006-01-01,high,pinaster,pinaster_high,696.6,9
2006-01-01,medium,halepensis,halepensis_medium,611.3000000000001,5
2006-01-01,low,halepensis,halepensis_low,286.4,14
2006-01-01,high,halepensis,halepensis_high,509.6000000000001,13
2006-01-01,low,sylvestris,sylvestris_low,904.5000000000001,22
2006-01-01,medium,sylvestris,sylvestris_medium,843.0000000000001,27
2006-01-01,high,sylvestris,sylvestris_high,630.1,22
2007-01-01,medium,nigra,nigra_medium,805,0
2007-01-01,low,nigra,nigra_low,765.3000000000001,0
2007-01-01,high,nigra,nigra_high,838.6,11
2007-01-01,low2,pinaster,pinaster_low2,620.2,5
2007-01-01,low,pinaster,pinaster_low,716.2,9
2007-01-01,medium,pinaster,pinaster_medium,862.4000000000001,3
2007-01-01,high,pinaster,pinaster_high,810.2,13
2007-01-01,medium,halepensis,halepensis_medium,694.6,3
2007-01-01,low,halepensis,halepensis_low,311.90000000000003,8
2007-01-01,high,halepensis,halepensis_high,588.0000000000001,7
2007-01-01,low,sylvestris,sylvestris_low,929.9000000000001,17
2007-01-01,medium,sylvestris,sylvestris_medium,854.3000000000001,14
2007-01-01,high,sylvestris,sylvestris_high,746.3000000000001,14
2008-01-01,medium,nigra,nigra_medium,717.4000000000001,9
2008-01-01,low,nigra,nigra_low,661.5,7
2008-01-01,high,nigra,nigra_high,726.2,13
