DATA,spei_1,spei_3,spei_6,spei_9,spei_12,spei_24,spi_1,spi_3,spi_6,spi_9,spi_12,spi_24,duration_spei_1,duration_spei_3,duration_spei_6,duration_spei_9,duration_spei_12,duration_spei_24,intensity_spei_1,intensity_spei_3,intensity_spei_6,intensity_spei_9,intensity_spei_12,intensity_spei_24,duration_spi_1,duration_spi_3,duration_spi_6,duration_spi_9,duration_spi_12,duration_spi_24,intensity_spi_1,intensity_spi_3,intensity_spi_6,intensity_spi_9,intensity_spi_12,intensity_spi_24
1961-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-23,-0.05,,,,,,-0.31,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-02-01,-0.82,,,,,,-0.99,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-02-09,-1.11,,,,,,-1.19,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-02-16,-1.17,,,,,,-1.36,,,,,,0,,,,,,0,,,,,,1,,,,,,1.36,,,,,
1961-02-23,-1.52,,,,,,-2.51,,,,,,1,,,,,,1.52,,,,,,2,,,,,,3.87,,,,,
1961-03-01,-1.41,,,,,,-2.2,,,,,,2,,,,,,2.93,,,,,,3,,,,,,6.07,,,,,
1961-03-09,-1.32,,,,,,-1.96,,,,,,3,,,,,,4.25,,,,,,4,,,,,,8.03,,,,,
1961-03-16,-1.27,,,,,,-1.27,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-03-23,-1.27,-1.67,,,,,-1.32,-1.93,,,,,0,1,,,,,0,1.67,,,,,1,1,,,,,1.32,1.93,,,,
1961-04-01,-0.44,-1.67,,,,,-0.13,-1.84,,,,,0,2,,,,,0,3.34,,,,,0,2,,,,,0,3.77,,,,
1961-04-09,-0.34,-1.76,,,,,-0.04,-1.93,,,,,0,3,,,,,0,5.1,,,,,0,3,,,,,0,5.7,,,,
1961-04-16,-0.53,-1.88,,,,,-0.3,-2.15,,,,,0,4,,,,,0,6.98,,,,,0,4,,,,,0,7.85,,,,
1961-04-23,-0.43,-1.92,,,,,-0.2,-2.22,,,,,0,5,,,,,0,8.9,,,,,0,5,,,,,0,10.07,,,,
1961-05-01,-1.01,-1.64,,,,,-0.98,-1.86,,,,,0,6,,,,,0,10.54,,,,,0,6,,,,,0,11.93,,,,
1961-05-09,-1.01,-1.52,,,,,-1.01,-1.69,,,,,0,7,,,,,0,12.06,,,,,0,7,,,,,0,13.62,,,,
1961-05-16,-1.08,-1.57,,,,,-0.96,-1.54,,,,,0,8,,,,,0,13.63,,,,,0,8,,,,,0,15.16,,,,
1961-05-23,0.17,-0.75,,,,,0.44,-0.62,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-06-01,0.85,-0.33,,,,,0.88,-0.21,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-06-09,1.21,-0.16,,,,,1.21,-0.04,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
