DATA,spei_1,spei_3,spei_6,spei_9,spei_12,spei_24,spi_1,spi_3,spi_6,spi_9,spi_12,spi_24,duration_spei_1,duration_spei_3,duration_spei_6,duration_spei_9,duration_spei_12,duration_spei_24,intensity_spei_1,intensity_spei_3,intensity_spei_6,intensity_spei_9,intensity_spei_12,intensity_spei_24,duration_spi_1,duration_spi_3,duration_spi_6,duration_spi_9,duration_spi_12,duration_spi_24,intensity_spi_1,intensity_spi_3,intensity_spi_6,intensity_spi_9,intensity_spi_12,intensity_spi_24
1961-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-23,-0.09,,,,,,-0.3,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-02-01,-0.84,,,,,,-0.96,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-02-09,-1.13,,,,,,-1.13,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-02-16,-1.14,,,,,,-1.24,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-02-23,-1.52,,,,,,-2.37,,,,,,1,,,,,,1.52,,,,,,1,,,,,,2.37,,,,,
1961-03-01,-1.46,,,,,,-2.33,,,,,,2,,,,,,2.98,,,,,,2,,,,,,4.7,,,,,
1961-03-09,-1.42,,,,,,-2.12,,,,,,3,,,,,,4.4,,,,,,3,,,,,,6.82,,,,,
1961-03-16,-1.36,,,,,,-1.36,,,,,,4,,,,,,5.76,,,,,,4,,,,,,8.18,,,,,
1961-03-23,-1.37,-1.69,,,,,-1.38,-1.88,,,,,5,1,,,,,7.13,1.69,,,,,5,1,,,,,9.56,1.88,,,,
1961-04-01,-0.49,-1.72,,,,,-0.15,-1.84,,,,,0,2,,,,,0,3.41,,,,,0,2,,,,,0,3.72,,,,
1961-04-09,-0.37,-1.84,,,,,-0.08,-1.93,,,,,0,3,,,,,0,5.25,,,,,0,3,,,,,0,5.65,,,,
1961-04-16,-0.57,-1.95,,,,,-0.33,-2.16,,,,,0,4,,,,,0,7.2,,,,,0,4,,,,,0,7.81,,,,
1961-04-23,-0.4,-2.04,,,,,-0.2,-2.3,,,,,0,5,,,,,0,9.24,,,,,0,5,,,,,0,10.11,,,,
1961-05-01,-1.01,-1.72,,,,,-1.03,-1.94,,,,,0,6,,,,,0,10.96,,,,,0,6,,,,,0,12.05,,,,
1961-05-09,-1.01,-1.58,,,,,-1.05,-1.78,,,,,0,7,,,,,0,12.54,,,,,0,7,,,,,0,13.83,,,,
1961-05-16,-1.08,-1.64,,,,,-1.03,-1.63,,,,,0,8,,,,,0,14.18,,,,,0,8,,,,,0,15.46,,,,
1961-05-23,0.2,-0.8,,,,,0.43,-0.67,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-06-01,0.86,-0.36,,,,,0.87,-0.25,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-06-09,1.22,-0.18,,,,,1.22,-0.07,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
