DATA,spei_1,spei_3,spei_6,spei_9,spei_12,spei_24,spi_1,spi_3,spi_6,spi_9,spi_12,spi_24,duration_spei_1,duration_spei_3,duration_spei_6,duration_spei_9,duration_spei_12,duration_spei_24,intensity_spei_1,intensity_spei_3,intensity_spei_6,intensity_spei_9,intensity_spei_12,intensity_spei_24,duration_spi_1,duration_spi_3,duration_spi_6,duration_spi_9,duration_spi_12,duration_spi_24,intensity_spi_1,intensity_spi_3,intensity_spi_6,intensity_spi_9,intensity_spi_12,intensity_spi_24
1961-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-23,-0.17,,,,,,-0.39,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-02-01,-0.87,,,,,,-1.02,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-02-09,-1.11,,,,,,-1.14,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-02-16,-1.15,,,,,,-1.34,,,,,,0,,,,,,0,,,,,,1,,,,,,1.34,,,,,
1961-02-23,-1.47,,,,,,-2.28,,,,,,1,,,,,,1.47,,,,,,2,,,,,,3.62,,,,,
1961-03-01,-1.39,,,,,,-2.19,,,,,,2,,,,,,2.86,,,,,,3,,,,,,5.81,,,,,
1961-03-09,-1.33,,,,,,-1.98,,,,,,3,,,,,,4.19,,,,,,4,,,,,,7.79,,,,,
1961-03-16,-1.3,,,,,,-1.29,,,,,,4,,,,,,5.49,,,,,,5,,,,,,9.08,,,,,
1961-03-23,-1.28,-1.67,,,,,-1.28,-1.93,,,,,0,1,,,,,0,1.67,,,,,0,1,,,,,0,1.93,,,,
1961-04-01,-0.43,-1.65,,,,,-0.09,-1.84,,,,,0,2,,,,,0,3.32,,,,,0,2,,,,,0,3.77,,,,
1961-04-09,-0.33,-1.79,,,,,-0.05,-1.91,,,,,0,3,,,,,0,5.11,,,,,0,3,,,,,0,5.68,,,,
1961-04-16,-0.49,-1.85,,,,,-0.28,-2.14,,,,,0,4,,,,,0,6.96,,,,,0,4,,,,,0,7.82,,,,
1961-04-23,-0.46,-1.94,,,,,-0.26,-2.25,,,,,0,5,,,,,0,8.9,,,,,0,5,,,,,0,10.07,,,,
1961-05-01,-1.11,-1.69,,,,,-1.22,-1.89,,,,,0,6,,,,,0,10.59,,,,,0,6,,,,,0,11.96,,,,
1961-05-09,-1.05,-1.57,,,,,-1.19,-1.75,,,,,0,7,,,,,0,12.16,,,,,0,7,,,,,0,13.71,,,,
1961-05-16,-1.1,-1.6,,,,,-1.16,-1.62,,,,,0,8,,,,,0,13.76,,,,,0,8,,,,,0,15.33,,,,
1961-05-23,0.47,-0.72,,,,,0.65,-0.58,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-06-01,1.09,-0.32,,,,,1.1,-0.19,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-06-09,1.39,-0.12,,,,,1.41,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
