DATA,spei_1,spei_3,spei_6,spei_9,spei_12,spei_24,spi_1,spi_3,spi_6,spi_9,spi_12,spi_24,duration_spei_1,duration_spei_3,duration_spei_6,duration_spei_9,duration_spei_12,duration_spei_24,intensity_spei_1,intensity_spei_3,intensity_spei_6,intensity_spei_9,intensity_spei_12,intensity_spei_24,duration_spi_1,duration_spi_3,duration_spi_6,duration_spi_9,duration_spi_12,duration_spi_24,intensity_spi_1,intensity_spi_3,intensity_spi_6,intensity_spi_9,intensity_spi_12,intensity_spi_24
1961-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-23,0.03,,,,,,-0.24,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-02-01,-0.77,,,,,,-0.97,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-02-09,-1.06,,,,,,-1.16,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-02-16,-1.14,,,,,,-1.37,,,,,,0,,,,,,0,,,,,,1,,,,,,1.37,,,,,
1961-02-23,-1.51,,,,,,-2.59,,,,,,1,,,,,,1.51,,,,,,2,,,,,,3.96,,,,,
1961-03-01,-1.39,,,,,,-2.17,,,,,,2,,,,,,2.9,,,,,,3,,,,,,6.13,,,,,
1961-03-09,-1.31,,,,,,-1.93,,,,,,3,,,,,,4.21,,,,,,4,,,,,,8.06,,,,,
1961-03-16,-1.28,,,,,,-1.24,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-03-23,-1.29,-1.6,,,,,-1.31,-1.85,,,,,1,1,,,,,1.29,1.6,,,,,1,1,,,,,1.31,1.85,,,,
1961-04-01,-0.5,-1.66,,,,,-0.18,-1.82,,,,,0,2,,,,,0,3.26,,,,,0,2,,,,,0,3.67,,,,
1961-04-09,-0.41,-1.78,,,,,-0.1,-1.95,,,,,0,3,,,,,0,5.04,,,,,0,3,,,,,0,5.62,,,,
1961-04-16,-0.59,-1.92,,,,,-0.36,-2.17,,,,,0,4,,,,,0,6.96,,,,,0,4,,,,,0,7.79,,,,
1961-04-23,-0.52,-1.95,,,,,-0.26,-2.25,,,,,0,5,,,,,0,8.91,,,,,0,5,,,,,0,10.04,,,,
1961-05-01,-1.04,-1.67,,,,,-1.01,-1.92,,,,,0,6,,,,,0,10.58,,,,,0,6,,,,,0,11.96,,,,
1961-05-09,-1.03,-1.54,,,,,-1.04,-1.75,,,,,0,7,,,,,0,12.12,,,,,0,7,,,,,0,13.71,,,,
1961-05-16,-1.11,-1.6,,,,,-1,-1.58,,,,,0,8,,,,,0,13.72,,,,,0,8,,,,,0,15.29,,,,
1961-05-23,0.16,-0.79,,,,,0.44,-0.64,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-06-01,0.86,-0.37,,,,,0.9,-0.24,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-06-09,1.22,-0.2,,,,,1.23,-0.06,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
