DATA,spei_1,spei_3,spei_6,spei_9,spei_12,spei_24,spi_1,spi_3,spi_6,spi_9,spi_12,spi_24,duration_spei_1,duration_spei_3,duration_spei_6,duration_spei_9,duration_spei_12,duration_spei_24,intensity_spei_1,intensity_spei_3,intensity_spei_6,intensity_spei_9,intensity_spei_12,intensity_spei_24,duration_spi_1,duration_spi_3,duration_spi_6,duration_spi_9,duration_spi_12,duration_spi_24,intensity_spi_1,intensity_spi_3,intensity_spi_6,intensity_spi_9,intensity_spi_12,intensity_spi_24
1961-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-23,-0.04,,,,,,-0.27,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-02-01,-0.82,,,,,,-0.95,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-02-09,-1.11,,,,,,-1.13,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-02-16,-1.14,,,,,,-1.25,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-02-23,-1.52,,,,,,-2.42,,,,,,1,,,,,,1.52,,,,,,1,,,,,,2.42,,,,,
1961-03-01,-1.45,,,,,,-2.34,,,,,,2,,,,,,2.97,,,,,,2,,,,,,4.76,,,,,
1961-03-09,-1.4,,,,,,-2.1,,,,,,3,,,,,,4.37,,,,,,3,,,,,,6.86,,,,,
1961-03-16,-1.36,,,,,,-1.35,,,,,,4,,,,,,5.73,,,,,,4,,,,,,8.21,,,,,
1961-03-23,-1.37,-1.66,,,,,-1.39,-1.86,,,,,5,1,,,,,7.1,1.66,,,,,5,1,,,,,9.6,1.86,,,,
1961-04-01,-0.51,-1.72,,,,,-0.18,-1.84,,,,,0,2,,,,,0,3.38,,,,,0,2,,,,,0,3.7,,,,
1961-04-09,-0.4,-1.84,,,,,-0.1,-1.95,,,,,0,3,,,,,0,5.22,,,,,0,3,,,,,0,5.65,,,,
1961-04-16,-0.6,-1.97,,,,,-0.36,-2.18,,,,,0,4,,,,,0,7.19,,,,,0,4,,,,,0,7.83,,,,
1961-04-23,-0.43,-2.05,,,,,-0.22,-2.31,,,,,0,5,,,,,0,9.24,,,,,0,5,,,,,0,10.14,,,,
1961-05-01,-1.02,-1.73,,,,,-1.02,-1.96,,,,,0,6,,,,,0,10.97,,,,,0,6,,,,,0,12.1,,,,
1961-05-09,-1.02,-1.59,,,,,-1.05,-1.81,,,,,0,7,,,,,0,12.56,,,,,0,7,,,,,0,13.91,,,,
1961-05-16,-1.09,-1.65,,,,,-1.03,-1.65,,,,,0,8,,,,,0,14.21,,,,,0,8,,,,,0,15.56,,,,
1961-05-23,0.17,-0.81,,,,,0.41,-0.68,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-06-01,0.85,-0.38,,,,,0.87,-0.26,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-06-09,1.21,-0.2,,,,,1.22,-0.08,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
