DATA,spei_1,spei_3,spei_6,spei_9,spei_12,spei_24,spi_1,spi_3,spi_6,spi_9,spi_12,spi_24,duration_spei_1,duration_spei_3,duration_spei_6,duration_spei_9,duration_spei_12,duration_spei_24,intensity_spei_1,intensity_spei_3,intensity_spei_6,intensity_spei_9,intensity_spei_12,intensity_spei_24,duration_spi_1,duration_spi_3,duration_spi_6,duration_spi_9,duration_spi_12,duration_spi_24,intensity_spi_1,intensity_spi_3,intensity_spi_6,intensity_spi_9,intensity_spi_12,intensity_spi_24
1961-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-23,-0.08,,,,,,-0.33,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-02-01,-0.84,,,,,,-0.99,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-02-09,-1.14,,,,,,-1.18,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-02-16,-1.17,,,,,,-1.31,,,,,,0,,,,,,0,,,,,,1,,,,,,1.31,,,,,
1961-02-23,-1.52,,,,,,-2.43,,,,,,1,,,,,,1.52,,,,,,2,,,,,,3.74,,,,,
1961-03-01,-1.43,,,,,,-2.24,,,,,,2,,,,,,2.95,,,,,,3,,,,,,5.98,,,,,
1961-03-09,-1.35,,,,,,-2.02,,,,,,3,,,,,,4.3,,,,,,4,,,,,,8,,,,,
1961-03-16,-1.3,,,,,,-1.31,,,,,,4,,,,,,5.6,,,,,,5,,,,,,9.31,,,,,
1961-03-23,-1.3,-1.7,,,,,-1.35,-1.94,,,,,5,1,,,,,6.9,1.7,,,,,6,1,,,,,10.66,1.94,,,,
1961-04-01,-0.45,-1.7,,,,,-0.12,-1.85,,,,,0,2,,,,,0,3.4,,,,,0,2,,,,,0,3.79,,,,
1961-04-09,-0.33,-1.79,,,,,-0.04,-1.93,,,,,0,3,,,,,0,5.19,,,,,0,3,,,,,0,5.72,,,,
1961-04-16,-0.52,-1.9,,,,,-0.3,-2.16,,,,,0,4,,,,,0,7.09,,,,,0,4,,,,,0,7.88,,,,
1961-04-23,-0.39,-1.94,,,,,-0.19,-2.24,,,,,0,5,,,,,0,9.03,,,,,0,5,,,,,0,10.12,,,,
1961-05-01,-0.99,-1.66,,,,,-0.98,-1.87,,,,,0,6,,,,,0,10.69,,,,,0,6,,,,,0,11.99,,,,
1961-05-09,-1,-1.53,,,,,-1.01,-1.71,,,,,0,7,,,,,0,12.22,,,,,0,7,,,,,0,13.7,,,,
1961-05-16,-1.07,-1.58,,,,,-0.96,-1.55,,,,,0,8,,,,,0,13.8,,,,,0,8,,,,,0,15.25,,,,
1961-05-23,0.17,-0.76,,,,,0.43,-0.63,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-06-01,0.84,-0.33,,,,,0.86,-0.22,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-06-09,1.2,-0.16,,,,,1.2,-0.04,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
