DATA,spei_1,spei_3,spei_6,spei_9,spei_12,spei_24,spi_1,spi_3,spi_6,spi_9,spi_12,spi_24,duration_spei_1,duration_spei_3,duration_spei_6,duration_spei_9,duration_spei_12,duration_spei_24,intensity_spei_1,intensity_spei_3,intensity_spei_6,intensity_spei_9,intensity_spei_12,intensity_spei_24,duration_spi_1,duration_spi_3,duration_spi_6,duration_spi_9,duration_spi_12,duration_spi_24,intensity_spi_1,intensity_spi_3,intensity_spi_6,intensity_spi_9,intensity_spi_12,intensity_spi_24
1961-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-23,-0.14,,,,,,-0.59,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-02-01,-0.7,,,,,,-1.04,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-02-09,-0.95,,,,,,-1.22,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-02-16,-1.06,,,,,,-1.39,,,,,,0,,,,,,0,,,,,,1,,,,,,1.39,,,,,
1961-02-23,-1.39,,,,,,-2.4,,,,,,1,,,,,,1.39,,,,,,2,,,,,,3.79,,,,,
1961-03-01,-1.27,,,,,,-2.34,,,,,,0,,,,,,0,,,,,,3,,,,,,6.13,,,,,
1961-03-09,-1.14,,,,,,-2.09,,,,,,0,,,,,,0,,,,,,4,,,,,,8.22,,,,,
1961-03-16,-1.2,,,,,,-1.61,,,,,,0,,,,,,0,,,,,,5,,,,,,9.83,,,,,
1961-03-23,-1.09,-1.57,,,,,-1.36,-2.46,,,,,0,1,,,,,0,1.57,,,,,6,1,,,,,11.19,2.46,,,,
1961-04-01,-0.41,-1.46,,,,,-0.2,-2.05,,,,,0,2,,,,,0,3.03,,,,,0,2,,,,,0,4.51,,,,
1961-04-09,-0.29,-1.51,,,,,-0.07,-2.01,,,,,0,3,,,,,0,4.54,,,,,0,3,,,,,0,6.52,,,,
1961-04-16,-0.45,-1.7,,,,,-0.27,-2.27,,,,,0,4,,,,,0,6.24,,,,,0,4,,,,,0,8.79,,,,
1961-04-23,-0.58,-1.76,,,,,-0.32,-2.27,,,,,0,5,,,,,0,8,,,,,0,5,,,,,0,11.06,,,,
1961-05-01,-1.05,-1.61,,,,,-0.95,-1.97,,,,,0,6,,,,,0,9.61,,,,,0,6,,,,,0,13.03,,,,
1961-05-09,-1.02,-1.52,,,,,-1,-1.79,,,,,0,7,,,,,0,11.13,,,,,0,7,,,,,0,14.82,,,,
1961-05-16,-1.06,-1.6,,,,,-0.88,-1.61,,,,,0,8,,,,,0,12.73,,,,,0,8,,,,,0,16.43,,,,
1961-05-23,-0.13,-0.96,,,,,0.15,-0.91,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-06-01,0.48,-0.55,,,,,0.44,-0.53,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-06-09,0.85,-0.39,,,,,0.76,-0.35,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
