"","year1","IBT_ag","IST","IBR","BT_ag","ST","BR","IBT_ag_m2","IST_m2","IBR_m2","BT_m2","ST_m2","BR_m2"
"1",1969,0.242693603825622,0.0354363646319053,0.0197055200883531,0.242693603825622,0.0354363646319053,0.0197055200883531,0.000951521686021827,0.000138934314252723,7.72588539740791e-05,0.000951521686021827,0.000138934314252723,7.72588539740791e-05
"2",1970,84.8204772139394,34.6743348716617,14.6192624653107,522.536765581506,195.072704164748,84.2528220718591,0.332553154329414,0.13594664654811,0.0573173130651723,2.04869455295474,0.764815823069838,0.330327565482584
"3",1971,72.0434245443678,29.345960093797,12.3704554983632,594.580190125874,224.418664258545,96.6232775702223,0.282458539115426,0.115055844019862,0.0485004816242208,2.33115309207017,0.8798716670897,0.378828047106805
"4",1972,134.63139031726,52.5353245448209,22.3609658680325,729.211580443135,276.953988803366,118.984243438255,0.527845338677269,0.205973704286451,0.0876699822674952,2.85899843074743,1.08584537137615,0.4664980293743
"5",1973,233.842855043636,88.1469971079735,37.8721963479601,1234.73974485443,459.033663996524,198.279495935775,0.916820815167226,0.345595343197443,0.148484408135672,4.84100786053766,1.79971980728664,0.777388597401711
"6",1974,401.632669630404,148.292140083103,64.1162762550366,1698.79854256051,625.343400724779,270.736798773615,1.5746694142082,0.58140463914757,0.251378801591609,6.66042956200046,2.45176550852901,1.06146981698916
"7",1975,1971.74474774287,955.51558609171,384.153379325878,6780.90736076252,3031.48471549483,1245.1033118408,7.73056173381899,3.74626190046353,1.50613887397617,26.5857043735958,11.885453106995,4.88163999330353
"8",1976,2182.48156382129,1034.77422197679,417.980724664361,8963.38892458381,4066.25893747162,1663.08403650516,8.55679138050503,4.05700890681377,1.6387647535327,35.1424957541009,15.9424620138087,6.52040474683623
"9",1977,3639.27190218722,1664.33143074265,679.922432591291,14515.0188391983,6511.1615793201,2672.1203447674,14.2683864826909,6.52529536879444,2.66575191609984,56.9086081413012,25.5281200091567,10.4765037711219
"10",1978,6068.26899955967,2854.61145649328,1158.12348361162,21933.8268349427,9918.01936938862,4062.89842915039,23.7916840768649,11.1919913141648,4.54062073485622,85.9953108030453,38.8852873071123,15.9292865675122
