"","year1","IBT_ag","IST","IBR","BT_ag","ST","BR","IBT_ag_m2","IST_m2","IBR_m2","BT_m2","ST_m2","BR_m2"
"1",1969,94.8062627148332,64.9500369266588,31.2612771452524,200.758669308273,138.249777549809,68.7328077306683,0.388185417879965,0.265938731300179,0.127999686777998,0.822008860035622,0.566065427886425,0.281427333247451
"2",1970,927.301591210077,628.068919067431,282.2987283251,2488.36465655492,1693.28038448986,783.6879114621,3.796847859802,2.57163597450259,1.15587564242965,10.1886399313932,6.93315752376245,3.20881986787562
"3",1971,1444.36414855676,977.566612577469,437.566656362242,4191.73290296232,2849.75015432731,1311.85297019928,5.91396691023264,4.00265861286308,1.79162209843908,17.1631023308236,11.6683373316641,5.37139824787341
"4",1972,2727.65975114103,1845.77292974145,825.231618519015,7267.55852121798,4935.39426732297,2256.69456037098,11.1684366624166,7.55754014055351,3.37892109138528,29.7571084519157,20.2080330054336,9.24006385084511
"5",1973,3856.23979219445,2603.95685253162,1149.348778571,11936.3122303846,8096.78842081541,3677.10310114067,15.7894216300981,10.661933610671,4.70602282089121,48.8733783867702,33.1524005547382,15.055944228046
"6",1974,5373.64947353335,3627.62667532411,1598.78359938445,18652.7574653482,12645.6487766836,5723.81474378001,22.0024743797609,14.8533623892431,6.54623926579047,76.3739466566588,51.7777656683451,23.4362304193446
"7",1975,7587.3832368578,5110.10331566307,2220.12200318834,26346.0931087995,17829.0518329698,7981.40827755376,31.066634714568,20.9233813695106,9.09031706211673,107.874404813382,73.0012737344419,32.6799751279308
"8",1976,12416.6086137546,8347.89347596,3588.64091620975,39294.395814475,26543.0930754347,11752.1454144662,50.8399578821093,34.1805533156615,14.6937347152918,160.891390745605,108.681023618731,48.119305076108
"9",1977,16269.7751185596,10911.1168759177,4619.91860820047,57214.4993054261,38575.4915200571,16886.2168134628,66.6167958988954,44.6757032998471,18.9163140086012,234.265476622305,157.947828200758,69.1408240599298
"10",1978,19923.8591404201,13333.0093816364,5571.92623724624,77138.3584458463,51908.5009016935,22458.1430507091,81.5784882214906,54.5921721856699,22.8143210465712,315.843964843795,212.540000386428,91.955145106501
"11",1979,24190.1621139586,16153.5457143478,6663.76327630283,105269.531636611,70718.3311270644,30281.7877632932,99.0469186306394,66.1408931626005,27.2848613371199,431.02740218018,289.557083406033,123.989155362067
"12",1980,28009.9728509959,18695.7340440734,7692.17037458229,138446.939143022,92914.3151144431,39549.8512524748,114.687181042832,76.5499147909754,31.4956869488953,566.872708473799,380.438814978072,161.937356203056
"13",1981,20609.8494424505,13747.5320840097,5634.65116349289,164377.266103359,110258.312653456,46783.8224488561,84.3872840165134,56.2894405288541,23.0711490346102,673.044753638574,451.454027893298,191.556940937088
"14",1982,23220.8698258453,15478.9001176641,6318.55124523748,187704.088335798,125810.512511743,53139.845224679,95.0781393418614,63.3785484042455,25.8713863967631,768.556716422591,515.132702994129,217.58175498032
"15",1983,25360.8624376799,16910.4283085902,6917.4085589984,214664.571511987,143814.633942936,60578.1959475288,103.840365617817,69.2399583268484,28.3234150912387,878.946748982721,588.850801368616,248.038174218914
