"","year1","IBT_ag","IST","IBR","BT_ag","ST","BR","IBT_ag_m2","IST_m2","IBR_m2","BT_m2","ST_m2","BR_m2"
"1",1952,1487.66848401048,1088.14783175803,515.878685288843,2658.65768407159,1908.39563948391,954.10472137922,3.50556253447333,2.56412655909464,1.21562364930034,6.26489763643157,4.49696980653382,2.24826552500089
"2",1953,3893.50671674239,2888.61610142548,1318.12606270371,10151.6669426059,7382.76145176614,3563.42673154277,9.17471292874159,6.80677482279864,3.10605043448269,23.9215280009923,17.3968409120932,8.39690789897049
"3",1954,13539.3738868109,10176.6419470491,4481.57593427653,30834.2669397246,22717.8704401488,10582.6389387335,31.9043673694551,23.9803794459315,10.5604473439167,72.6582919001236,53.5327032426692,24.9370763568728
"4",1955,24597.2502262131,18708.3594276665,7979.44524360071,67117.0099701169,49945.6029844281,22648.3699569961,57.9612996920022,44.0846361914502,18.8028748289669,158.155448008709,117.692507750037,53.3689313455788
"5",1956,40752.0493374,31280.8177044608,13017.0521562218,110656.452996588,83204.0747397678,36686.2075492093,96.028691133576,73.7105502812245,30.6735612393433,260.752392076496,196.063229313658,86.4478854655327
"6",1957,47988.806406492,37114.5125490555,15129.440628449,163375.484037788,123765.588277038,53470.8273779935,113.081485304562,87.4571492745908,35.6512225705359,384.980243952173,291.642939259831,125.99939513289
"7",1958,48429.9946256067,37727.9424580521,15078.3434255733,213291.433366193,162574.132266775,69070.5206827669,114.121107309198,88.9026439729168,35.5308164169186,502.602875418157,383.091927586268,162.758727595903
"8",1959,75209.4201888946,58858.8915031527,23232.4664847101,308685.751868964,236656.507189834,98960.556949989,177.224515063259,138.695903752592,54.7453044596683,727.391363269577,557.660657640277,233.192021315988
"9",1960,89311.0202352582,70410.003385548,27237.5995570987,397996.772104222,307066.510575382,126198.156507088,210.453719909619,165.915103111627,64.1830552724673,937.845083179196,723.575760751904,297.375076588455
"10",1961,33178.9093162235,26246.7246668227,10059.8124137073,431175.681420445,333313.235242205,136257.968920795,78.1832395347171,61.8481440143235,23.705080722187,1016.02832271391,785.423904766228,321.080157310642
"11",1962,59642.0097211755,47331.1767231802,17983.044986167,490817.691141621,380644.411965385,154241.013906962,140.541254322743,111.531837648412,42.3754952375607,1156.56957703666,896.95574241464,363.455652548203
