"","year","tree","Growth","age1","dapcc","dapsc","RWcorr","BAI","BAIserror"
"1",1962,29,2.92375,1.5,17.0875,8.25259077478056,2.50696847643716,0.683285709148792,0.514130092711359
"2",1963,23.7142857142857,4.43214285714286,1.85714285714286,16.3,12.347250624649,3.80363960807908,1.19589582884328,0.52836511138778
"3",1964,22.9166666666667,3.38958333333333,2.08333333333333,16.8458333333333,18.4646186021818,3.25949474435951,1.71203034725421,0.422948152719373
"4",1965,22.2941176470588,2.72294117647059,2.44117647058824,16.99,21.0366194032173,2.64775523894987,1.56043265368871,0.307218654229518
"5",1966,20.0909090909091,4.44590909090909,2.88636363636364,16.8945454545455,25.3989463607701,4.3583115574985,2.81989546132034,0.448665670126461
"6",1967,20.5925925925926,4.29481481481481,3.33333333333333,17.4103703703704,30.1811992516322,4.26367756184967,3.22863730086147,0.394026013298206
"7",1968,19.625,3.0446875,3.8125,18.22125,36.6880877205641,3.12633334958787,3.05373278019619,0.310353196091841
"8",1969,19.1176470588235,4.06602941176471,4.58823529411765,18.4391176470588,44.3259260050153,4.32783687210232,5.10492354578653,0.536918782935475
"9",1970,18.9714285714286,3.20814285714286,5.45714285714286,18.3708571428571,49.8180152452178,3.44143778056704,4.78986400977996,0.56230020081369
"10",1971,18.9444444444444,2.9725,6.30555555555556,18.2272222222222,54.1055632995105,3.14420490464199,4.85631496043498,0.569353336870219
"11",1972,18.9444444444444,2.78430555555556,7.30555555555556,18.2272222222222,59.4318143065204,2.95560057285774,5.10838840550253,0.632468788436929
"12",1973,18.9444444444444,2.25319444444444,8.30555555555556,18.2272222222222,63.7463025393778,2.39586874142537,4.50065761519528,0.55620301631419
"13",1974,19,1.75932432432432,9.08108108108108,18.2062162162162,66.9474481873651,1.92216476012072,3.70278520401804,0.35996890174419
"14",1975,19,1.63662162162162,10.0810810810811,18.2062162162162,70.0789503244271,1.77048682358759,3.60141106724165,0.359695833396554
"15",1976,19,1.61364864864865,11.0810810810811,18.2062162162162,73.1646700098426,1.73390419006468,3.70649383722522,0.381175629651151
"16",1977,19,0.792297297297297,12.0810810810811,18.2062162162162,74.6764890394159,0.841054650146469,1.87513081964602,0.198188948748014
"17",1978,19,1.10310810810811,13.0810810810811,18.2062162162162,76.7882815580055,1.18783721596468,2.65556654767182,0.245669622400922
"18",1979,19,1.23972972972973,14.0810810810811,18.2062162162162,79.1768778283865,1.36594286203074,3.01095771789733,0.290083960266809
"19",1980,19,1.06756756756757,15.0810810810811,18.2062162162162,81.2399741667619,1.19203694901438,2.7143464804814,0.279030424060464
"20",1981,19,0.415,16.0810810810811,18.2062162162162,82.0449478696807,0.46549435621898,1.08236298102681,0.131947115299459
"21",1982,19,0.667972972972973,17.0810810810811,18.2062162162162,83.338668305206,0.745711298103234,1.81798980066463,0.212485751847222
"22",1983,19,0.398918918918919,18.0810810810811,18.2062162162162,84.1154078643892,0.44822206539679,1.11105783850532,0.140606278274887
"23",1984,19,0.578918918918919,19.0810810810811,18.2062162162162,85.2393987991776,0.644948320090707,1.59669386744063,0.19741298601556
"24",1985,19,0.742702702702703,20.0810810810811,18.2062162162162,86.6843183295881,0.82967113350431,2.05276850685474,0.234169818657333
"25",1986,19,0.592027027027027,21.0810810810811,18.2062162162162,87.8304505175194,0.664470612602947,1.69169017729323,0.197942834058727
"26",1987,19,0.380540540540541,22.0810810810811,18.2062162162162,88.5699027607378,0.432214549456502,1.10052660475794,0.133194109799572
"27",1988,19,0.328783783783784,23.0810810810811,18.2062162162162,89.210866673984,0.376367031982312,0.982950684805452,0.138070529779041
"28",1989,19,0.669189189189189,24.0810810810811,18.2062162162162,90.5114758071515,0.752162561266631,1.96243494646277,0.245024904783458
"29",1990,19,0.981081081081081,25.0810810810811,18.2062162162162,92.4251668807533,1.11225923718173,2.99579214874041,0.436362925548502
"30",1991,19,0.708378378378378,26.0810810810811,18.2062162162162,93.8003301014444,0.791509276645172,2.17175983863341,0.259499294440916
"31",1992,19,0.817972972972973,27.0810810810811,18.2062162162162,95.3800245088774,0.90222656756047,2.51758707629091,0.271788958416907
"32",1993,19,0.471216216216216,28.0810810810811,18.2062162162162,96.2882752982431,0.52280119222194,1.45797410491035,0.157065260258231
"33",1994,19,0.211351351351351,29.0810810810811,18.2062162162162,96.6960942448367,0.234911765120322,0.661009367321177,0.0816661227482784
"34",1995,19,0.167297297297297,30.0810810810811,18.2062162162162,97.0257094337653,0.191385003266173,0.588307683140548,0.133116676457729
"35",1996,19,0.653648648648649,31.0810810810811,18.2062162162162,98.2937104408053,0.731696235499696,2.164375565956,0.323890916564262
"36",1997,19,0.81027027027027,32.0810810810811,18.2062162162162,99.8601332349848,0.889023690010494,2.58477526665384,0.277188935675143
"37",1998,19,1.15932432432432,33.0810810810811,18.2062162162162,102.099234706871,1.27325584820466,3.75058724848968,0.368078627076974
"38",1999,19,0.389324324324324,34.0810810810811,18.2062162162162,102.851952085795,0.430803710817963,1.27448445735387,0.1265426372339
"39",2000,19,1.08391891891892,35.0810810810811,18.2062162162162,104.9290605371,1.17443143882642,3.53887600509422,0.319552911540136
"40",2001,19,0.804864864864865,35.6351351351351,18.2062162162162,106.479984511728,0.88880527565102,2.77012308904694,0.323400500349598
"41",2002,19,0.93445945945946,36.6351351351351,18.2062162162162,108.288783311934,1.03429896708854,3.33870879674248,0.405620330876735
"42",2003,19,0.993513513513513,37.6351351351351,18.2062162162162,110.215977661009,1.09567781639488,3.5785083431148,0.41728036121509
"43",2004,19,1.11824324324324,38.6351351351351,18.2062162162162,112.376866924988,1.22214281528093,4.01566425740067,0.390545915310774
"44",2005,19,0.271756756756757,39.6351351351351,18.2062162162162,112.900569771483,0.29708259019275,0.982448400316152,0.106328431488345
"45",2006,19,0.583108108108108,40.6351351351351,18.2062162162162,114.027109842805,0.638657634560094,2.15881175414676,0.254510309614519
"46",2007,19,0.51972972972973,41.6351351351351,18.2062162162162,115.033131419387,0.56877783235006,1.93902311063784,0.214518851977042
"47",2008,19,0.280135135135135,42.6351351351351,18.2062162162162,115.579536011035,0.306454482161039,1.08765551747767,0.164691251591741
"48",2009,19,0.563513513513514,43.6351351351351,18.2062162162162,116.671681606442,0.610809485324616,2.24745663794639,0.395519990616624
