"","year","tree","Growth","age1","dapcc","dapsc","RWcorr","BAI","BAIserror"
"1",1977,21,0.94625,1,13.05,0.911765755272864,0.455882877636432,0.00775965808279918,0.0033216037375021
"2",1978,21.4285714285714,1.10642857142857,1.21428571428571,12.9214285714286,1.27451518376864,0.507005341131052,0.0150143892061914,0.00526328667416226
"3",1979,19.7142857142857,1.38095238095238,1.71428571428571,12.9719047619048,2.10838927878026,0.629356244800582,0.0387112187486086,0.0133268807648723
"4",1980,19.7142857142857,1.25119047619048,2.71428571428571,12.9719047619048,3.23578312531311,0.563696923266427,0.0568946002881369,0.013127075509238
"5",1981,19.7142857142857,2.03833333333333,3.71428571428571,12.9719047619048,5.08802575029146,0.926121312489172,0.147864578177121,0.0304266568596878
"6",1982,20.1818181818182,2.30181818181818,4.54545454545455,13.1368181818182,6.89937045578852,1.02130930161879,0.214071149637998,0.033931641713493
"7",1983,19.8461538461538,1.65076923076923,4.84615384615385,13.6196153846154,7.342820762557,0.752445957675661,0.157523869379671,0.0305454775624524
"8",1984,19.8461538461538,2.97557692307692,5.84615384615385,13.6196153846154,10.131353663675,1.39426645055901,0.433130863542586,0.0693095622942232
"9",1985,20,1.43870967741935,5.90322580645161,14.3745161290323,9.90926855355544,0.706002095236584,0.199678205401131,0.0303048635572067
"10",1986,19.59375,2.156875,6.671875,14.4690625,11.8385072925712,1.1194516906572,0.355484893997675,0.0442903218305307
"11",1987,19.59375,3.1896875,7.671875,14.4690625,15.1676741446324,1.66458342603059,0.69625297046708,0.0607470375670398
"12",1988,18.9722222222222,4.07902777777778,7.70833333333333,14.7530555555556,17.895838702244,2.2067308423965,1.06476889687805,0.0951849116677014
"13",1989,19.1081081081081,5.90378378378378,8.22972972972973,14.7651351351351,23.7704641621821,3.17914838810749,2.1235337756424,0.211630959405825
"14",1990,19.1081081081081,7.53986486486486,9.10810810810811,14.7651351351351,32.3301565969557,4.27984621738677,3.85227734181183,0.339253964817274
"15",1991,19.5,4.08394736842105,9.86842105263158,14.9028947368421,36.3322139660989,2.42642548189998,2.59496385181025,0.2678956857219
"16",1992,19.5,4.53434210526316,10.8684210526316,14.9028947368421,41.6872291135707,2.67750757373587,3.4042517318501,0.370316267655148
"17",1993,19.5,2.71907894736842,11.8684210526316,14.9028947368421,44.7877605862893,1.55026573635935,2.18088902987315,0.188299530119512
"18",1994,19.5,2.59776315789474,12.8684210526316,14.9028947368421,47.7311017329424,1.47167057332653,2.21503935425299,0.188468534826364
"19",1995,19.5,1.58815789473684,13.8684210526316,14.9028947368421,49.4874109952594,0.878154631158492,1.38885913342575,0.127620686658775
"20",1996,19.5,4.44513157894737,14.8684210526316,14.9028947368421,54.6617718318457,2.58718041829314,4.38660870008924,0.368875543698778
"21",1997,19.5,4.74565789473684,15.8684210526316,14.9028947368421,60.1253736280378,2.73180089809605,5.15572994667928,0.412156069448505
"22",1998,19.5,1.72802631578947,16.8684210526316,14.9028947368421,62.1445357387986,1.00958105538041,2.04149953507215,0.176638966174118
"23",1999,19.5,0.946578947368421,17.8684210526316,14.9028947368421,63.2790923796041,0.567278320402763,1.18664503160177,0.141515001633521
"24",2000,19.5,1.65447368421053,18.8684210526316,14.9028947368421,65.2178792163095,0.969393418352692,2.07526806576576,0.198742268218947
"25",2001,19.5,1.57184210526316,19.8684210526316,14.9028947368421,67.045592928142,0.91385685591623,2.02377438911529,0.204884233901046
"26",2002,19.5,1.82328947368421,20.8684210526316,14.9028947368421,69.1818740961616,1.06814058400982,2.45647192114266,0.239273713424024
"27",2003,19.5,1.37434210526316,21.8684210526316,14.9028947368421,70.8323475498103,0.825236726824355,1.97779515541154,0.213242389751757
