"","year","tree","Growth","age1","dapcc","dapsc","RWcorr","BAI","BAIserror"
"1",1959,30.6666666666667,1.85,1,19.1666666666667,11.6052377204558,1.88948888510349,0.500905160475366,0.376635708378378
"2",1960,25,1.96333333333333,1.33333333333333,17.5,16.2292510995493,2.09640582280106,0.873604741477947,0.231561144110353
"3",1961,23.6428571428571,2.65428571428571,1.85714285714286,17.4464285714286,20.8680387804797,2.85809070725357,1.53421582677001,0.23801490432699
"4",1962,20.7142857142857,4.23380952380952,2.23809523809524,17.3571428571429,29.8332268368509,4.72729152322669,3.60662761031873,0.558126540296225
"5",1963,20.4814814814815,5.03074074074074,2.74074074074074,17.7037037037037,40.3224780820691,5.77054004013377,5.77636661025399,0.560051332923309
"6",1964,20.5945945945946,2.79702702702703,3,17.4054054054054,43.9122751157722,3.32144757969766,3.72425971473715,0.36173763559137
"7",1965,20.5945945945946,2.22,4,17.4054054054054,48.3299009494848,2.6451825871212,3.32165516847611,0.295760966687362
"8",1966,20.5945945945946,2.22162162162162,5,17.4054054054054,52.7504859936966,2.64010143402418,3.66635955026921,0.342906295111151
"9",1967,20.5945945945946,3.31675675675676,6,17.4054054054054,59.3657156430396,3.96359900216217,5.92042920329762,0.347773580259972
"10",1968,21.1052631578947,2.25368421052632,6.84210526315789,17.5526315789474,64.1956255211371,2.72126086759407,4.54690331161929,0.380077791528773
"11",1969,20.8974358974359,2.60076923076923,7.66666666666667,17.6474358974359,69.5804819126653,3.17313911670302,5.65873450388792,0.428351670152733
"12",1970,20.8974358974359,2.59076923076923,8.66666666666667,17.6474358974359,74.7432279236958,3.13854386955975,6.06045733164786,0.437665107181706
"13",1971,20.8974358974359,2.45384615384615,9.66666666666667,17.6474358974359,79.6398176819787,2.97169138038824,6.11349134484706,0.440101651129714
"14",1972,20.8974358974359,2.4425641025641,10.6666666666667,17.6474358974359,84.5184867300429,2.95569139205086,6.42248806684549,0.438322840043163
"15",1973,20.8974358974359,2.03666666666667,11.6666666666667,17.6474358974359,88.587203885193,2.48545741899088,5.68243372374328,0.396478313496712
"16",1974,20.8974358974359,1.57307692307692,12.6666666666667,17.6474358974359,91.7217256599469,1.89997313698075,4.55898092348584,0.335886785068212
"17",1975,20.8974358974359,1.67538461538462,13.6666666666667,17.6474358974359,95.0653447989925,2.02823105950938,5.0355398303651,0.348024715120606
"18",1976,20.8974358974359,1.57846153846154,14.6666666666667,17.6474358974359,98.2147203447558,1.92116966048016,4.87943206740718,0.305025431261942
"19",1977,20.8974358974359,1.09435897435897,15.6666666666667,17.6474358974359,100.398391722114,1.34115297389557,3.5218973191269,0.278280887549218
"20",1978,20.8974358974359,1.20538461538462,16.6666666666667,17.6474358974359,102.801672033223,1.47858718803609,3.96442735573325,0.32412035707095
"21",1979,20.8974358974359,1.12102564102564,17.6666666666667,17.6474358974359,105.034831902797,1.36819149399762,3.7326132085235,0.288020529522795
"22",1980,20.8974358974359,1.13179487179487,18.6666666666667,17.6474358974359,107.291854216167,1.38430619534669,3.86816623539186,0.304583561453072
