year,RW,tree,core,sp_elev,sampleid
1969,1.71,15,A,sylvestris_med,PM15A
1969,1.95,15,B,sylvestris_med,PM15B
1969,1.83,15,C,sylvestris_med,PM15C
1969,1.18,17,A,sylvestris_med,PM17A
1969,1.68,17,B,sylvestris_med,PM17B
1969,2.88,19,A,sylvestris_med,PM19A
1969,2.23,19,B,sylvestris_med,PM19B
1969,1.46,20,A,sylvestris_med,PM20A
1969,2.49,20,B,sylvestris_med,PM20B
1969,2.29,23,B,sylvestris_med,PM23B
1969,3.3,23,C,sylvestris_med,PM23C
1969,2.11,26,A,sylvestris_med,PM26A
1969,2.29,26,B,sylvestris_med,PM26B
1969,1.6,27,A,sylvestris_med,PM27A
1969,1.36,27,B,sylvestris_med,PM27B
1969,2.2,28,A,sylvestris_med,PM28A
1969,2.01,28,B,sylvestris_med,PM28B
1969,1.89,29,A,sylvestris_med,PM29A
1969,1.84,29,B,sylvestris_med,PM29B
1969,1.68,31,A,sylvestris_med,PM31A
1969,1.6,31,B,sylvestris_med,PM31B
1969,3.21,32,A,sylvestris_med,PM32A
1969,2.34,32,B,sylvestris_med,PM32B
1969,2.07,36,A,sylvestris_med,PM36A
1969,2.69,36,B,sylvestris_med,PM36B
1969,3.68,37,A,sylvestris_med,PM37A
1969,3.11,37,B,sylvestris_med,PM37B
1969,2.24,39,A,sylvestris_med,PM39A
1969,2.1,39,B,sylvestris_med,PM39B
1969,5.19,42,A,sylvestris_med,PM42A
1969,4.71,42,B,sylvestris_med,PM42B
1969,1.42,43,02,sylvestris_med,PM4302
1970,3.15,1,02,sylvestris_med,PM0102
1970,2.16,2,A,sylvestris_med,PM02A
1970,2.57,2,B,sylvestris_med,PM02B
1970,2,2,C,sylvestris_med,PM02C
1970,1.33,3,A,sylvestris_med,PM03A
1970,1.23,3,B,sylvestris_med,PM03B
1970,2.48,5,A,sylvestris_med,PM05A
1970,2.52,5,B,sylvestris_med,PM05B
1970,3.89,7,A,sylvestris_med,PM07A
1970,3.97,7,B,sylvestris_med,PM07B
1970,2.23,9,C,sylvestris_med,PM09C
1970,2.51,9,E,sylvestris_med,PM09E
1970,1.56,10,A,sylvestris_med,PM10A
1970,1.48,10,C,sylvestris_med,PM10C
1970,3.04,11,A,sylvestris_med,PM11A
1970,3.58,11,C,sylvestris_med,PM11C
1970,3.07,12,A,sylvestris_med,PM12A
1970,4.15,12,C,sylvestris_med,PM12C
1970,2.63,13,A,sylvestris_med,PM13A
1970,2.55,13,B,sylvestris_med,PM13B
1970,2.14,15,A,sylvestris_med,PM15A
1970,3.62,15,B,sylvestris_med,PM15B
1970,2,15,C,sylvestris_med,PM15C
1970,1.43,17,A,sylvestris_med,PM17A
1970,1.35,17,B,sylvestris_med,PM17B
1970,3.63,19,A,sylvestris_med,PM19A
1970,3.2,19,B,sylvestris_med,PM19B
1970,0.85,20,A,sylvestris_med,PM20A
1970,0.77,20,B,sylvestris_med,PM20B
1970,3.63,23,B,sylvestris_med,PM23B
1970,4.26,23,C,sylvestris_med,PM23C
1970,3.14,26,A,sylvestris_med,PM26A
1970,3.51,26,B,sylvestris_med,PM26B
1970,1.33,27,A,sylvestris_med,PM27A
1970,1.34,27,B,sylvestris_med,PM27B
1970,3.19,28,A,sylvestris_med,PM28A
1970,4,28,B,sylvestris_med,PM28B
1970,2.74,29,A,sylvestris_med,PM29A
1970,2.65,29,B,sylvestris_med,PM29B
1970,2.59,31,A,sylvestris_med,PM31A
1970,2.07,31,B,sylvestris_med,PM31B
1970,3.94,32,A,sylvestris_med,PM32A
1970,3.41,32,B,sylvestris_med,PM32B
1970,1.35,36,A,sylvestris_med,PM36A
1970,1.77,36,B,sylvestris_med,PM36B
1970,5.63,37,A,sylvestris_med,PM37A
1970,2.9,37,B,sylvestris_med,PM37B
1970,3.33,38,01,sylvestris_med,PM3801
1970,2.69,39,A,sylvestris_med,PM39A
1970,3.38,39,B,sylvestris_med,PM39B
1970,5.07,42,A,sylvestris_med,PM42A
1970,4.88,42,B,sylvestris_med,PM42B
1970,3.15,43,02,sylvestris_med,PM4302
1971,0.74,1,02,sylvestris_med,PM0102
1971,3.5,2,A,sylvestris_med,PM02A
1971,4.13,2,B,sylvestris_med,PM02B
1971,3.06,2,C,sylvestris_med,PM02C
1971,2.65,3,A,sylvestris_med,PM03A
1971,2.44,3,B,sylvestris_med,PM03B
1971,3.81,5,A,sylvestris_med,PM05A
1971,3.85,5,B,sylvestris_med,PM05B
1971,4.06,7,A,sylvestris_med,PM07A
1971,3.34,7,B,sylvestris_med,PM07B
1971,1.84,9,C,sylvestris_med,PM09C
1971,1.54,9,E,sylvestris_med,PM09E
1971,1.88,10,A,sylvestris_med,PM10A
1971,1.93,10,C,sylvestris_med,PM10C
1971,2.26,11,A,sylvestris_med,PM11A
1971,2.42,11,C,sylvestris_med,PM11C
1971,3.93,12,A,sylvestris_med,PM12A
1971,5.41,12,C,sylvestris_med,PM12C
1971,5.36,13,A,sylvestris_med,PM13A
1971,4.48,13,B,sylvestris_med,PM13B
1971,1.19,15,A,sylvestris_med,PM15A
1971,1.59,15,B,sylvestris_med,PM15B
1971,1.38,15,C,sylvestris_med,PM15C
1971,2.05,17,A,sylvestris_med,PM17A
1971,2.08,17,B,sylvestris_med,PM17B
1971,5.18,19,A,sylvestris_med,PM19A
1971,3.31,19,B,sylvestris_med,PM19B
1971,1.93,20,A,sylvestris_med,PM20A
1971,2.15,20,B,sylvestris_med,PM20B
1971,3.43,23,B,sylvestris_med,PM23B
1971,5.07,23,C,sylvestris_med,PM23C
1971,2.99,26,A,sylvestris_med,PM26A
1971,4.03,26,B,sylvestris_med,PM26B
1971,2.08,27,A,sylvestris_med,PM27A
1971,1.72,27,B,sylvestris_med,PM27B
1971,5.33,28,A,sylvestris_med,PM28A
1971,8.31,28,B,sylvestris_med,PM28B
1971,3.95,29,A,sylvestris_med,PM29A
1971,3.79,29,B,sylvestris_med,PM29B
1971,2.83,31,A,sylvestris_med,PM31A
1971,2.51,31,B,sylvestris_med,PM31B
1971,4.33,32,A,sylvestris_med,PM32A
1971,4.59,32,B,sylvestris_med,PM32B
1971,0.53,33,A,sylvestris_med,PM33A
1971,1.78,36,A,sylvestris_med,PM36A
1971,2.08,36,B,sylvestris_med,PM36B
1971,7.19,37,A,sylvestris_med,PM37A
1971,2.82,37,B,sylvestris_med,PM37B
1971,1.62,38,01,sylvestris_med,PM3801
1971,3.4,39,A,sylvestris_med,PM39A
1971,2.99,39,B,sylvestris_med,PM39B
1971,2.07,41,02,sylvestris_med,PM4102
1971,6.6,42,A,sylvestris_med,PM42A
1971,6.4,42,B,sylvestris_med,PM42B
1971,1.4,43,02,sylvestris_med,PM4302
1972,4.87,1,02,sylvestris_med,PM0102
1972,1.6,2,A,sylvestris_med,PM02A
1972,1.79,2,B,sylvestris_med,PM02B
1972,1.63,2,C,sylvestris_med,PM02C
1972,2.46,3,A,sylvestris_med,PM03A
1972,2.09,3,B,sylvestris_med,PM03B
1972,4.01,5,A,sylvestris_med,PM05A
1972,4.15,5,B,sylvestris_med,PM05B
1972,5.28,7,A,sylvestris_med,PM07A
1972,4.64,7,B,sylvestris_med,PM07B
1972,2.13,9,C,sylvestris_med,PM09C
1972,2.18,9,E,sylvestris_med,PM09E
1972,6.15,10,A,sylvestris_med,PM10A
1972,6.09,10,C,sylvestris_med,PM10C
1972,4.44,11,A,sylvestris_med,PM11A
1972,4.38,11,C,sylvestris_med,PM11C
1972,4.61,12,A,sylvestris_med,PM12A
1972,5.46,12,C,sylvestris_med,PM12C
1972,5.18,13,A,sylvestris_med,PM13A
1972,4.33,13,B,sylvestris_med,PM13B
1972,5.98,14,01,sylvestris_med,PM1401
1972,7.31,14,02,sylvestris_med,PM1402
1972,2.15,15,A,sylvestris_med,PM15A
1972,4.4,15,B,sylvestris_med,PM15B
1972,2.15,15,C,sylvestris_med,PM15C
1972,2.99,17,A,sylvestris_med,PM17A
1972,3.44,17,B,sylvestris_med,PM17B
1972,3.96,19,A,sylvestris_med,PM19A
1972,3.86,19,B,sylvestris_med,PM19B
1972,2.7,20,A,sylvestris_med,PM20A
1972,3.14,20,B,sylvestris_med,PM20B
1972,2.77,23,B,sylvestris_med,PM23B
1972,4.67,23,C,sylvestris_med,PM23C
1972,4.3,26,A,sylvestris_med,PM26A
1972,4.67,26,B,sylvestris_med,PM26B
1972,3.08,27,A,sylvestris_med,PM27A
1972,2.88,27,B,sylvestris_med,PM27B
1972,4.44,28,A,sylvestris_med,PM28A
1972,5.94,28,B,sylvestris_med,PM28B
1972,3.75,29,A,sylvestris_med,PM29A
1972,3.11,29,B,sylvestris_med,PM29B
1972,3.09,31,A,sylvestris_med,PM31A
1972,2.54,31,B,sylvestris_med,PM31B
1972,4.32,32,A,sylvestris_med,PM32A
1972,4.21,32,B,sylvestris_med,PM32B
1972,0.53,33,A,sylvestris_med,PM33A
1972,1.11,33,C,sylvestris_med,PM33C
1972,2.1,36,A,sylvestris_med,PM36A
1972,2.97,36,B,sylvestris_med,PM36B
1972,4.73,37,A,sylvestris_med,PM37A
1972,3.71,37,B,sylvestris_med,PM37B
1972,3.35,38,01,sylvestris_med,PM3801
1972,2.47,39,A,sylvestris_med,PM39A
1972,2.56,39,B,sylvestris_med,PM39B
1972,1.99,41,01,sylvestris_med,PM4101
1972,2.17,41,02,sylvestris_med,PM4102
1972,5.66,42,A,sylvestris_med,PM42A
1972,4.99,42,B,sylvestris_med,PM42B
1972,4.85,43,02,sylvestris_med,PM4302
1973,7.09,1,01,sylvestris_med,PM0101
1973,6.52,1,02,sylvestris_med,PM0102
1973,1.38,2,A,sylvestris_med,PM02A
1973,2.06,2,B,sylvestris_med,PM02B
