"","year","pie","RW","pie"
"1",1968,1,3.4,1
"2",1969,1,3.9,1
"3",1970,1,2.6,1
"4",1971,1,2.15,1
"5",1972,1,2.58,1
"6",1973,1,2.785,1
"7",1974,1,2.535,1
"8",1975,1,2.375,1
"9",1976,1,2.135,1
"10",1977,1,1.015,1
"11",1978,1,1.435,1
"12",1979,1,1.64,1
"13",1980,1,1.475,1
"14",1981,1,0.485,1
"15",1982,1,0.925,1
"16",1983,1,0.695,1
"17",1984,1,0.655,1
"18",1985,1,0.98,1
"19",1986,1,0.955,1
"20",1987,1,0.695,1
"21",1988,1,0.75,1
"22",1989,1,1.215,1
"23",1990,1,1.71,1
"24",1991,1,1.075,1
"25",1992,1,0.905,1
"26",1993,1,0.41,1
"27",1994,1,0.18,1
"28",1995,1,0.145,1
"29",1996,1,1.19,1
"30",1997,1,1.245,1
"31",1998,1,1.495,1
"32",1999,1,0.53,1
"33",2000,1,1.29,1
"34",2001,1,1,1
"35",2002,1,1.31,1
"36",2003,1,1.195,1
"37",2004,1,1.23,1
"38",2005,1,0.295,1
"39",2006,1,0.625,1
"40",2007,1,0.625,1
"41",2008,1,0.36,1
"42",2009,1,0.245,1
"43",2010,1,0.695,1
"44",2011,1,1.12,1
"45",2012,1,0.29,1
"46",2013,1,1.11,1
"47",2014,1,0.505,1
"48",2015,1,0.55,1
"49",2016,1,0.095,1
"50",2017,1,0.325,1
"51",2018,1,1.06,1
"52",2019,1,0.43,1
"53",2020,1,0.975,1
"54",2021,1,0.465,1
"55",1964,2,3.28,2
"56",1965,2,3.245,2
"57",1966,2,4.355,2
"58",1967,2,3.475,2
"59",1968,2,2.625,2
"60",1969,2,3.47,2
"61",1970,2,2.58,2
"62",1971,2,2.035,2
"63",1972,2,2.085,2
"64",1973,2,2.075,2
"65",1974,2,1.83,2
"66",1975,2,1.635,2
"67",1976,2,1.43,2
"68",1977,2,0.565,2
"69",1978,2,0.77,2
"70",1979,2,1.225,2
"71",1980,2,1.17,2
"72",1981,2,0.375,2
"73",1982,2,0.53,2
"74",1983,2,0.295,2
"75",1984,2,0.385,2
"76",1985,2,0.52,2
"77",1986,2,0.49,2
"78",1987,2,0.38,2
"79",1988,2,0.235,2
"80",1989,2,0.26,2
"81",1990,2,0.525,2
"82",1991,2,0.42,2
"83",1992,2,0.63,2
"84",1993,2,0.295,2
"85",1994,2,0.13,2
"86",1995,2,0.035,2
"87",1996,2,0.295,2
"88",1997,2,0.56,2
"89",1998,2,0.81,2
"90",1999,2,0.23,2
"91",2000,2,0.77,2
"92",2001,2,0.44,2
"93",2002,2,0.475,2
"94",2003,2,0.67,2
"95",2004,2,0.69,2
"96",2005,2,0.17,2
"97",2006,2,0.36,2
"98",2007,2,0.21,2
"99",2008,2,0.08,2
"100",2009,2,0.26,2
"101",2010,2,0.27,2
"102",2011,2,0.29,2
"103",2012,2,0.01,2
"104",2013,2,0.39,2
"105",2014,2,0.05,2
"106",2015,2,0.445,2
"107",2016,2,0.01,2
"108",2017,2,0.2,2
"109",2018,2,0.345,2
"110",2019,2,0.24,2
"111",2020,2,0.21,2
"112",1966,3,5.935,3
"113",1967,3,3.66,3
"114",1968,3,1.93,3
"115",1969,3,2.755,3
"116",1970,3,2.11,3
"117",1971,3,2.16,3
"118",1972,3,2.01,3
"119",1973,3,1.38,3
"120",1974,3,1.525,3
"121",1975,3,1.18,3
"122",1976,3,1.14,3
"123",1977,3,0.65,3
"124",1978,3,0.76,3
"125",1979,3,0.865,3
"126",1980,3,0.455,3
"127",1981,3,0.185,3
"128",1982,3,0.55,3
"129",1983,3,0.31,3
"130",1984,3,0.68,3
"131",1985,3,0.51,3
"132",1986,3,0.365,3
"133",1987,3,0.27,3
"134",1988,3,0.075,3
"135",1989,3,0.51,3
"136",1990,3,0.53,3
"137",1991,3,0.375,3
"138",1992,3,0.42,3
"139",1993,3,0.32,3
"140",1994,3,0.07,3
"141",1995,3,0.005,3
"142",1996,3,0.2,3
"143",1997,3,0.465,3
"144",1998,3,0.675,3
"145",1999,3,0.095,3
"146",2000,3,0.82,3
"147",2001,3,0.585,3
"148",2002,3,0.285,3
"149",2003,3,0.42,3
"150",2004,3,0.635,3
"151",2005,3,0.045,3
"152",2006,3,0.275,3
"153",2007,3,0.115,3
"154",2008,3,0.01,3
"155",2009,3,0.21,3
"156",2010,3,0.405,3
"157",2011,3,0.255,3
"158",2012,3,0.165,3
"159",2013,3,0.15,3
"160",1968,4,2.76,4
"161",1969,4,4.43,4
"162",1970,4,5.06,4
"163",1971,4,2.835,4
"164",1972,4,2.45,4
"165",1973,4,1.4,4
"166",1974,4,2.43,4
"167",1975,4,2.175,4
"168",1976,4,1.705,4
"169",1977,4,0.855,4
"170",1978,4,1.495,4
"171",1979,4,2.93,4
"172",1980,4,1.855,4
"173",1981,4,0.45,4
"174",1982,4,1.01,4
"175",1983,4,0.61,4
"176",1984,4,0.985,4
"177",1985,4,1.875,4
"178",1986,4,1.165,4
"179",1987,4,0.56,4
"180",1988,4,0.405,4
"181",1989,4,1.45,4
"182",1990,4,2.885,4
"183",1991,4,1.7,4
"184",1992,4,1.45,4
"185",1993,4,0.755,4
"186",1994,4,0.375,4
"187",1995,4,0.52,4
"188",1996,4,1.9,4
"189",1997,4,1.785,4
"190",1998,4,1.865,4
"191",1999,4,0.525,4
"192",2000,4,1.36,4
"193",2001,4,1.23,4
"194",2002,4,1.745,4
"195",2003,4,2.105,4
"196",2004,4,1.895,4
"197",2005,4,0.54,4
"198",2006,4,1.365,4
"199",2007,4,1.145,4
"200",2008,4,0.78,4
"201",2009,4,1.7,4
"202",2010,4,2.255,4
"203",2011,4,2.545,4
"204",2012,4,0.43,4
"205",2013,4,1.655,4
"206",2014,4,0.565,4
"207",2015,4,1.265,4
"208",2016,4,0.41,4
"209",2017,4,0.77,4
"210",2018,4,1.5,4
"211",2019,4,0.76,4
"212",2020,4,1.455,4
"213",2021,4,1.23,4
"214",1963,5,3.765,5
"215",1964,5,3.295,5
"216",1965,5,2.56,5
"217",1966,5,4.145,5
"218",1967,5,2.945,5
"219",1968,5,2.05,5
"220",1969,5,2.625,5
"221",1970,5,2.315,5
"222",1971,5,2.27,5
"223",1972,5,2.125,5
"224",1973,5,1.515,5
"225",1974,5,1.545,5
"226",1975,5,1.4,5
"227",1976,5,1.31,5
"228",1977,5,0.71,5
"229",1978,5,1.01,5
"230",1979,5,0.98,5
"231",1980,5,1.095,5
"232",1981,5,0.63,5
"233",1982,5,0.64,5
"234",1983,5,0.545,5
"235",1984,5,0.805,5
"236",1985,5,1.04,5
"237",1986,5,0.725,5
"238",1987,5,0.675,5
"239",1988,5,0.52,5
"240",1989,5,0.89,5
"241",1990,5,1.325,5
"242",1991,5,1.16,5
"243",1992,5,1.17,5
"244",1993,5,0.72,5
"245",1994,5,0.26,5
"246",1995,5,0.17,5
"247",1996,5,0.8,5
"248",1997,5,1.245,5
"249",1998,5,1.865,5
"250",1999,5,0.62,5
"251",2000,5,1.34,5
"252",2001,5,1.07,5
"253",2002,5,0.815,5
"254",2003,5,1.11,5
"255",2004,5,1.485,5
"256",2005,5,0.375,5
"257",2006,5,0.545,5
"258",2007,5,0.665,5
"259",2008,5,0.525,5
"260",2009,5,0.41,5
"261",2010,5,1.06,5
"262",2011,5,1.62,5
"263",2012,5,0.41,5
"264",2013,5,1.23,5
"265",2014,5,0.295,5
"266",2015,5,0.635,5
"267",2016,5,0.205,5
"268",2017,5,0.175,5
