"","year","pie","RW","pie"
"1",1985,1,1.74,1
"2",1986,1,3.18,1
"3",1987,1,3.44,1
"4",1988,1,4.67,1
"5",1989,1,5.62,1
"6",1990,1,8.675,1
"7",1991,1,6.295,1
"8",1992,1,7.28,1
"9",1993,1,3.51,1
"10",1994,1,2.59,1
"11",1995,1,1.135,1
"12",1996,1,4.745,1
"13",1997,1,4.925,1
"14",1998,1,1.655,1
"15",1999,1,1.2,1
"16",2000,1,1.84,1
"17",2001,1,1.22,1
"18",2002,1,1.66,1
"19",2003,1,1.31,1
"20",2004,1,2.61,1
"21",2005,1,0.8,1
"22",2006,1,0.81,1
"23",2007,1,1.185,1
"24",2008,1,1.525,1
"25",2009,1,1.18,1
"26",2010,1,2.1,1
"27",2011,1,1.645,1
"28",2012,1,0.205,1
"29",2013,1,0.52,1
"30",2014,1,0.36,1
"31",2015,1,0.65,1
"32",2016,1,0.07,1
"33",2017,1,0.8,1
"34",2018,1,0.73,1
"35",1979,2,0.925,2
"36",1980,2,0.74,2
"37",1981,2,1.155,2
"38",1982,2,2.45,2
"39",1983,2,3.135,2
"40",1984,2,4.7,2
"41",1985,2,1.6,2
"42",1986,2,2.415,2
"43",1987,2,3.575,2
"44",1988,2,3.415,2
"45",1989,2,6.575,2
"46",1990,2,8.09,2
"47",1991,2,5.185,2
"48",1992,2,7.125,2
"49",1993,2,4.52,2
"50",1994,2,5.425,2
"51",1995,2,2.995,2
"52",1996,2,5.47,2
"53",1997,2,6.155,2
"54",1998,2,2.31,2
"55",1999,2,0.71,2
"56",2000,2,1.78,2
"57",2001,2,2.085,2
"58",2002,2,2.385,2
"59",2003,2,1.74,2
"60",2004,2,2.975,2
"61",2005,2,0.97,2
"62",2006,2,0.75,2
"63",2007,2,1.22,2
"64",2008,2,1.855,2
"65",2009,2,1.08,2
"66",2010,2,3.09,2
"67",2011,2,1.885,2
"68",2012,2,0.235,2
"69",2013,2,0.725,2
"70",2014,2,0.235,2
"71",2015,2,0.33,2
"72",2016,2,0.01,2
"73",2017,2,0.38,2
"74",2018,2,0.375,2
"75",1977,3,1.24,3
"76",1978,3,1.14,3
"77",1979,3,1.29,3
"78",1980,3,1.53,3
"79",1981,3,1.58,3
"80",1982,3,2.09,3
"81",1983,3,0.955,3
"82",1984,3,1.31,3
"83",1985,3,1.18,3
"84",1986,3,1.62,3
"85",1987,3,2.61,3
"86",1988,3,4.825,3
"87",1989,3,8.08,3
"88",1990,3,8.285,3
"89",1991,3,5.16,3
"90",1992,3,5.16,3
"91",1993,3,3.42,3
"92",1994,3,4.035,3
"93",1995,3,3.655,3
"94",1996,3,4.215,3
"95",1997,3,3.91,3
"96",1998,3,1.295,3
"97",1999,3,1.26,3
"98",2000,3,1.715,3
"99",2001,3,1.485,3
"100",2002,3,1.495,3
"101",2003,3,1.085,3
"102",2004,3,2.005,3
"103",2005,3,0.665,3
"104",2006,3,0.635,3
"105",2007,3,0.86,3
"106",2008,3,0.875,3
"107",2009,3,0.82,3
"108",2010,3,1.065,3
"109",2011,3,1.015,3
"110",2012,3,0.255,3
"111",2013,3,0.385,3
"112",2014,3,0.26,3
"113",2015,3,0.265,3
"114",2016,3,0.135,3
"115",1988,4,2.62,4
"116",1989,4,3.68,4
"117",1990,4,5.52,4
"118",1991,4,3.255,4
"119",1992,4,4.46,4
"120",1993,4,2.615,4
"121",1994,4,2.47,4
"122",1995,4,1.335,4
"123",1996,4,4.66,4
"124",1997,4,3.93,4
"125",1998,4,1.61,4
"126",1999,4,1.005,4
"127",2000,4,1.91,4
"128",2001,4,2.125,4
"129",2002,4,2.26,4
"130",2003,4,1.495,4
"131",2004,4,2.245,4
"132",2005,4,0.69,4
"133",2006,4,0.715,4
"134",2007,4,1.21,4
"135",2008,4,1.425,4
"136",2009,4,0.945,4
"137",2010,4,1.61,4
"138",2011,4,1.33,4
"139",2012,4,0.145,4
"140",2013,4,0.6,4
"141",2014,4,0.285,4
"142",2015,4,0.35,4
"143",2016,4,0.1,4
"144",2017,4,0.7,4
"145",2018,4,0.63,4
"146",1979,5,1.305,5
"147",1980,5,1.44,5
"148",1981,5,1.305,5
"149",1982,5,3.28,5
"150",1983,5,2.985,5
"151",1984,5,3.28,5
"152",1985,5,0.955,5
"153",1986,5,0.965,5
"154",1987,5,2.17,5
"155",1988,5,2.975,5
"156",1989,5,11.71,5
"157",1990,5,11.33,5
"158",1991,5,4.465,5
"159",1992,5,2.94,5
"160",1993,5,2.005,5
"161",1994,5,1.435,5
"162",1995,5,0.79,5
"163",1996,5,2.5,5
"164",1997,5,3.695,5
"165",1998,5,1.665,5
