"","year","pie","RW","pie"
"1",1976,1,2.43,1
"2",1977,1,1.715,1
"3",1978,1,1.53,1
"4",1979,1,1.33,1
"5",1980,1,1.835,1
"6",1981,1,1.11,1
"7",1982,1,1.565,1
"8",1983,1,1.685,1
"9",1984,1,2.53,1
"10",1985,1,2.87,1
"11",1986,1,4.055,1
"12",1987,1,2.515,1
"13",1988,1,2.675,1
"14",1989,1,3.345,1
"15",1990,1,3.645,1
"16",1991,1,1.795,1
"17",1992,1,2.255,1
"18",1993,1,1.895,1
"19",1994,1,0.875,1
"20",1995,1,0.59,1
"21",1996,1,0.555,1
"22",1997,1,2.34,1
"23",1998,1,1.755,1
"24",1999,1,0.26,1
"25",2000,1,0.865,1
"26",2001,1,1.36,1
"27",2002,1,1.21,1
"28",2003,1,1.125,1
"29",2004,1,0.725,1
"30",2005,1,0.145,1
"31",2006,1,0.275,1
"32",2007,1,0.325,1
"33",2008,1,0.295,1
"34",2009,1,0.97,1
"35",2010,1,1.32,1
"36",2011,1,0.985,1
"37",2012,1,0.315,1
"38",2013,1,0.855,1
"39",2014,1,0.42,1
"40",2015,1,0.885,1
"41",2016,1,0.285,1
"42",2017,1,0.615,1
"43",2018,1,0.53,1
"44",2019,1,0.28,1
"45",2020,1,0.73,1
"46",1986,2,5.855,2
"47",1987,2,3.885,2
"48",1988,2,3.47,2
"49",1989,2,3.07,2
"50",1990,2,3.06,2
"51",1991,2,1.86,2
"52",1992,2,2.17,2
"53",1993,2,1.63,2
"54",1994,2,0.61,2
"55",1995,2,0.53,2
"56",1996,2,0.595,2
"57",1997,2,2.24,2
"58",1998,2,2.41,2
"59",1999,2,0.18,2
"60",2000,2,0.675,2
"61",2001,2,0.935,2
"62",2002,2,0.73,2
"63",2003,2,1.255,2
"64",2004,2,1.335,2
"65",2005,2,0.39,2
"66",2006,2,0.62,2
"67",2007,2,0.37,2
"68",2008,2,0.29,2
"69",2009,2,0.85,2
"70",2010,2,0.875,2
