"","year","pie","RW"
"1",1986,1,1.74
"2",1987,1,2.13
"3",1988,1,1.76
"4",1989,1,4.78
"5",1990,1,6.42
"6",1991,1,2.24
"7",1992,1,3.13
"8",1993,1,1.37
"9",1994,1,1.27
"10",1995,1,0.68
"11",1996,1,3.31
"12",1997,1,3.74
"13",1998,1,1.45
"14",1999,1,0.74
"15",2000,1,0.77
"16",2001,1,0.58
"17",2002,1,1.02
"18",2003,1,0.66
"19",2004,1,2.12
"20",2005,1,0.68
"21",2006,1,0.47
"22",2007,1,0.71
"23",2008,1,0.57
"24",2009,1,0.71
"25",2010,1,2.13
"26",2011,1,1.47
"27",2012,1,0.05
"28",2013,1,0.6
"29",2014,1,0.14
"30",2015,1,0.15
"31",2016,1,0.39
"32",2017,1,0.71
"33",2018,1,0.36
"34",2019,1,0.14
"35",2020,1,0.57
"36",2021,1,0.2
"37",2022,1,0.83
"38",1986,2,1.72
"39",1987,2,1.61
"40",1988,2,1.29
"41",1989,2,5.01
"42",1990,2,6.69
"43",1991,2,2.49
"44",1992,2,2.6
"45",1993,2,1.46
"46",1994,2,1.01
"47",1995,2,0.31
"48",1996,2,2.3
"49",1997,2,3.23
"50",1998,2,1.08
"51",1999,2,0.75
"52",2000,2,0.29
"53",2001,2,0.39
"54",2002,2,0.93
"55",2003,2,0.74
"56",2004,2,2.7
"57",2005,2,0.68
"58",2006,2,0.35
"59",2007,2,0.27
"60",2008,2,0.27
"61",2009,2,0.51
"62",2010,2,2.16
"63",2011,2,1.81
"64",2012,2,0.01
"65",2013,2,0.59
"66",2014,2,0.21
"67",2015,2,0.32
"68",2016,2,0.01
"69",2017,2,0.32
"70",2018,2,0.22
"71",2019,2,0.14
"72",2020,2,0.45
"73",2021,2,0.37
"74",2022,2,0.76
"75",1988,3,2.15
"76",1989,3,3.93
"77",1990,3,4.42
"78",1991,3,2.27
"79",1992,3,2.8
"80",1993,3,1.41
"81",1994,3,1.26
"82",1995,3,0.42
"83",1996,3,2.7
"84",1997,3,3.11
"85",1998,3,1.04
"86",1999,3,0.55
"87",2000,3,0.46
"88",2001,3,0.71
"89",2002,3,1.01
"90",2003,3,0.8
"91",2004,3,2.05
"92",2005,3,0.49
"93",2006,3,0.34
"94",2007,3,0.33
"95",2008,3,0.44
"96",2009,3,0.69
"97",2010,3,2.95
"98",2011,3,1.49
"99",2012,3,0.06
"100",2013,3,0.47
"101",2014,3,0.15
"102",2015,3,0.26
"103",2016,3,0.77
"104",2017,3,1.08
"105",2018,3,0.88
"106",2019,3,0.51
"107",2020,3,0.78
"108",2021,3,0.68
"109",2022,3,0.98
"110",1987,4,1.08
"111",1988,4,2.15
"112",1989,4,2.09
"113",1990,4,2.53
"114",1991,4,1.46
"115",1992,4,2.36
"116",1993,4,1.05
"117",1994,4,0.88
"118",1995,4,0.65
"119",1996,4,2.54
"120",1997,4,2.86
"121",1998,4,1.08
"122",1999,4,0.82
"123",2000,4,0.31
"124",2001,4,0.58
"125",2002,4,1.13
"126",2003,4,0.65
"127",2004,4,2.19
"128",2005,4,0.75
"129",2006,4,0.33
"130",2007,4,0.33
"131",2008,4,0.24
"132",2009,4,0.39
"133",2010,4,1.41
"134",2011,4,1.1
"135",2012,4,0.01
"136",2013,4,0.42
"137",2014,4,0.14
"138",2015,4,0.37
"139",2016,4,0.01
"140",2017,4,0.63
"141",2018,4,0.32
"142",2019,4,0.03
"143",2020,4,0.12
"144",2021,4,0.04
"145",2022,4,0.31
"146",1987,5,1.13
"147",1988,5,1.04
"148",1989,5,3.35
"149",1990,5,6.13
"150",1991,5,2.36
"151",1992,5,3.04
"152",1993,5,1.69
"153",1994,5,0.99
"154",1995,5,0.29
"155",1996,5,2.85
"156",1997,5,3.36
"157",1998,5,1.01
"158",1999,5,0.43
"159",2000,5,0.39
"160",2001,5,0.54
"161",2002,5,0.98
"162",2003,5,0.4
"163",2004,5,1.87
"164",2005,5,0.5
"165",2006,5,0.3
