"","year","pie","RW","pie"
"1",1989,1,9.51,1
"2",1990,1,9.03,1
"3",1991,1,5.935,1
"4",1992,1,5.755,1
"5",1993,1,3.12,1
"6",1994,1,1.265,1
"7",1995,1,1.32,1
"8",1996,1,3.865,1
"9",1997,1,4.975,1
"10",1998,1,3.455,1
"11",1999,1,0.49,1
"12",2000,1,1.685,1
"13",2001,1,2.215,1
"14",2002,1,1.695,1
"15",2003,1,2.025,1
"16",2004,1,1.935,1
"17",2005,1,0.265,1
"18",2006,1,0.69,1
"19",2007,1,0.275,1
"20",2008,1,0.235,1
"21",2009,1,0.305,1
"22",2010,1,1.115,1
"23",2011,1,1.88,1
"24",2012,1,0.395,1
"25",2013,1,1.29,1
"26",2014,1,0.45,1
"27",2015,1,0.695,1
"28",2016,1,0.415,1
"29",2017,1,0.6,1
"30",2018,1,0.905,1
"31",2019,1,0.235,1
"32",2020,1,0.42,1
"33",1988,2,5.35,2
"34",1989,2,8.905,2
"35",1990,2,9.65,2
"36",1991,2,6.24,2
"37",1992,2,5.615,2
"38",1993,2,3.675,2
"39",1994,2,1.42,2
"40",1995,2,1.36,2
"41",1996,2,3.99,2
"42",1997,2,5.085,2
"43",1998,2,3.39,2
"44",1999,2,0.43,2
"45",2000,2,1.71,2
"46",2001,2,2.32,2
"47",2002,2,1.755,2
"48",2003,2,2.64,2
"49",2004,2,2.215,2
"50",2005,2,0.195,2
"51",2006,2,0.78,2
"52",2007,2,0.35,2
"53",2008,2,0.405,2
"54",2009,2,0.745,2
"55",2010,2,1.165,2
"56",2011,2,1.66,2
"57",2012,2,0.405,2
"58",2013,2,1.435,2
"59",2014,2,0.675,2
"60",2015,2,0.625,2
"61",2016,2,0.35,2
"62",2017,2,0.315,2
"63",2018,2,0.58,2
"64",2019,2,0.265,2
"65",2020,2,0.445,2
"66",1988,3,6.415,3
"67",1989,3,7.605,3
"68",1990,3,8.445,3
"69",1991,3,5.625,3
"70",1992,3,5.46,3
"71",1993,3,3.375,3
"72",1994,3,2.16,3
"73",1995,3,1.47,3
"74",1996,3,3.365,3
"75",1997,3,4.415,3
"76",1998,3,3.99,3
"77",1999,3,0.635,3
"78",2000,3,1.925,3
"79",2001,3,2.17,3
"80",2002,3,1.365,3
"81",2003,3,1.95,3
"82",2004,3,1.875,3
"83",2005,3,0.195,3
"84",2006,3,0.535,3
"85",2007,3,0.38,3
"86",2008,3,0.45,3
"87",2009,3,0.88,3
"88",2010,3,0.9,3
"89",2011,3,1.47,3
"90",2012,3,0.47,3
"91",2013,3,1.255,3
"92",2014,3,0.535,3
"93",2015,3,0.615,3
"94",2016,3,0.37,3
"95",2017,3,0.425,3
"96",2018,3,0.69,3
"97",2019,3,0.235,3
"98",2020,3,0.45,3
"99",1987,4,2.61,4
"100",1988,4,4.26,4
"101",1989,4,6.15,4
"102",1990,4,7.18,4
"103",1991,4,4.5,4
"104",1992,4,3.75,4
"105",1993,4,2.32,4
"106",1994,4,0.98,4
"107",1995,4,0.57,4
"108",1996,4,2.65,4
"109",1997,4,3.7,4
"110",1998,4,2.33,4
"111",1999,4,0.44,4
"112",2000,4,1.33,4
"113",2001,4,1.8,4
"114",2002,4,1.035,4
"115",2003,4,1.23,4
"116",2004,4,1.265,4
"117",2005,4,0.27,4
"118",2006,4,0.69,4
"119",2007,4,0.445,4
"120",2008,4,0.455,4
"121",2009,4,0.705,4
"122",2010,4,1.08,4
"123",2011,4,1.43,4
"124",2012,4,0.6,4
"125",2013,4,1.26,4
"126",2014,4,0.355,4
"127",2015,4,0.52,4
"128",2016,4,0.285,4
"129",2017,4,0.32,4
"130",2018,4,0.44,4
"131",2019,4,0.16,4
"132",2020,4,0.315,4
"133",1987,5,8.135,5
"134",1988,5,3.945,5
"135",1989,5,7.085,5
"136",1990,5,7.91,5
"137",1991,5,5.64,5
"138",1992,5,5.515,5
"139",1993,5,3.265,5
"140",1994,5,1.69,5
"141",1995,5,1.475,5
"142",1996,5,4.985,5
"143",1997,5,5.88,5
"144",1998,5,4.21,5
"145",1999,5,0.805,5
"146",2000,5,2.985,5
"147",2001,5,3.66,5
"148",2002,5,2.715,5
"149",2003,5,3.275,5
"150",2004,5,3.155,5
"151",2005,5,0.445,5
"152",2006,5,1.21,5
"153",2007,5,0.59,5
"154",2008,5,0.805,5
"155",2009,5,1.015,5
"156",2010,5,2.75,5
"157",2011,5,2.89,5
"158",2012,5,0.8,5
"159",2013,5,1.93,5
"160",2014,5,1.045,5
"161",2015,5,0.815,5
"162",2016,5,0.45,5
"163",2017,5,0.51,5
"164",2018,5,1.87,5
"165",2019,5,0.94,5
"166",2020,5,1.27,5
"167",1988,6,7.83,6
"168",1989,6,7.705,6
"169",1990,6,8.585,6
"170",1991,6,5.425,6
"171",1992,6,4.935,6
"172",1993,6,2.81,6
"173",1994,6,1.205,6
"174",1995,6,1.21,6
"175",1996,6,3.195,6
"176",1997,6,4.145,6
"177",1998,6,3.925,6
"178",1999,6,0.88,6
"179",2000,6,3.23,6
"180",2001,6,3.74,6
"181",2002,6,2.51,6
"182",2003,6,3.25,6
"183",2004,6,2.14,6
"184",2005,6,0.24,6
"185",2006,6,1.36,6
"186",2007,6,0.65,6
"187",2008,6,0.81,6
"188",2009,6,1.04,6
"189",2010,6,2.08,6
"190",2011,6,3.67,6
"191",2012,6,0.94,6
"192",2013,6,3.58,6
"193",2014,6,1.3,6
"194",2015,6,0.92,6
"195",2016,6,0.82,6
"196",2017,6,0.69,6
"197",2018,6,1.34,6
"198",2019,6,0.68,6
"199",2020,6,0.72,6
"200",1986,7,10.515,7
"201",1987,7,8.545,7
"202",1988,7,4.77,7
"203",1989,7,6.92,7
"204",1990,7,7.25,7
"205",1991,7,5.77,7
"206",1992,7,5.075,7
"207",1993,7,3.515,7
"208",1994,7,1.88,7
"209",1995,7,1.82,7
"210",1996,7,5.135,7
"211",1997,7,5.445,7
"212",1998,7,4.095,7
"213",1999,7,0.6,7
"214",2000,7,2.11,7
"215",2001,7,3.405,7
"216",2002,7,1.88,7
"217",2003,7,2.51,7
"218",2004,7,2.435,7
"219",2005,7,0.29,7
"220",2006,7,1.03,7
"221",2007,7,0.595,7
"222",2008,7,0.825,7
"223",2009,7,1.495,7
"224",2010,7,2.255,7
"225",2011,7,2.12,7
"226",2012,7,0.66,7
"227",2013,7,1.625,7
"228",2014,7,0.875,7
"229",2015,7,1.03,7
"230",2016,7,0.62,7
"231",2017,7,0.745,7
"232",2018,7,1.04,7
"233",2019,7,0.45,7
"234",2020,7,0.785,7
"235",1986,8,2.46,8
"236",1987,8,4.2,8
"237",1988,8,3.61,8
"238",1989,8,4.065,8
"239",1990,8,4.91,8
"240",1991,8,3.16,8
"241",1992,8,2.64,8
"242",1993,8,1.685,8
"243",1994,8,0.63,8
"244",1995,8,0.715,8
"245",1996,8,2.705,8
"246",1997,8,2.59,8
"247",1998,8,2.01,8
"248",1999,8,0.16,8
"249",2000,8,0.96,8
"250",2001,8,1.085,8
"251",2002,8,0.77,8
"252",2003,8,1.045,8
"253",2004,8,1.12,8
"254",2005,8,0.105,8
"255",2006,8,0.27,8
"256",2007,8,0.13,8
"257",2008,8,0.075,8
"258",2009,8,0.285,8
"259",2010,8,0.4,8
"260",2011,8,0.255,8
