Note: [none]
Total # of Iterations:	1e+06	
Sample size:	253	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
-233.6294	6	479.6002	479.2587	0.999973	0.5058091	
Model:	mcombrat7
PDF:	dnorm
Support interval range:	2

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
0.03355328	13.12578	313.9	0.1149269	
0.07154471	13.75114	200	0.07916291	
0.09808652	12.33429	448.9	0.1444317	
0.04748416	13.37264	267.3	0.10215	
0.1259869	13.44884	321.5	0.1153509	
0.05763474	13.45395	199.8	0.0796193	
0.1068164	12.74955	359.4	0.12659	
0.1348452	12.55089	335.1	0.1236681	
0.149858	12.19674	348.1	0.1310111	
0.1437259	12.10822	338	0.1304103	
0.04349623	12.14503	141.1	0.05960603	
0.09018941	12.34522	353.4	0.1298305	
0.07338176	11.82288	322.3	0.1328547	
0.04840161	11.73981	285.4	0.1248487	
0.1039761	12.75106	446.3	0.1391279	
0.1173053	11.96879	541	0.1597814	
0.1305473	12.25463	292.8	0.1171394	
0.03379989	12.49898	277.9	0.1101959	
0.1174534	11.61853	326.3	0.1396346	
0.05003962	12.56447	252.3	0.1019576	
0.09789741	12.8414	218.7	0.0887475	
0.03536019	12.54195	304.8	0.1168588	
0.04882452	13.19164	199.1	0.08002527	
0.07868437	11.68466	445.6	0.1594683	
0.04198474	12.74521	252.4	0.1006407	
0.09480179	12.92051	323.4	0.1181604	
0.07480113	12.89171	202.2	0.08234053	
0.26936	12.25136	360.2	0.1325156	
0.189034	12.06719	341.6	0.1319503	
0.3093132	11.65683	355.5	0.1452176	
0.2482097	11.55707	326.3	0.1416709	
0.04001177	11.61297	147.8	0.06929423	
0.1178683	11.78407	362.9	0.1429493	
0.0556492	11.27962	322	0.1516683	
0.1127203	11.05442	335.5	0.167502	
0.1548122	12.19787	532	0.1540832	
0.2486419	11.4048	666.6	0.1855752	
0.3110653	11.72189	305.6	0.1311353	
0.0837598	11.98467	334.9	0.1321281	
0.228604	11.00224	425	0.1912985	
0.1205257	11.95345	333.6	0.1324986	
0.1291197	12.41273	260.8	0.1060268	
0.06625869	11.93446	382.1	0.1426855	
