Note: [none]
Total # of Iterations:	2e+05	
Sample size:	253	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
-233.7322	4	475.6257	475.4644	0.9974038	0.4611436	
Model:	mtrat6
PDF:	dnorm
Support interval range:	2

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
MR	0.5582118	0.1953741	0.9231953	0.6027942	0	1.2	1.2	
b	0.1977159	0	0.2	0.3167616	0	0.2	0.2	
k	-1.699626	-2.5	-0.254345	3.271189	-2.5	2	2.4	
t0	9.920275	0	11.12984	2.012828	0	20	17.6	

Non-varying parameters:
Label	Value
mean	predicted	
x	rat	
tmed	tmed	
prec	prec	
log	TRUE	


Annealing regime:
Initial temp	Rt	ns	nt
5	0.975	20	100

Variance - Covariance Matrix:
	MR	b	k	t0
MR	0.3633609	-0.1561378	1.229083	-1.0702	
b	-0.1561378	0.1003379	-0.795169	0.411755	
k	1.229083	-0.795169	10.70068	-4.241304	
t0	-1.0702	0.411755	-4.241304	4.051478	

Source data
year	sp_code	elev_code	sp_elev	rat	prec	tmed	species	predicted	
2019	halepensis	low	halepensis_low	0.04561179	104.8	15.32993	P. halepensis	0.1104128	
2020	halepensis	low	halepensis_low	0.09793627	199.5	15.80108	P. halepensis	0.1103878	
2021	halepensis	low	halepensis_low	0.06287278	240	15.51106	P. halepensis	0.1104008	
2022	halepensis	low	halepensis_low	0.1351467	303.7	16.53306	P. halepensis	0.1103732	
2001	halepensis	high	halepensis_high	0.09732386	361.6	13.31781	P. halepensis	0.1117539	
2002	halepensis	high	halepensis_high	0.1655779	330.5	13.11083	P. halepensis	0.1123359	
2003	halepensis	high	halepensis_high	0.1609994	327.3	12.85564	P. halepensis	0.1133975	
2004	halepensis	high	halepensis_high	0.1874337	348.6	12.68337	P. halepensis	0.114419	
2005	halepensis	high	halepensis_high	0.0406339	144.9	12.70888	P. halepensis	0.1142486	
2006	halepensis	high	halepensis_high	0.07405498	327.7	12.9846	P. halepensis	0.1128044	
2007	halepensis	high	halepensis_high	0.05920739	332.5	12.51785	P. halepensis	0.1157196	
2008	halepensis	high	halepensis_high	0.03349928	265.6	12.51045	P. halepensis	0.1157866	
