Note: [none]
Total # of Iterations:	50000	
Sample size:	383	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
-2108.398	6	4229.019	4228.795	1.000288	0.4278503	
Model:	mtabi4
PDF:	User-defined function
Support interval range:	2

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
MA	513.3956	482.5919	533.9314	NaN	0	700	53.47649	
a	0.1123636	0.1001164	0.1223636	NaN	-0.5	0.5	0.03545093	
b	1	1.01	1	0.151126	1.5	1	-8.563083e+265	
c	-0.925509	-1.033169	-0.8531337	0.1609979	-2	2	0.549442	
d	9.206644	9.022511	9.29871	0.7034645	0	20	0.3820341	
scale	46.81462	41.76501	54.13316	3.547132	1	100	16.34356	

Non-varying parameters:
Label	Value
mean	predicted	
x	abi	
tmed	tmed	


Annealing regime:
Initial temp	Rt	ns	nt
5	0.975	20	100

Variance - Covariance Matrix:
	MA	a	b	c	d	scale
MA	-9922.39	2.063337	37.43128	5.443767	-34.29394	7.132546	
94.25153	12.81968	75.19155	
112.6419	13.06864	71.68736	
19.2458	13.23438	69.74317	
66.25292	13.26002	69.4669	
104.7079	13.22271	69.87094	
65.19305	13.00417	72.52325	
109.7584	12.71884	76.83999	
95.6145	12.64827	78.08129	
22.28116	12.66909	77.70735	
71.93973	12.90435	73.91388	
38.91536	12.35925	84.01501	
56.81601	12.24473	86.79203	
51.6663	13.21941	69.90742	
100.238	12.50525	80.8374	
119.8198	12.83743	74.9159	
23.91172	13.05593	71.84852	
156.7277	12.1365	89.66723	
55.11125	13.12328	71.01495	
43.75684	13.41941	67.88338	
20.60842	13.12578	70.98495	
40.79479	13.75114	65.22741	
68.3663	12.33429	84.59821	
32.74983	13.37264	68.32505	
82.38281	13.44884	67.61467	
39.93511	13.45395	67.56875	
48.19133	12.00144	93.62747	
55.95284	11.69362	104.3962	
32.43504	11.37332	118.6013	
14.70802	13.17398	70.4191	
13.44888	12.93707	73.44473	
48.91465	11.47315	113.8129	
57.81714	12.28672	85.74327	
84.10241	12.62964	78.4216	
