Note: [none]
Total # of Iterations:	50000	
Sample size:	383	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
-2130.568	4	4269.242	4269.137	1.049441	0.374129	
Model:	mtabi1
PDF:	User-defined function
Support interval range:	2

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
MA	342.1402	325.0332	359.2472	75.20152	0	500	57.66899	
OTmed	5	5	5.15	1.252594	5	20	15	
b	4.702187	4.608343	4.796231	0.430329	0.01	5	2.72777	
scale	51.53893	45.96965	59.26977	4.024196	1	70	51.56848	

Non-varying parameters:
Label	Value
mean	predicted	
x	abi	
tmed	tmed	


Annealing regime:
Initial temp	Rt	ns	nt
5	0.975	20	100

Variance - Covariance Matrix:
	MA	OTmed	b	scale
MA	5655.268	-87.08919	21.68524	-59.17614	
OTmed	-87.08919	1.568991	-0.4819951	0.9258708	
b	21.68524	-0.4819951	0.1851831	-0.08667567	
scale	-59.17614	0.9258708	-0.08667567	16.19415	

Source data
abi	tmed	predicted	
283.8185	10.67154	165.31	
219.765	10.48806	173.1443	
200.2428	10.06609	191.4902	
163.3483	12.21532	105.4182	
82.81442	11.76737	121.4592	
181.2071	9.876369	199.835	
193.794	10.94866	153.6998	
252.0762	11.59372	128.0017	
128.539	11.82213	119.4322	
368.4531	11.47866	132.4306	
390.5265	11.81506	119.6928	
257.8806	11.736	122.6282	
323.3707	11.01136	151.1153	
331.63	10.63505	166.8596	
126.5362	10.74701	162.1196	
138.8275	10.92373	154.732	
118.656	10.65338	166.0807	
224.8162	10.13953	188.2719	
201.3887	11.37159	136.6156	
200.3567	10.44594	174.9571	
260.4685	10.68331	164.811	
97.66331	10.97178	152.7449	
275.5812	10.09672	190.1466	
174.425	10.88113	156.5016	
123.9797	11.48234	132.2878	
105.1204	10.91439	155.1197	
131.4491	11.61667	127.1272	
195.1344	9.9215	197.8467	
333.5083	9.025067	237.1881	
383.8355	8.833759	245.3908	
403.7539	8.394118	263.6733	
358.2352	10.75621	161.732	
69.89712	10.15692	187.5109	
337.9203	8.20213	271.3335	
413.3528	9.305414	224.9866	
386.4252	10.20549	185.389	
245.612	10.44385	175.047	
419.262	10.0361	192.8066	
391.8431	10.40382	176.7744	
314.4568	10.34639	179.2598	
374.3908	9.428958	219.563	
407.595	9.050484	236.0897	
285.625	9.207542	229.2659	
326.7525	9.288868	225.7113	
267.6362	8.983948	238.9611	
368.3821	8.392047	263.7571	
259.7374	9.816253	202.4855	
354.3346	8.801879	246.7453	
391.6063	8.94437	240.6628	
208.26	9.426972	219.6503	
326.4277	8.407901	263.1148	
286.6137	9.156835	231.4754	
238.3668	9.872912	199.9873	
266.9323	9.220841	228.6854	
268.7025	10.06176	191.6799	
324.4996	8.12988	274.1551	
43.43188	14.57682	42.99999	
71.0771	14.27647	48.8743	
43.27117	14.00469	54.68596	
39.60789	15.65443	26.26387	
16.74983	15.44998	28.95565	
97.65343	13.90617	56.91231	
136.9736	14.79288	39.1172	
50.11727	14.88039	37.6235	
32.35031	15.0354	35.08662	
28.11402	15.07248	34.49991	
37.81393	15.39656	29.69404	
56.99967	15.09243	34.18749	
40.76413	14.97087	36.12608	
123.8449	14.6502	41.64986	
37.85461	14.48524	44.73155	
24.08204	15.12706	33.65053	
32.74552	14.68435	41.03245	
28.72743	14.63184	41.98453	
41.90247	15.36337	30.16037	
147.599	14.5268	43.93939	
98.32373	15.04664	34.90802	
4.991291	15.13608	33.51162	
37.86884	14.43493	45.70482	
8.607415	15.50237	28.24579	
21.82382	15.65799	26.21885	
19.75664	15.34972	30.35385	
37.2187	15.58787	27.11719	
23.98065	14.57152	43.09877	
14.14422	15.32993	30.63608	
24.25881	15.80108	24.46007	
16.81218	15.51106	28.12941	
40.70617	16.53306	16.90056	
44.24658	12.61463	92.20574	
65.98253	12.3259	101.654	
59.34909	11.92053	115.8354	
28.89973	13.75117	60.54586	
17.14858	13.52661	66.09808	
54.08257	12.02424	112.1085	
108.5069	12.86419	84.493	
90.2844	13.08273	78.08989	
21.60283	13.30307	71.96745	
43.23105	13.20971	74.5207	
49.03176	13.31781	71.56998	
84.14669	13.11083	77.2904	
83.59087	12.85564	84.75017	
106.2187	12.68337	90.03911	
19.66275	12.70888	89.24319	
36.99787	12.9846	80.92446	
34.61264	12.51785	95.3108	
15.89876	12.51045	95.55085	
43.16253	13.48725	67.10678	
78.4813	12.65853	90.81827	
90.88003	12.93468	82.39173	
20.08623	12.90525	83.26501	
74.68208	12.39118	99.46929	
24.0964	13.19346	74.97128	
32.72445	13.34513	70.83693	
13.42811	13.01616	80.00563	
38.6194	13.70839	61.57724	
49.95838	12.15359	107.554	
40.10995	13.21725	74.31218	
38.42542	13.56741	65.06379	
20.8842	13.33447	71.12239	
32.29714	14.66723	41.34109	
136.7245	13.30687	71.86477	
174.6189	13.00922	80.20701	
110.5394	12.74102	88.24668	
111.5475	14.5459	43.57881	
69.63956	14.2025	50.40858	
218.9705	12.64504	91.24333	
256.017	13.54969	65.51172	
101.1595	13.81843	58.94929	
58.75446	13.9806	55.2244	
102.7266	13.98397	55.14888	
100.132	14.31136	48.16287	
121.5486	14.03289	54.0606	
97.86366	13.75783	60.38648	
179.9195	13.44531	68.1931	
54.51957	13.29281	72.24509	
49.70573	13.85621	58.06581	
81.14181	13.40368	69.28345	
103.8268	13.29086	72.29809	
77.73349	14.15875	51.33278	
133.6539	13.24589	73.52422	
105.6338	13.70181	61.73686	
15.00712	13.9476	55.96824	
42.33777	13.13108	76.71774	
21.93534	14.17628	50.96102	
34.04212	14.40997	46.19361	
12.04831	14.03355	54.04605	
