Note: [none]
Total # of Iterations:	50000	
Sample size:	383	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
-2132.328	5	4274.816	4274.656	0.9935035	0.3409495	
Model:	mtabi2
PDF:	User-defined function
Support interval range:	2

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
MA	490.4424	426.6849	500.6336	NaN	0	1000	41.82103	
OTmed	6.205101	5.584591	6.329203	NaN	5	20	0.9941899	
b	1.835625	1.578637	1.853981	NaN	1	5	1.048139	
a	0.8857698	0.8946275	0.8769121	NaN	2.5	0.5	-1.133904e+83	
scale	60.61413	53.46043	69.27902	5.175144	1	100	31.12414	

Non-varying parameters:
Label	Value
mean	predicted	
x	abi	
tmed	tmed	


Annealing regime:
Initial temp	Rt	ns	nt
5	0.975	20	100

Variance - Covariance Matrix:
	MA	OTmed	b	a	scale
MA	-2125.504	17.65313	-2.028229	-1.548205	63.21446	
OTmed	17.65313	-0.306953	0.1332482	0.03536815	0.1611481	
b	-2.028229	0.1332482	-0.06143785	-0.008953108	-0.3272608	
a	-1.548205	0.03536815	-0.008953108	-0.0004692373	-0.1104108	
scale	63.21446	0.1611481	-0.3272608	-0.1104108	26.78212	

Source data
abi	tmed	predicted	
283.8185	10.67154	163.4023	
219.765	10.48806	170.0858	
200.2428	10.06609	186.655	
163.3483	12.21532	117.406	
82.81442	11.76737	129.0804	
181.2071	9.876369	194.6939	
193.794	10.94866	153.8565	
252.0762	11.59372	133.943	
128.539	11.82213	127.5873	
368.4531	11.47866	137.2759	
390.5265	11.81506	127.7789	
257.8806	11.736	129.9443	
323.3707	11.01136	151.7838	
331.63	10.63505	164.7078	
126.5362	10.74701	160.7387	
138.8275	10.92373	154.6893	
118.656	10.65338	164.0506	
224.8162	10.13953	183.6447	
201.3887	11.37159	140.4594	
200.3567	10.44594	171.6632	
260.4685	10.68331	162.9836	
97.66331	10.97178	153.0886	
275.5812	10.09672	185.3925	
174.425	10.88113	156.124	
123.9797	11.48234	137.168	
105.1204	10.91439	155.0028	
131.4491	11.61667	133.289	
195.1344	9.9215	192.7465	
333.5083	9.025067	236.0276	
383.8355	8.833759	246.675	
403.7539	8.394118	273.3959	
358.2352	10.75621	160.4173	
69.89712	10.15692	182.9398	
337.9203	8.20213	286.1611	
413.3528	9.305414	221.3841	
386.4252	10.20549	180.9878	
245.612	10.44385	171.7417	
419.262	10.0361	187.9003	
391.8431	10.40382	173.2567	
314.4568	10.34639	175.4566	
374.3908	9.428958	215.2686	
407.595	9.050484	234.6542	
285.625	9.207542	226.3724	
326.7525	9.288868	222.2183	
267.6362	8.983948	238.2696	
368.3821	8.392047	273.5298	
259.7374	9.816253	197.3229	
354.3346	8.801879	248.5041	
391.6063	8.94437	240.4513	
208.26	9.426972	215.3654	
326.4277	8.407901	272.5066	
286.6137	9.156835	229.0082	
238.3668	9.872912	194.844	
266.9323	9.220841	225.6869	
268.7025	10.06176	186.834	
324.4996	8.12988	291.1551	
43.43188	14.57682	72.08726	
71.0771	14.27647	76.62605	
43.27117	14.00469	80.99706	
39.60789	15.65443	58.02043	
16.74983	15.44998	60.44617	
97.65343	13.90617	82.64691	
136.9736	14.79288	69.00017	
50.11727	14.88039	67.79013	
32.35031	15.0354	65.70202	
28.11402	15.07248	65.21265	
37.81393	15.39656	61.09752	
56.99967	15.09243	64.95102	
40.76413	14.97087	66.56291	
123.8449	14.6502	71.02269	
37.85461	14.48524	73.44005	
24.08204	15.12706	64.49957	
32.74552	14.68435	70.53282	
28.72743	14.63184	71.28742	
41.90247	15.36337	61.50602	
147.599	14.5268	72.82286	
98.32373	15.04664	65.55333	
4.991291	15.13608	64.38242	
37.86884	14.43493	74.19465	
8.607415	15.50237	59.81453	
21.82382	15.65799	57.97913	
19.75664	15.34972	61.67487	
37.2187	15.58787	58.79863	
23.98065	14.57152	72.16481	
14.14422	15.32993	61.92053	
24.25881	15.80108	56.34416	
16.81218	15.51106	59.71044	
40.70617	16.53306	48.71048	
44.24658	12.61463	107.9658	
65.98253	12.3259	114.705	
59.34909	11.92053	124.9519	
28.89973	13.75117	85.31585	
17.14858	13.52661	89.34814	
54.08257	12.02424	122.2385	
108.5069	12.86419	102.4865	
90.2844	13.08273	97.93518	
21.60283	13.30307	93.5664	
43.23105	13.20971	95.39129	
49.03176	13.31781	93.28184	
84.14669	13.11083	97.36594	
83.59087	12.85564	102.6691	
106.2187	12.68337	106.4256	
19.66275	12.70888	105.8601	
36.99787	12.9846	99.9513	
34.61264	12.51785	110.1756	
15.89876	12.51045	110.3466	
43.16253	13.48725	90.07585	
78.4813	12.65853	106.9793	
90.88003	12.93468	100.994	
20.08623	12.90525	101.6143	
74.68208	12.39118	113.1423	
24.0964	13.19346	95.71285	
32.72445	13.34513	92.75667	
13.42811	13.01616	99.29808	
38.6194	13.70839	86.06871	
49.95838	12.15359	118.9439	
40.10995	13.21725	95.24244	
38.42542	13.56741	88.60055	
20.8842	13.33447	92.96124	
32.29714	14.66723	70.77795	
136.7245	13.30687	93.4929	
174.6189	13.00922	99.44127	
110.5394	12.74102	105.1523	
111.5475	14.5459	72.54099	
69.63956	14.2025	77.79009	
218.9705	12.64504	107.2815	
256.017	13.54969	88.92449	
101.1595	13.81843	84.14647	
58.75446	13.9806	81.39719	
102.7266	13.98397	81.34111	
100.132	14.31136	76.08356	
121.5486	14.03289	80.5314	
97.86366	13.75783	85.19934	
179.9195	13.44531	90.85817	
54.51957	13.29281	93.76509	
49.70573	13.85621	83.49718	
81.14181	13.40368	91.64203	
103.8268	13.29086	93.80301	
77.73349	14.15875	78.48758	
133.6539	13.24589	94.67966	
105.6338	13.70181	86.18506	
15.00712	13.9476	81.94876	
42.33777	13.13108	96.95802	
21.93534	14.17628	78.20734	
34.04212	14.40997	74.57215	
12.04831	14.03355	80.52056	
46.09271	14.3783	75.05393	
43.35106	13.19144	95.75281	
51.67102	12.49943	110.6016	
73.33223	12.17905	118.307	
39.35857	11.89403	125.6558	
29.92115	13.59298	88.13548	
15.65791	13.44597	90.84569	
49.58634	12.04161	121.7903	
94.25153	12.81968	103.4414	
112.6419	13.06864	98.22188	
19.2458	13.23438	94.90539	
66.25292	13.26002	94.40315	
104.7079	13.22271	95.13483	
65.19305	13.00417	99.54554	
109.7584	12.71884	105.6402	
95.6145	12.64827	107.2091	
22.28116	12.66909	106.7437	
71.93973	12.90435	101.6333	
38.91536	12.35925	113.9036	
56.81601	12.24473	116.681	
51.6663	13.21941	95.20001	
100.238	12.50525	110.4667	
119.8198	12.83743	103.0595	
23.91172	13.05593	98.48143	
156.7277	12.1365	119.3735	
55.11125	13.12328	97.11499	
43.75684	13.41941	91.34493	
20.60842	13.12578	97.06467	
40.79479	13.75114	85.31639	
68.3663	12.33429	114.5029	
32.74983	13.37264	92.23104	
82.38281	13.44884	90.79195	
39.93511	13.45395	90.69636	
48.19133	12.00144	122.8294	
55.95284	11.69362	131.1216	
32.43504	11.37332	140.4073	
14.70802	13.17398	96.09977	
13.44888	12.93707	100.9439	
48.91465	11.47315	137.4377	
57.81714	12.28672	115.6542	
84.10241	12.62964	107.6274	
28.58816	12.80579	103.7413	
79.73504	12.76751	104.5726	
63.13915	12.74955	104.9652	
76.52466	12.55089	109.4158	
82.13716	12.19674	117.8667	
92.08521	12.10822	120.0883	
22.57019	12.14503	119.159	
49.91984	12.34522	114.24	
44.86561	11.82288	127.567	
25.33824	11.73981	129.8391	
53.07981	12.75106	104.9322	
69.0459	11.96879	123.6812	
87.00979	12.25463	116.438	
17.79226	12.49898	110.612	
84.64869	11.61853	133.2361	
31.41988	12.56447	109.105	
58.64055	12.8414	102.9743	
17.66949	12.54195	109.6208	
24.35855	13.19164	95.74895	
50.30292	11.68466	131.372	
26.03474	12.74521	105.0603	
56.37862	12.92051	101.2921	
46.0027	12.89171	101.901	
102.5347	11.40216	139.5422	
93.27183	11.06633	149.9925	
66.7561	10.74789	160.7079	
35.58862	12.6457	107.2667	
21.4381	12.36559	113.7521	
105.3644	10.87789	156.234	
151.8639	11.70427	130.8245	
179.7566	12.14038	119.2761	
34.60463	12.31773	114.9021	
117.4366	12.24323	116.7177	
211.1243	12.25136	116.5181	
155.2159	12.06719	121.1336	
214.1994	11.65683	132.153	
216.2651	11.55707	134.9949	
26.32774	11.61297	133.3941	
83.58044	11.78407	128.6229	
48.21447	11.27962	143.259	
86.54661	11.05442	150.3787	
109.1735	12.19787	117.8385	
203.5879	11.4048	139.4633	
259.6151	11.72189	130.3348	
50.53229	11.98467	123.2661	
204.9435	11.00224	152.0836	
91.29824	11.95345	124.0835	
89.77696	12.41273	112.6314	
49.98555	11.93446	124.5836	
67.51524	12.7014	106.0256	
436.607	10.38867	173.8339	
464.8347	10.05579	187.0815	
335.8146	9.695946	202.7068	
192.2319	11.77895	128.7631	
170.624	11.37437	140.3758	
479.4308	9.779675	198.9423	
590.0851	10.65438	164.0148	
518.7288	11.27621	143.3641	
111.1375	11.46812	137.5856	
319.483	11.29193	142.8808	
427.61	11.36156	140.7619	
307.1029	11.2134	145.313	
409.5029	10.68792	162.8201	
393.2365	10.54402	168.0154	
49.49392	10.63039	164.8754	
160.8752	10.73044	161.3196	
89.0744	10.28368	177.8944	
119.7009	9.905245	193.4453	
190.5169	11.18799	146.1097	
329.3277	10.32817	176.1609	
395.1825	10.55143	167.7435	
125.0336	10.89882	155.5267	
341.9694	9.824873	196.9434	
152.6706	10.75392	160.4974	
188.1992	11.31034	142.3172	
115.0432	10.71864	161.7343	
134.3769	11.61003	133.478	
249.2563	10.01994	188.5752	
106.3093	11.08017	149.545	
168.4123	11.42356	138.9042	
