Note: [none]
Total # of Iterations:	2e+05	
Sample size:	253	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
-233.772	5	477.787	477.544	0.9992032	0.4438469	
Model:	mcombrat1
PDF:	dnorm
Support interval range:	2

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
MR	0.9989342	0.3396376	1	5.974334	0	1	0.1784971	
OTmed	5	5	5.9	17.88067	5	20	12	
Tb	0.4737757	0.3439185	0.6052478	1.13003	0.01	5	4.99	
Popt	906.9227	300	1000	3731.501	300	1000	700	
Pb	1.341546	0.4292949	5	4.661097	0	5	5	

Non-varying parameters:
Label	Value
mean	predicted	
x	rat	
tmed	tmed	
prec	prec	
log	TRUE	


Annealing regime:
Initial temp	Rt	ns	nt
5	0.975	20	100

Variance - Covariance Matrix:
	MR	OTmed	Tb	Popt	Pb
MR	35.69267	-104.6436	6.159699	-3616.85	-2.027249	
OTmed	-104.6436	319.7183	-19.65852	12444.07	9.288544	
Tb	6.159699	-19.65852	1.276969	-593.6363	-0.6192679	
Popt	-3616.85	12444.07	-593.6363	13924100	15938.32	
Pb	-2.027249	9.288544	-0.6192679	15938.32	21.72582	

Source data
year	sp_code	elev_code	sp_elev	rat	prec	tmed	species	predicted	
2017	halepensis	low	halepensis_low	0.1397098	140.1	15.58787	P. halepensis	0.02127673	
2018	halepensis	low	halepensis_low	0.08104308	337.8	14.57152	P. halepensis	0.05957114	
2019	halepensis	low	halepensis_low	0.04561179	104.8	15.32993	P. halepensis	0.01672393	
2020	halepensis	low	halepensis_low	0.09793627	199.5	15.80108	P. halepensis	0.02767362	
2021	halepensis	low	halepensis_low	0.06287278	240	15.51106	P. halepensis	0.03518755	
2022	halepensis	low	halepensis_low	0.1351467	303.7	16.53306	P. halepensis	0.02961497	
2001	halepensis	high	halepensis_high	0.09732386	361.6	13.31781	P. halepensis	0.09312408	
2002	halepensis	high	halepensis_high	0.1655779	330.5	13.11083	P. halepensis	0.09496933	
2003	halepensis	high	halepensis_high	0.1609994	327.3	12.85564	P. halepensis	0.1026808	
2004	halepensis	high	halepensis_high	0.1874337	348.6	12.68337	P. halepensis	0.1124579	
2005	halepensis	high	halepensis_high	0.0406339	144.9	12.70888	P. halepensis	0.05647221	
2006	halepensis	high	halepensis_high	0.07405498	327.7	12.9846	P. halepensis	0.09850469	
2007	halepensis	high	halepensis_high	0.05920739	332.5	12.51785	P. halepensis	0.1156917	
2008	halepensis	high	halepensis_high	0.03349928	265.6	12.51045	P. halepensis	0.1008947	
2009	halepensis	high	halepensis_high	0.09358744	358.1	13.48725	P. halepensis	0.08765455	
2010	halepensis	high	halepensis_high	0.1480221	484.3	12.65853	P. halepensis	0.131018	
2011	halepensis	high	halepensis_high	0.1508633	330.9	12.93468	P. halepensis	0.1006769	
2012	halepensis	high	halepensis_high	0.04389473	290	12.90525	P. halepensis	0.09395389	
2013	halepensis	high	halepensis_high	0.1161283	215.9	12.39118	P. halepensis	0.08999186	
2014	halepensis	high	halepensis_high	0.04617053	222.2	13.19346	P. halepensis	0.07081032	
2015	halepensis	high	halepensis_high	0.07283431	214.1	13.34513	P. halepensis	0.06542475	
2016	halepensis	high	halepensis_high	0.03174495	274	13.01616	P. halepensis	0.0873256	
2017	halepensis	high	halepensis_high	0.08635824	171.4	13.70839	P. halepensis	0.04792615	
2018	halepensis	high	halepensis_high	0.08286346	395.5	12.15359	P. halepensis	0.1423225	
2019	halepensis	high	halepensis_high	0.07499991	204.7	13.21725	P. halepensis	0.06577448	
2020	halepensis	high	halepensis_high	0.07621066	275.8	13.56741	P. halepensis	0.07321148	
2021	halepensis	high	halepensis_high	0.04650233	196.6	13.33447	P. halepensis	0.06118955	
2022	halepensis	high	halepensis_high	0.07267583	254.4	14.66723	P. halepensis	0.04832499	
2001	halepensis	medium	halepensis_medium	0.1684874	202.9	14.31136	P. halepensis	0.04562216	
2002	halepensis	medium	halepensis_medium	0.1775987	222.2	14.03289	P. halepensis	0.0537797	
2003	halepensis	medium	halepensis_medium	0.1766173	199	13.75783	P. halepensis	0.053811	
2004	halepensis	medium	halepensis_medium	0.2561497	323.2	13.44531	P. halepensis	0.08403929	
