Note: [none]
Total # of Iterations:	3e+05	
Sample size:	253	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
-233.8771	3	473.8507	473.7543	1.002642	0.3981943	
Model:	mtrat3
PDF:	dnorm
Support interval range:	2

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
MR	1.199987	0.4079955	1.2	4.928284	0	1.2	0.1345112	
OTmed	4.673658	3.69219	5.380185	10.25271	0	20	0.8595325	
Tb	0.452399	0.3466793	0.5387798	0.6807513	0.1	5	0.08620269	

Non-varying parameters:
Label	Value
mean	predicted	
x	rat	
tmed	tmed	
prec	prec	
log	TRUE	


Annealing regime:
Initial temp	Rt	ns	nt
5	0.975	20	100

Variance - Covariance Matrix:
	MR	OTmed	Tb
MR	24.28798	-48.14482	2.848989	
OTmed	-48.14482	105.118	-6.756901	
Tb	2.848989	-6.756901	0.4634223	

Source data
year	sp_code	elev_code	sp_elev	rat	prec	tmed	species	predicted	
2001	sylvestris	medium	sylvestris_medium	0.4759616	559.2	11.81506	P. sylvestris	0.1467524	
2002	sylvestris	medium	sylvestris_medium	0.3003152	635.5	11.736	P. sylvestris	0.1512693	
2003	sylvestris	medium	sylvestris_medium	0.3938742	759.1	11.01136	P. sylvestris	0.1995077	
2004	sylvestris	medium	sylvestris_medium	0.3736255	561.4	10.63505	P. sylvestris	0.2300972	
2005	sylvestris	medium	sylvestris_medium	0.1600306	308.2	10.74701	P. sylvestris	0.2205581	
2006	sylvestris	medium	sylvestris_medium	0.1650547	499.1	10.92373	P. sylvestris	0.2062634	
2007	sylvestris	medium	sylvestris_medium	0.1405044	426.4	10.65338	P. sylvestris	0.2285093	
2008	sylvestris	medium	sylvestris_medium	0.2793442	728.2	10.13953	P. sylvestris	0.2771677	
2009	sylvestris	medium	sylvestris_medium	0.2575962	889.7	11.37159	P. sylvestris	0.1739089	
2010	sylvestris	medium	sylvestris_medium	0.2420352	1428.5	10.44594	P. sylvestris	0.2471005	
2011	sylvestris	medium	sylvestris_medium	0.2945809	609.9	10.68331	P. sylvestris	0.2259382	
2012	sylvestris	medium	sylvestris_medium	0.1342082	552.5	10.97178	P. sylvestris	0.2025324	
2013	sylvestris	medium	sylvestris_medium	0.2948654	584.9	10.09672	P. sylvestris	0.2816283	
2014	sylvestris	medium	sylvestris_medium	0.1885472	484	10.88113	P. sylvestris	0.2096259	
2015	sylvestris	medium	sylvestris_medium	0.1472617	368.1	11.48234	P. sylvestris	0.1667001	
2016	sylvestris	medium	sylvestris_medium	0.1241091	590.5	10.91439	P. sylvestris	0.2069967	
2017	sylvestris	medium	sylvestris_medium	0.1573864	368.8	11.61667	P. sylvestris	0.1583459	
2018	sylvestris	medium	sylvestris_medium	0.2249388	1022.5	9.9215	P. sylvestris	0.3005842	
2001	sylvestris	high	sylvestris_high	0.6260474	555.4	10.40382	P. sylvestris	0.2510449	
2002	sylvestris	high	sylvestris_high	0.4121322	631.3	10.34639	P. sylvestris	0.2565186	
2003	sylvestris	high	sylvestris_high	0.5715017	758.4	9.428958	P. sylvestris	0.360205	
2004	sylvestris	high	sylvestris_high	0.5446219	565.1	9.050484	P. sylvestris	0.4128398	
2005	sylvestris	high	sylvestris_high	0.4744601	312.2	9.207542	P. sylvestris	0.3902477	
2006	sylvestris	high	sylvestris_high	0.5349582	502.9	9.288868	P. sylvestris	0.3789703	
2007	sylvestris	high	sylvestris_high	0.3405907	437	8.983948	P. sylvestris	0.4227384	
2008	sylvestris	high	sylvestris_high	0.5210497	716.7	8.392047	P. sylvestris	0.5195821	
2009	sylvestris	high	sylvestris_high	0.4548816	887.9	9.816253	P. sylvestris	0.3125219	
2010	sylvestris	high	sylvestris_high	0.5954203	1421.6	8.801879	P. sylvestris	0.450836	
2011	sylvestris	high	sylvestris_high	0.5923556	601.7	8.94437	P. sylvestris	0.4287198	
2012	sylvestris	high	sylvestris_high	0.4001922	561.4	9.426972	P. sylvestris	0.3604653	
2013	sylvestris	high	sylvestris_high	0.4739078	576.1	8.407901	P. sylvestris	0.5167805	
2014	sylvestris	high	sylvestris_high	0.4527148	494.8	9.156835	P. sylvestris	0.3974238	
2015	sylvestris	high	sylvestris_high	0.4141188	359.5	9.872912	P. sylvestris	0.306043	
2016	sylvestris	high	sylvestris_high	0.4945938	619.1	9.220841	P. sylvestris	0.388384	
2017	sylvestris	high	sylvestris_high	0.4601859	364.9	10.06176	P. sylvestris	0.2853206	
2018	sylvestris	high	sylvestris_high	0.5061606	1009.9	8.12988	P. sylvestris	0.5675539	
2001	halepensis	low	halepensis_low	0.1543426	208.4	15.39656	P. halepensis	0.03725143	
2002	halepensis	low	halepensis_low	0.1832787	217.7	15.09243	P. halepensis	0.04180161	
2003	halepensis	low	halepensis_low	0.1523323	213.4	14.97087	P. halepensis	0.0437765	
2004	halepensis	low	halepensis_low	0.3161728	319	14.6502	P. halepensis	0.04945751	
2005	halepensis	low	halepensis_low	0.1251806	101.8	14.48524	P. halepensis	0.05266829	
2006	halepensis	low	halepensis_low	0.08662605	260.6	15.12706	P. halepensis	0.04125604	
2007	halepensis	low	halepensis_low	0.1073976	167.7	14.68435	P. halepensis	0.04881805	
2008	halepensis	low	halepensis_low	0.1177354	256.5	14.63184	P. halepensis	0.04980465	
2009	halepensis	low	halepensis_low	0.1325189	325.7	15.36337	P. halepensis	0.03772227	
2010	halepensis	low	halepensis_low	0.4343702	436.6	14.5268	P. halepensis	0.05183982	
2011	halepensis	low	halepensis_low	0.2418193	203.2	15.04664	P. halepensis	0.04253465	
2012	halepensis	low	halepensis_low	0.01669328	207.8	15.13608	P. halepensis	0.04111499	
2013	halepensis	low	halepensis_low	0.1009567	181.3	14.43493	P. halepensis	0.05368927	
2014	halepensis	low	halepensis_low	0.03109615	142.9	15.50237	P. halepensis	0.03579054	
2015	halepensis	low	halepensis_low	0.1053782	223.7	15.65799	P. halepensis	0.03374803	
2016	halepensis	low	halepensis_low	0.1208357	283	15.34972	P. halepensis	0.03791769	
2017	halepensis	low	halepensis_low	0.1397098	140.1	15.58787	P. halepensis	0.03465309	
2018	halepensis	low	halepensis_low	0.08104308	337.8	14.57152	P. halepensis	0.05096307	
2019	halepensis	low	halepensis_low	0.04561179	104.8	15.32993	P. halepensis	0.03820284	
2020	halepensis	low	halepensis_low	0.09793627	199.5	15.80108	P. halepensis	0.03197584	
2021	halepensis	low	halepensis_low	0.06287278	240	15.51106	P. halepensis	0.03567321	
2022	halepensis	low	halepensis_low	0.1351467	303.7	16.53306	P. halepensis	0.02429924	
2001	halepensis	high	halepensis_high	0.09732386	361.6	13.31781	P. halepensis	0.08236728	
2002	halepensis	high	halepensis_high	0.1655779	330.5	13.11083	P. halepensis	0.08918652	
2003	halepensis	high	halepensis_high	0.1609994	327.3	12.85564	P. halepensis	0.09838121	
2004	halepensis	high	halepensis_high	0.1874337	348.6	12.68337	P. halepensis	0.1051203	
2005	halepensis	high	halepensis_high	0.0406339	144.9	12.70888	P. halepensis	0.104094	
2006	halepensis	high	halepensis_high	0.07405498	327.7	12.9846	P. halepensis	0.0936217	
2007	halepensis	high	halepensis_high	0.05920739	332.5	12.51785	P. halepensis	0.1120294	
2008	halepensis	high	halepensis_high	0.03349928	265.6	12.51045	P. halepensis	0.1123488	
2009	halepensis	high	halepensis_high	0.09358744	358.1	13.48725	P. halepensis	0.0771779	
2010	halepensis	high	halepensis_high	0.1480221	484.3	12.65853	P. halepensis	0.1061291	
2011	halepensis	high	halepensis_high	0.1508633	330.9	12.93468	P. halepensis	0.09543597	
2012	halepensis	high	halepensis_high	0.04389473	290	12.90525	P. halepensis	0.09652232	
2013	halepensis	high	halepensis_high	0.1161283	215.9	12.39118	P. halepensis	0.117621	
2014	halepensis	high	halepensis_high	0.04617053	222.2	13.19346	P. halepensis	0.08639851	
2015	halepensis	high	halepensis_high	0.07283431	214.1	13.34513	P. halepensis	0.08150726	
2016	halepensis	high	halepensis_high	0.03174495	274	13.01616	P. halepensis	0.09249254	
2017	halepensis	high	halepensis_high	0.08635824	171.4	13.70839	P. halepensis	0.07089861	
2018	halepensis	high	halepensis_high	0.08286346	395.5	12.15359	P. halepensis	0.1288676	
2019	halepensis	high	halepensis_high	0.07499991	204.7	13.21725	P. halepensis	0.08561204	
2020	halepensis	high	halepensis_high	0.07621066	275.8	13.56741	P. halepensis	0.0748391	
2021	halepensis	high	halepensis_high	0.04650233	196.6	13.33447	P. halepensis	0.0818418	
2022	halepensis	high	halepensis_high	0.07267583	254.4	14.66723	P. halepensis	0.04913756	
2001	halepensis	medium	halepensis_medium	0.1684874	202.9	14.31136	P. halepensis	0.05628369	
2002	halepensis	medium	halepensis_medium	0.1775987	222.2	14.03289	P. halepensis	0.06260884	
2003	halepensis	medium	halepensis_medium	0.1766173	199	13.75783	P. halepensis	0.06956709	
2004	halepensis	medium	halepensis_medium	0.2561497	323.2	13.44531	P. halepensis	0.07843074	
2005	halepensis	medium	halepensis_medium	0.08581704	107.3	13.29281	P. halepensis	0.08316206	
2006	halepensis	medium	halepensis_medium	0.08165883	266.1	13.85621	P. halepensis	0.06699228	
2007	halepensis	medium	halepensis_medium	0.1181447	171.8	13.40368	P. halepensis	0.0796948	
2008	halepensis	medium	halepensis_medium	0.1629166	260.9	13.29086	P. halepensis	0.08322456	
2009	halepensis	medium	halepensis_medium	0.1210237	320.7	14.15875	P. halepensis	0.05966499	
2010	halepensis	medium	halepensis_medium	0.1912346	436.9	13.24589	P. halepensis	0.08467517	
2011	halepensis	medium	halepensis_medium	0.1455412	203.9	13.70181	P. halepensis	0.07107765	
2012	halepensis	medium	halepensis_medium	0.02651434	211.9	13.9476	P. halepensis	0.06468731	
2013	halepensis	medium	halepensis_medium	0.05568562	176.2	13.13108	P. halepensis	0.08849506	
2014	halepensis	medium	halepensis_medium	0.03503488	142.3	14.17628	P. halepensis	0.05926627	
2015	halepensis	medium	halepensis_medium	0.05777684	229.5	14.40997	P. halepensis	0.05420334	
2016	halepensis	medium	halepensis_medium	0.02008387	296	14.03355	P. halepensis	0.06259305	
2017	halepensis	medium	halepensis_medium	0.07143941	143.1	14.3783	P. halepensis	0.05486265	
2018	halepensis	medium	halepensis_medium	0.06278213	331.5	13.19144	P. halepensis	0.08646546	
2001	pinaster	low	pinaster_low	0.1573845	366.4	13.22271	P. pinaster	0.08543256	
2002	pinaster	low	pinaster_low	0.09247242	344.7	13.00417	P. pinaster	0.09291962	
2003	pinaster	low	pinaster_low	0.1796374	354.1	12.71884	P. pinaster	0.103696	
2004	pinaster	low	pinaster_low	0.1271469	327.9	12.64827	P. pinaster	0.1065489	
2005	pinaster	low	pinaster_low	0.04003083	147.1	12.66909	P. pinaster	0.1056993	
2006	pinaster	low	pinaster_low	0.1220973	370.9	12.90435	P. pinaster	0.09655567	
2007	pinaster	low	pinaster_low	0.05457975	318.7	12.35925	P. pinaster	0.1190736	
2008	pinaster	low	pinaster_low	0.09209923	298.7	12.24473	P. pinaster	0.1244326	
2009	pinaster	low	pinaster_low	0.08777828	476.6	13.21941	P. pinaster	0.08554125	
2010	pinaster	low	pinaster_low	0.147539	561.7	12.50525	P. pinaster	0.1125733	
2011	pinaster	low	pinaster_low	0.1625557	271.4	12.83743	P. pinaster	0.09907284	
2012	pinaster	low	pinaster_low	0.04442081	276.6	13.05593	P. pinaster	0.091089	
2013	pinaster	low	pinaster_low	0.1986661	382	12.1365	P. pinaster	0.1297164	
2014	pinaster	low	pinaster_low	0.08226787	258.1	13.12328	P. pinaster	0.08876086	
2015	pinaster	low	pinaster_low	0.07064392	213.9	13.41941	P. pinaster	0.07921468	
2016	pinaster	low	pinaster_low	0.03355328	313.9	13.12578	P. pinaster	0.08867561	
2017	pinaster	low	pinaster_low	0.07154471	200	13.75114	P. pinaster	0.06974572	
2018	pinaster	low	pinaster_low	0.09808652	448.9	12.33429	P. pinaster	0.120222	
2019	pinaster	low	pinaster_low	0.04748416	267.3	13.37264	P. pinaster	0.08065038	
2020	pinaster	low	pinaster_low	0.1259869	321.5	13.44884	P. pinaster	0.07832436	
2021	pinaster	low	pinaster_low	0.05763474	199.8	13.45395	P. pinaster	0.07817089	
2001	pinaster	low-Dec	pinaster_low-Dec	0.1068164	359.4	12.74955	P. pinaster	0.1024785	
2002	pinaster	low-Dec	pinaster_low-Dec	0.1348452	335.1	12.55089	P. pinaster	0.1106151	
2003	pinaster	low-Dec	pinaster_low-Dec	0.149858	348.1	12.19674	P. pinaster	0.1267489	
2004	pinaster	low-Dec	pinaster_low-Dec	0.1437259	338	12.10822	P. pinaster	0.1311334	
