Note: [none]
Total # of Iterations:	1e+05	
Sample size:	253	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
100.48	6	-188.6186	-188.9601	1.027679	0.5002233	
Model:	mcombrat7
PDF:	dnorm
Support interval range:	2

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
MR	0.5862935	0	1	1.055765	0	1	1	
b	0.2332348	0	0.6866351	0.869484	0	0.9	0.9	
k	-1.812549	-2	0.204424	9.329109	-2	2	4	
t0	9.803463	0	11.94081	3.849158	0	20	20	
Popt	692.3756	300	1000	1889.172	300	1000	700	
Pb	1.466628	0	5	9.038473	0	5	5	

Non-varying parameters:
Label	Value
mean	predicted	
x	rat	
tmed	tmed	
prec	prec	


Annealing regime:
Initial temp	Rt	ns	nt
5	0.975	20	100

Variance - Covariance Matrix:
	MR	b	k	t0	Popt	Pb
MR	1.114639	-0.5829135	6.99723	-3.585861	-130.8976	-0.248767	
2015	halepensis	low	halepensis_low	0.1053782	223.7	15.65799	P. halepensis	0.1016433	
2016	halepensis	low	halepensis_low	0.1208357	283	15.34972	P. halepensis	0.1135436	
2017	halepensis	low	halepensis_low	0.1397098	140.1	15.58787	P. halepensis	0.07554938	
2018	halepensis	low	halepensis_low	0.08104308	337.8	14.57152	P. halepensis	0.1213848	
2019	halepensis	low	halepensis_low	0.04561179	104.8	15.32993	P. halepensis	0.05971679	
2020	halepensis	low	halepensis_low	0.09793627	199.5	15.80108	P. halepensis	0.09541794	
2021	halepensis	low	halepensis_low	0.06287278	240	15.51106	P. halepensis	0.1053499	
2022	halepensis	low	halepensis_low	0.1351467	303.7	16.53306	P. halepensis	0.1167769	
2001	halepensis	high	halepensis_high	0.09732386	361.6	13.31781	P. halepensis	0.1246648	
2002	halepensis	high	halepensis_high	0.1655779	330.5	13.11083	P. halepensis	0.121404	
2003	halepensis	high	halepensis_high	0.1609994	327.3	12.85564	P. halepensis	0.1215704	
2004	halepensis	high	halepensis_high	0.1874337	348.6	12.68337	P. halepensis	0.1247339	
2005	halepensis	high	halepensis_high	0.0406339	144.9	12.70888	P. halepensis	0.07874381	
2006	halepensis	high	halepensis_high	0.07405498	327.7	12.9846	P. halepensis	0.1212988	
2007	halepensis	high	halepensis_high	0.05920739	332.5	12.51785	P. halepensis	0.1235437	
2008	halepensis	high	halepensis_high	0.03349928	265.6	12.51045	P. halepensis	0.1131338	
2009	halepensis	high	halepensis_high	0.09358744	358.1	13.48725	P. halepensis	0.124113	
2010	halepensis	high	halepensis_high	0.1480221	484.3	12.65853	P. halepensis	0.1351976	
2011	halepensis	high	halepensis_high	0.1508633	330.9	12.93468	P. halepensis	0.1218235	
2012	halepensis	high	halepensis_high	0.04389473	290	12.90525	P. halepensis	0.1160298	
2013	halepensis	high	halepensis_high	0.1161283	215.9	12.39118	P. halepensis	0.1027122	
2014	halepensis	high	halepensis_high	0.04617053	222.2	13.19346	P. halepensis	0.1019881	
2015	halepensis	high	halepensis_high	0.07283431	214.1	13.34513	P. halepensis	0.09980681	
2016	halepensis	high	halepensis_high	0.03174495	274	13.01616	P. halepensis	0.1130703	
2017	halepensis	high	halepensis_high	0.08635824	171.4	13.70839	P. halepensis	0.08716405	
2018	halepensis	high	halepensis_high	0.08286346	395.5	12.15359	P. halepensis	0.132953	
2019	halepensis	high	halepensis_high	0.07499991	204.7	13.21725	P. halepensis	0.0974806	
2020	halepensis	high	halepensis_high	0.07621066	275.8	13.56741	P. halepensis	0.1127014	
2021	halepensis	high	halepensis_high	0.04650233	196.6	13.33447	P. halepensis	0.0951183	
2022	halepensis	high	halepensis_high	0.07267583	254.4	14.66723	P. halepensis	0.1083732	
2001	halepensis	medium	halepensis_medium	0.1684874	202.9	14.31136	P. halepensis	0.09643243	
2002	halepensis	medium	halepensis_medium	0.1775987	222.2	14.03289	P. halepensis	0.1014313	
2003	halepensis	medium	halepensis_medium	0.1766173	199	13.75783	P. halepensis	0.09551482	
2004	halepensis	medium	halepensis_medium	0.2561497	323.2	13.44531	P. halepensis	0.1200181	
2005	halepensis	medium	halepensis_medium	0.08581704	107.3	13.29281	P. halepensis	0.06130693	
2006	halepensis	medium	halepensis_medium	0.08165883	266.1	13.85621	P. halepensis	0.1107937	
2007	halepensis	medium	halepensis_medium	0.1181447	171.8	13.40368	P. halepensis	0.0874735	
2008	halepensis	medium	halepensis_medium	0.1629166	260.9	13.29086	P. halepensis	0.1102303	
2009	halepensis	medium	halepensis_medium	0.1210237	320.7	14.15875	P. halepensis	0.1193012	
2010	halepensis	medium	halepensis_medium	0.1912346	436.9	13.24589	P. halepensis	0.1310022	
2011	halepensis	medium	halepensis_medium	0.1455412	203.9	13.70181	P. halepensis	0.09688392	
2012	halepensis	medium	halepensis_medium	0.02651434	211.9	13.9476	P. halepensis	0.09889281	
2013	halepensis	medium	halepensis_medium	0.05568562	176.2	13.13108	P. halepensis	0.08917682	
2014	halepensis	medium	halepensis_medium	0.03503488	142.3	14.17628	P. halepensis	0.07650823	
2015	halepensis	medium	halepensis_medium	0.05777684	229.5	14.40997	P. halepensis	0.1030751	
2016	halepensis	medium	halepensis_medium	0.02008387	296	14.03355	P. halepensis	0.1157917	
2017	halepensis	medium	halepensis_medium	0.07143941	143.1	14.3783	P. halepensis	0.07679589	
2018	halepensis	medium	halepensis_medium	0.06278213	331.5	13.19144	P. halepensis	0.1213963	
2001	pinaster	low	pinaster_low	0.1573845	366.4	13.22271	P. pinaster	0.1252885	
2002	pinaster	low	pinaster_low	0.09247242	344.7	13.00417	P. pinaster	0.1233342	
2003	pinaster	low	pinaster_low	0.1796374	354.1	12.71884	P. pinaster	0.1252164	
2004	pinaster	low	pinaster_low	0.1271469	327.9	12.64827	P. pinaster	0.1223538	
2005	pinaster	low	pinaster_low	0.04003083	147.1	12.66909	P. pinaster	0.07970549	
2006	pinaster	low	pinaster_low	0.1220973	370.9	12.90435	P. pinaster	0.126386	
2007	pinaster	low	pinaster_low	0.05457975	318.7	12.35925	P. pinaster	0.1226541	
2008	pinaster	low	pinaster_low	0.09209923	298.7	12.24473	P. pinaster	0.1205411	
2009	pinaster	low	pinaster_low	0.08777828	476.6	13.21941	P. pinaster	0.1332709	
2010	pinaster	low	pinaster_low	0.147539	561.7	12.50525	P. pinaster	0.1386591	
2011	pinaster	low	pinaster_low	0.1625557	271.4	12.83743	P. pinaster	0.1130163	
2012	pinaster	low	pinaster_low	0.04442081	276.6	13.05593	P. pinaster	0.1134534	
2013	pinaster	low	pinaster_low	0.1986661	382	12.1365	P. pinaster	0.1318983	
2014	pinaster	low	pinaster_low	0.08226787	258.1	13.12328	P. pinaster	0.1099167	
2015	pinaster	low	pinaster_low	0.07064392	213.9	13.41941	P. pinaster	0.09968915	
2016	pinaster	low	pinaster_low	0.03355328	313.9	13.12578	P. pinaster	0.1191727	
2017	pinaster	low	pinaster_low	0.07154471	200	13.75114	P. pinaster	0.09579513	
2018	pinaster	low	pinaster_low	0.09808652	448.9	12.33429	P. pinaster	0.135241	
2019	pinaster	low	pinaster_low	0.04748416	267.3	13.37264	P. pinaster	0.1113439	
2020	pinaster	low	pinaster_low	0.1259869	321.5	13.44884	P. pinaster	0.1197899	
2021	pinaster	low	pinaster_low	0.05763474	199.8	13.45395	P. pinaster	0.09591435	
2001	pinaster	low-Dec	pinaster_low-Dec	0.1068164	359.4	12.74955	P. pinaster	0.1256806	
2002	pinaster	low-Dec	pinaster_low-Dec	0.1348452	335.1	12.55089	P. pinaster	0.1237042	
2003	pinaster	low-Dec	pinaster_low-Dec	0.149858	348.1	12.19674	P. pinaster	0.1277042	
2004	pinaster	low-Dec	pinaster_low-Dec	0.1437259	338	12.10822	P. pinaster	0.1273639	
2005	pinaster	low-Dec	pinaster_low-Dec	0.04349623	141.1	12.14503	P. pinaster	0.07947294	
