v1,v2,correlation,ci_lower,ci_upper
PISYL_PORTUGOS_L,PISYL_PORTUGOS_M,0.9987007533246839,0.9985700561255209,0.9988566503465849
PISYL_PORTUGOS_L,PISYL_PORTUGOS_H,0.9903320690864619,0.9892545306737709,0.9913044906239113
PISYL_PORTUGOS_L,PIHAL_NACIMIENTO_M,0.893983754680365,0.8856608459836386,0.9019670432485926
PISYL_PORTUGOS_L,PIHAL_NACIMIENTO_L,0.8717728604847526,0.8619402481197131,0.88111235032238
PISYL_PORTUGOS_L,PINIG_LANTEIRA_H,0.9797459234243474,0.9777948851023112,0.9815716778521977
PISYL_PORTUGOS_L,PIPIN_JEREZ_H,0.982683470297635,0.981083017608367,0.98426626965744
PISYL_PORTUGOS_L,PINIG_LANTEIRA_M,0.9784107395405726,0.9763594971700688,0.9803401675041064
PISYL_PORTUGOS_L,PIPIN_LANTEIRA_L2,0.9751131850580237,0.9727981466657135,0.9773277901851661
PISYL_PORTUGOS_L,PINIG_LANTEIRA_L2,0.9751131850580237,0.9726957991998165,0.9773315575855186
PISYL_PORTUGOS_L,PIPIN_JEREZ_M,0.9793913772078235,0.9775927204192488,0.9811153959957397
PISYL_PORTUGOS_L,PIHAL_RAGUA_H,0.9624902065867897,0.9589548331696476,0.9656513000124514
PISYL_PORTUGOS_L,PIPIN_JEREZ_L,0.9685691817720199,0.9656875095234907,0.9712792063803886
PISYL_PORTUGOS_M,PISYL_PORTUGOS_H,0.9960147187903999,0.99557656444458,0.9964496576069717
PISYL_PORTUGOS_M,PIHAL_NACIMIENTO_M,0.8900897858843683,0.8816575803551316,0.8982001894437682
PISYL_PORTUGOS_M,PIHAL_NACIMIENTO_L,0.8654276122588713,0.85531431380948,0.8751713313889818
PISYL_PORTUGOS_M,PINIG_LANTEIRA_H,0.9831514380458692,0.9815077120103723,0.9845903744684348
PISYL_PORTUGOS_M,PIPIN_JEREZ_H,0.9873954056069253,0.986277075333156,0.988508940970313
PISYL_PORTUGOS_M,PINIG_LANTEIRA_M,0.9809682674253681,0.9791870334194358,0.9826747728855938
PISYL_PORTUGOS_M,PIPIN_LANTEIRA_L2,0.9756345307667577,0.9734473155793097,0.977886293690937
PISYL_PORTUGOS_M,PINIG_LANTEIRA_L2,0.9756345307667577,0.9734473462590222,0.9777940467341592
PISYL_PORTUGOS_M,PIPIN_JEREZ_M,0.9832405478925403,0.9817030961192884,0.9847491825512233
PISYL_PORTUGOS_M,PIHAL_RAGUA_H,0.9609294507161875,0.9573883625481261,0.9642956815508448
PISYL_PORTUGOS_M,PIPIN_JEREZ_L,0.9668966584238909,0.9637206359511947,0.969997161668265
PISYL_PORTUGOS_H,PIHAL_NACIMIENTO_M,0.8773227877761715,0.8673940847761185,0.8865322441937281
PISYL_PORTUGOS_H,PIHAL_NACIMIENTO_L,0.8485365278488035,0.8367076452946854,0.8595408549193615
PISYL_PORTUGOS_H,PINIG_LANTEIRA_H,0.9827499509112644,0.9811151323214615,0.9843577160036966
PISYL_PORTUGOS_H,PIPIN_JEREZ_H,0.9894053942393016,0.9883749152385715,0.9903755017493968
PISYL_PORTUGOS_H,PINIG_LANTEIRA_M,0.9790741297248734,0.9769267135207828,0.9810231661468904
PISYL_PORTUGOS_H,PIPIN_LANTEIRA_L2,0.970191665353182,0.9672409423033583,0.9730401485634632
PISYL_PORTUGOS_H,PINIG_LANTEIRA_L2,0.970191665353182,0.9673472377362513,0.9729832702247404
PISYL_PORTUGOS_H,PIPIN_JEREZ_M,0.9837127403147972,0.9820919147455793,0.9851438448406448
PISYL_PORTUGOS_H,PIHAL_RAGUA_H,0.9518683707491332,0.947173546027386,0.956160334476478
PISYL_PORTUGOS_H,PIPIN_JEREZ_L,0.9577797547998571,0.9535893841502096,0.9616452722058307
PIHAL_NACIMIENTO_M,PIHAL_NACIMIENTO_L,0.9960405434984727,0.995509495958079,0.9965414971116839
PIHAL_NACIMIENTO_M,PINIG_LANTEIRA_H,0.9253182678661871,0.9195041966928899,0.9310395066034693
PIHAL_NACIMIENTO_M,PIPIN_JEREZ_H,0.9067367245119465,0.899126199896578,0.9137452939422235
PIHAL_NACIMIENTO_M,PINIG_LANTEIRA_M,0.9283830157644998,0.9227334544935509,0.9336921134884473
PIHAL_NACIMIENTO_M,PIPIN_LANTEIRA_L2,0.9339212052903889,0.9287324069398372,0.9387292759084869
PIHAL_NACIMIENTO_M,PINIG_LANTEIRA_L2,0.9339212052903889,0.9286621753837014,0.9388507594874325
PIHAL_NACIMIENTO_M,PIPIN_JEREZ_M,0.9103063878530562,0.9034068493151655,0.916815393609078
PIHAL_NACIMIENTO_M,PIHAL_RAGUA_H,0.957774537733052,0.954368560843142,0.961000952698189
PIHAL_NACIMIENTO_M,PIPIN_JEREZ_L,0.9285068355044328,0.9229744126325579,0.934012250067169
PIHAL_NACIMIENTO_L,PINIG_LANTEIRA_H,0.9037257056380777,0.8960039761647296,0.9109763138997072
PIHAL_NACIMIENTO_L,PIPIN_JEREZ_H,0.8828540900111977,0.8739227949084333,0.8917387948617455
PIHAL_NACIMIENTO_L,PINIG_LANTEIRA_M,0.9083561041619117,0.9012178687647111,0.915003028412124
PIHAL_NACIMIENTO_L,PIPIN_LANTEIRA_L2,0.917228153646473,0.9109403402727879,0.9232805925354296
PIHAL_NACIMIENTO_L,PINIG_LANTEIRA_L2,0.917228153646473,0.9106785294629327,0.9230539714945193
